data,app,type
Loved this app for a long time. But the recent updatehas killed it for me.beacause this app all of sudden need permission for access my contacts and all. A big No from my side.i already had uninstall this app.Now searching for better pedometer..,Samsung Health,feature_request
vary good.But definitely the top ones are cheating .I wish you show age groups like in mapmyrun,Samsung Health,feature_request
"Disappointing that the sleep tracker disappeared with updates, otherwise I love it.",Samsung Health,feature_request
It opens on its own and I don't even want it on my phone. There should be an option to delete it permanently.,Samsung Health,feature_request
No options left to measure anything anymore on Galaxy S20. Completely useless and disappointing.,Samsung Health,feature_request
"They took my favorite part, they used to have a weight loss part and it was so helpful. They took it away so it's hard to use it as a helpful tool for wright management",Samsung Health,feature_request
"I love the idea, I love the simplicity of the app... but why is menstrual cycles listed under women's health? I'm a man that gets a period, I would've figured that Samsung would be at least a little progressive and keep the ""women's health"" part out of this. Totally unnecessary.",Samsung Health,feature_request
Where did the leader board go?! Talk about a bummer. That was some serious motivation!,Samsung Health,feature_request
Would be 5 stars if I could turn off NFC. I have a device for my diabetes that needs NFC and having to select which app to use for NFC is really irritating. Please give an option to turn it off for this app.,Samsung Health,feature_request
Two step and using phone features for a health app!? No thanks.,Samsung Health,feature_request
Love this app and all the features. It works great since my phone comes with it. My only complaint is that I wish there was a widget for the food tracker I need the app. The only widget they have available is for counting steps.,Samsung Health,feature_request
Weird App Authorization Required. It won't let me use the app unless I let the app make phone calls. Doesn't tell me why. Uninstalled.,Samsung Health,feature_request
Would give 4 but they took down a very vital feature like calorie management.,Samsung Health,feature_request
I had give this app 5 stars but I should take back one. Where is nutrition balance score after new update? I used to decide which snack to eat by adding it and see how the score changes before eating my snacks.,Samsung Health,feature_request
"Its great to use! The only thing i could say is, you need to update the list of food on it! Like new flavours of chips or drinks! :)",Samsung Health,feature_request
"I've just started using this app and so far it seems ok.  Since I'm traveling during the holiday season,  beverage choises can be limited. I had soda one day (for the caffine in-lieu of coffee) and couldn't figure out how to input that into the S Health app.",Samsung Health,feature_request
Love it. Heart monitor matches my GP. Would love to know if or how I can change the micronutrients percentages.,Samsung Health,feature_request
Latest update removed weight management and caffeine intake which were a significant factor in keeping this app. Hopefully your people will reinstate these as soon as possible. Most of the peripheral information is of no interest to me. I'll be looking for another app if the above can't be fixed!,Samsung Health,feature_request
"Less intuitive after the update, and I miss the walking challenges. I also wish I could track what time each cup of water is input, because I can never remember.",Samsung Health,feature_request
"I had my my s7 version of this app and everything there is complete..i can measure my stress level, heart rate and oxygen sat..i was surprised that the version of the app in my note 10 doesnt contain all these features. Just disappointing",Samsung Health,feature_request
"Not always do I take my phone, I wish the app still allowed us to put ours steps in from our other devices not supported.",Samsung Health,feature_request
This app is fantastic. Syncs with galaxy watch. Would also be great if there was an option to track medication on the app as well that syncs with the watch.,Samsung Health,feature_request
"Worked great for a while. Now takes a long time to bring up my ""favs"" in the nutrition area of the app.",Samsung Health,feature_request
Why Would an app want to control all of my phone calls?,Samsung Health,feature_request
I just wished I didnt update samsung health.. I really hate the fact that i cant use it without giving it access to my contacts. I've been using this for so long.,Samsung Health,feature_request
"Every time I place my phone on the table or I jolted my hand when the phone is in my hand, the ""Welcome to S Health"" will pop up. It's annoying and disrupting my work/job.",Samsung Health,feature_request
"I like this app. It does everything I need it to do with the exception of a barcode scanner for the ""eat healthier"" program or at least let me import scan data from another app to this one",Samsung Health,feature_request
"Great app and fun challenges. The only thing I would like to see, is a more  detailed way to track weightlifting workouts by different types of machines.",Samsung Health,feature_request
I need to know VO2MAX and recovery time on my samsung gear sport.,Samsung Health,feature_request
I just wish there was a pregnancy mode. Where it helps you with safer goals. Maybe a weightloss goal safe for pregnant women?,Samsung Health,feature_request
What happened??  I miss looking at my history!  Too many changes at once.  Now im just looking for a pedometer with food log to replace this one.,Samsung Health,feature_request
"Allows me to keep track of everything in on app. Glucose,heart,stress,food,exercise, sleep and more. Then at the end of two weeks I send reports to my doctor via email.  I do wish the app allowed me to create just one report with the combined data.",Samsung Health,feature_request
"Healthy stpes is missing in new update,it will be good if the feature is added.",Samsung Health,feature_request
Would be nice if it included a barcode scanner for the food log.,Samsung Health,feature_request
Get rid of the 2 step verification. Will not download this again until this is removed. Too invasive of an app.,Samsung Health,feature_request
No longer get average pace from voice assistant won't be using anymore,Samsung Health,feature_request
I'm so frustrating!!! Why would you remove the weight management feature ? This is the most features of this app! I hope you add this feature in the next update!,Samsung Health,feature_request
Terrible decision to limit monthly challenge to that 200k limit. What a joke. Please fire the idiot who made that decision.,Samsung Health,feature_request
"Hi,  Love andb use the app everyday and I see the weekly results but wanted to know if in january there was any year-end summary that will show how many steps, miles,  calories, etc was done for all of 2019",Samsung Health,feature_request
Decent app but what is missing is a bar code scanner for prepackaged foods.,Samsung Health,feature_request
Great app using from last two years... but I saw another app is providing automatic sleep tracker by using proximity sensor... that tracks everything  automatically  without any external accessories..... I wonder if you guys can do that..... Again Awesome app for me :)  Thanks..,Samsung Health,feature_request
The new app is a total downgrade. Worse counting and no options to change your settings,Samsung Health,feature_request
Yeah used to use this app all the time. Not sure why they took away the heart monitor and stress meters. It was what I primarily used it for. Now I need a new app,Samsung Health,feature_request
Why does not Samsung S20Ultra have Pulse & Oximeter unlike its predecessors?,Samsung Health,feature_request
"This app has almost everything you need in a health and fitness app! I'd like there to be a way to track measurements. Also, maybe a recommended nutrition plan to better fit your goals if possible? It keeps me motivated and I'm feeling so much better in just 2 weeks!",Samsung Health,feature_request
Would be nice if you could create challenges other then 1:1 maybe have a way your able to make a group challenge but with just friends or family.,Samsung Health,feature_request
Need to be able to customize challenges a little bit,Samsung Health,feature_request
the function where i can track my colorie balance has been removed when that was the feature that really made this app useful. how am i to properly track my balance now?,Samsung Health,feature_request
"App was great until it removed features at the last update. Now it is mediocre and is just the same as every other app out there in the market. Samsung, who is responsible for such a stupid mistake? What can be done to reinstate the lost functionality?",Samsung Health,feature_request
I have used this app for years and loved it. However will not be using it again after the latest update it is now asking access to my contacts in order to open the app. Thank you but no thanks!!! disappointing....,Samsung Health,feature_request
"The app is good overall, but if the diet portion for food items had a bar code scanner for ease of entering items this app would be perfect .",Samsung Health,feature_request
Even if you turn system sound off that ugly annoying x3 bip-sonor at the start of exercise is still on and there's no way to disable it. Hate this app from very beginning.,Samsung Health,feature_request
Need to be able to actually record sleep habit not just sleep and wake but middle of night waking to show poor sleep cycle,Samsung Health,feature_request
Fun but need to sync to Stava. No totals for month / year or comparison with previous time periods.,Samsung Health,feature_request
Absolutely useless app. Heartrate zones are not correctly set. No way to use the fitness app to practice when the zones are way off. Samsung should have done much better and listened to the users.,Samsung Health,feature_request
"The new update is bad, I can't add new custom pace unless I open from my watch. The previous version was easy-to-use.",Samsung Health,feature_request
"It's a great app, could be more supportive of other non Samsung devices such as scales. But otherwise love it.",Samsung Health,feature_request
Not a bad app but could be a bit more accurate,Samsung Health,feature_request
why did the O2 sat measurement disappear with the latest update?,Samsung Health,feature_request
It is a very good application. I am using it.But why not show intake of sugar in the nutrison intake summary.,Samsung Health,feature_request
"So you take away the weight management tool, but you leave the menstrual cycle tracker? How exactly does that help a man using this app?",Samsung Health,feature_request
"Love it so far. Would be good if you could add micronutrient summary to the food planner, I'd like to track my sodium intake in particular.",Samsung Health,feature_request
I meal plan and the app will not allow me to set meals for the day so that. Don't have to do it later. I end up just adding it at the time I enter it,Samsung Health,feature_request
"The app in my S6 has more features, where is the heart rate and spo2  measures now?",Samsung Health,feature_request
"Who updates an app by removing a host if useful features - weight tracking, water drunk...The app now just seemscto be an add player. Really wished I hadn't upgraded & ignore the reply when they tell you to keep the app up to date.",Samsung Health,feature_request
