data,app,type,user_story
"Please huawei, fix the issue of steps counting from both the phone and the watch which is giving a composite reading. It is totally an acceptable. Give us the option to the source of steps counting.",Huawei Health,problem_report," Title: User Preference for Independent Step Counting

As a fitness-conscious user, I want the ability to independently track my step count from both my Huawei phone and watch. This will ensure accurate readings, reducing the current composite reading which may lead to confusion in data analysis. Provide an option for selecting the source of steps counting in the settings menu."
Love this app and all the features. It works great since my phone comes with it. My only complaint is that I wish there was a widget for the food tracker I need the app. The only widget they have available is for counting steps.,Samsung Health,feature_request," Title: Food Tracker Widget

As a health-conscious user, I want a widget on the home screen of the app to easily track my daily food intake. Currently, only a step counter widget is available, but I require a food tracker widget to better manage my diet. This will improve the overall user experience and help me maintain my health goals more effectively."
"I upgraded to an Samsung S6. Now my Garmin won't Sync at all. I uninstalled the app and installed it back, still won't sync. It's been 3 weeks. What else can I do? It is very frustrating!",Garmin Connect,problem_report," Title: Garmin App Synchronization Issue on Samsung S6

 As a user with an upgraded Samsung S6,
 I want to synchronize my Garmin device,
 So that I can access and update data seamlessly.

 Given that the app has been uninstalled and reinstalled without resolution,
 And that the issue has persisted for three weeks,
 I need a clear solution or alternative to resolve this frustrating problem."
before i paired Honorband 4 to my device i had installed this app & whats strange is started counting my steps ...How its possible ?.. although its not showing correct data,Huawei Health,problem_report," Title: Incorrect Step Counting on HonorBand 4 App

 As a user, I want the HonorBand 4 app to accurately track and display my step count. The current version seems to count steps even before I pair the device with my device, resulting in incorrect data being displayed. Please ensure proper synchronization between the app and the band for accurate tracking."
"Like the app. Except for everytime I put a workout in the app, my step cals always disappear, and the app doesn't show all my step cal.",Samsung Health,problem_report," Title: Incomplete Step Calculation in Fitness App

As a user:
I want the fitness app to accurately calculate and display my step calories for each workout, so that I can track my progress effectively and maintain my motivation towards achieving my fitness goals."
"I like the Garmin ecosystem and while there are a few bugs and glitches, overall I enjoy it. That being said I've never used another fitness tracking app. Still prefer the desktop website though.",Garmin Connect,problem_report," As a frequent user of Garmin Fitness Tracking App, I want a reliable and bug-free experience with occasional updates to fix any issues that may arise. Additionally, I prefer using the desktop version of the website over the mobile application for better navigation and usage."
"I liked it before the latest updates where you could see weight by day, week and month with averages and high and low. Now you can only see it by day so useful functions have been removed!",Samsung Health,feature_request," Title: Historical Weight Data Visualization

 As a health-conscious user,
 I want to be able to view my weight data for specific time periods (day, week, month) along with their averages and high/low values,
 So that I can track my progress effectively and identify trends over time."
"I am not able to connect my band on this app on moto x play mobile, running Android 6. I am able to pair it on my iPad, but it doesn't give me complete benefits of this band.",Garmin Connect,problem_report," Title: Improve Band Connectivity on Moto X Play App

 As a user with a Moto X Play device and Android 6,
 I want to be able to successfully connect my fitness band to the app,
 So that I can fully utilize all the features of my band and track my fitness progress effectively."
"Used the app on Galaxy S10 for counting steps and for monitoring my heart rate. Since last S10 update, heart rate monitoring no longer functions. Please bring it back. I need it to check my heart rate and not currently in the market to buy a watch.",Samsung Health,problem_report," Title: Heart Rate Monitoring for Samsung S10

 As a user of the mobile app on Samsung Galaxy S10,
 I want the heart rate monitor functionality to be restored after the latest update,
 So that I can continue monitoring my heart rate without purchasing a separate device."
App has been awesome until the update within the last hour or so. Since then the app is completely not usable and continually has a box pop up on Android that connect keeps stopping. Please fix asap!,Garmin Connect,problem_report," Title: Improve Stability after Recent Update for Android Users

 As a mobile user, I want the App to function smoothly without interruptions such as ""Connect Keep Stopping"" error messages appearing frequently, especially after the recent update, so that I can continue to enjoy using the app effectively and efficiently. Please prioritize fixing this issue as soon as possible."
It did not work on motorola one vision. It was show that need new version of app gallery which i installd but even that it continue to show the same. So i installed HMS core and now works perfect. But yes it drains the battery,Huawei Health,problem_report," As a user on Motorola One Vision, I want the app to function without issues, as installing a newer version of App Gallery didn't resolve the problem. I need to install HMS Core for the app to work correctly, but it significantly drains the battery. Improve app compatibility and reduce battery consumption on HMS Core-installed devices."
"Can you add programs where I can select my current level (or you figure it out based on my history) and select my goal, like half marathon, or marathon?",Samsung Health,feature_request," Title: Personalized Training Program Selection

 As a user,
 I want to be able to easily select training programs tailored to my current fitness level and personal goals (e.g., half marathon, marathon),
 So that I can focus on achieving my desired goal with appropriate guidance and progression.
 Additionally, it would be helpful if the platform could automatically determine my current level based on my past performance data."
I Purchased to FR 220 for the Bluetooth Sync opinion and tried to pair my FR 220 with my Evo 4g LTE and it said it wasn't compatible... So it won't sync. I'm not happy a $270 watch and I can't use it to full capability.,Garmin Connect,problem_report," Title: Improve Bluetooth Compatibility for Smartwatches

As a user, I want the FR 220 smartwatch to be compatible with a wider range of devices, specifically older models like the Evo 4G LTE. The inability to pair and sync the watch limits my full usage, which is frustrating as I have invested $270 in this product. Enhance compatibility to ensure all users can utilize the device's features fully."
"If your heart rate is too high, like after a good cardio sesh it wont give a bpm, which is ridiculous, just tell me how fast its going, damn.",Samsung Health,problem_report," Title: Inaccurate Heart Rate Monitoring

 As a fitness enthusiast, I want the app to provide an accurate and immediate reading of my heart rate (Beats Per Minute - BPM) after performing intense physical activities like cardio sessions. The current inability to do so is unacceptable and frustrating."
Doesn't work with my GT watch anymore. Keeps saying update in appstore but there there is no update available to fix. Updated app doesn't fix.,Huawei Health,problem_report," Title: Compatibility Issue with Wear OS Devices

 As a user, I want the app to function seamlessly with my Google Fitbit watch. When an update becomes available, it should resolve any existing issues and not require manual updates from the app store if no update is actually available. If an issue persists after an attempted update, please ensure that customer support is easily accessible for further assistance."
"It stops recording run the moment you stand still. If there is a setting to disable this, it is obscurely hidden. Unusable for running, unfortunately.",Huawei Health,problem_report," Title: Improved Motion Detection in Activity Tracker

 As a user who uses the activity tracker, I want the device to continue recording movement when I am standing still or walking slowly, so that I can accurately track my activities. If there is a setting to disable this feature, make it easily accessible and clearly labeled for better user experience."
