data,app,type
Not able to sign in. Loading circle is spinning in infinite loop Edit: works after latest update,Samsung Health,problem_report
I like the app. But the heart rate and stress test features don't work on my HTC.,Samsung Health,problem_report
"It used to work properly, now I can upload any new programs under ""discover"". It simply says ""no new item"".",Samsung Health,problem_report
"except for keeping track of sleeping time and recording what you ate, this app is pretty useless now. the step counter is broken, it recorded 14 steps today while I was working and walking.",Samsung Health,problem_report
Before it would keep saying the application had stopped multiple times everyday when I was not using it. Now all I have is a green screen with the man running on it. Its not working.,Samsung Health,problem_report
"Unwelcomed automatically downloaded app behaves like a virus and keeps trying to open, even when disabled!",Samsung Health,problem_report
it doesn't work on S20 FE . It won't measure my heart  rate or Oxygen.,Samsung Health,problem_report
It does not keep the right track of how many miles you walk !,Samsung Health,problem_report
Wants access to make phone calls. Won't open without it. Upd: The answer regarding providing optimal experience is ot an answer at all. I don't need an experience when an app makes phone calls for me.,Samsung Health,problem_report
Aftr update my samsung watch failing to detect any activity pls fix the issue,Samsung Health,problem_report
I went on a 2k run and it said I got 52 steps,Samsung Health,problem_report
"Was in the top 5% of total users, now at 25% because is hasn't tracked my steps in three days!!!",Samsung Health,problem_report
This used to be a really good app. Worked all the time. But of late it's just not logging anything. Not even step count. Constant white screen. Have to force stop then restart. I'm going to look for another app that works.,Samsung Health,problem_report
"I used to trust this app, it was very good but recently has not been counting my steps property. I walked the dog for 80 minutes this morning covering six kilometres but the app recorded only 5 mins and less than 500 steps!",Samsung Health,problem_report
"After new update, I can't link with AIA vitality app.",Samsung Health,problem_report
"update has ruined the app, and made my s3 useless. Roll it back, or i will be trying new hardware. silllly, and it seema like i am not alone as the app score has gone waaayyyy down because of this reason.",Samsung Health,problem_report
"I cannot remove this damn app from my device!! I try to uninstal and it only allows uninstal for updates, to make things worse it boots up every time i look at the phone, even on calls...Infuriating!",Samsung Health,problem_report
Seemed great but for some reason it keeps telling me I'm over my calorie goal even though it shows I'm still way under in Weight Management. It was working fine until a couple days ago.,Samsung Health,problem_report
I'd love it but I can't track my heart rate and my stress levels on my Samsung a5 but my boyfriend can on he's s5 ,Samsung Health,problem_report
"It was amazing until steps stopped counting after phone software updates. Reinstalled the app twice, Paused and resumed step counting and all but still not functioning well. Using Mi Max, MiUI 8 here...",Samsung Health,problem_report
"I used this app on galaxy S6 app for years and that was awesome, Recently I've installed on my new phone. But step counter pause periodically and it counts maybe 1/5 of my steps. That's a pity I loved this app previously",Samsung Health,problem_report
"Won't let me varify the given code while setting up the 2 step varification, or if I skip it the app won't connect to my wifi. Would love to use this app.",Samsung Health,problem_report
I love this app. I only have one issue. I cannot seem to get my App and Watch to work as a Monday start. I have seen many people having the same issue. Please fix this I know many people would really appreciate this including me.,Samsung Health,problem_report
This app needs to be fixed #1 problem it doesn't accurately show how fast I run on the graph I'm sure also the mph or top speed isn't accurate this app needs to be fixed.,Samsung Health,problem_report
Unistalled up dates as latest update is useless missing features and not counting steps correctly fix it,Samsung Health,problem_report
Great app except that it sometimes doesn't count my steps right.,Samsung Health,problem_report
"I put my phone in my dog treat bag which is against my body when I walk. This app either doesn't register my walking like that or only only registers part of the walk. But, if the phone is in my purse in a shopping cart or registers. Very unreliable!",Samsung Health,problem_report
My 1 night of sleep gets recorded as multiple sleep cycles and broken up throughout. It's really irritating.,Samsung Health,problem_report
"It's Not working from past few months, not even starting, please do something about it.",Samsung Health,problem_report
"When the new day starts at midnight I already see 200kcal burned, even if the day just started and I didn't burn anything with training or just thanks to my basal metabolism, please fix this...",Samsung Health,problem_report
