review_content,final_label,DeepSeek,Gemini (flash 2.0 ),ChatGPT
"In addition to being notorious for it39s privacy preaching tactics, selling users data to advertising agencies, Facebook continues it39s downfall into degeneracy by silencing and censoring voices that oppose what39s currently happening in Palestine. freegaza",1,"As a concerned social media user,
I want a platform that upholds privacy, transparency, and freedom of expression,
so that I can trust the platform to protect my data and allow me to share and access diverse perspectives without censorship or bias.","Generate a user story that summarizes the key features or improvements requested in this review : 
In addition to being notorious for it39s privacy preaching tactics, selling users data to advertising agencies, Facebook continues it39s downfall into degeneracy by silencing and censoring voices that oppose what39s currently happening in Palestine. freegaza","As a social media user, I want transparency, free expression,
and privacy protections so that I can engage in open 
discussions without fear of censorship or data exploitation"
"Ive been trying to get a hold of Facebook because I dont have access to my email but I have a phone number on my account but it wont send me confirmation to my number  all my other apps are logged in to my Facebook account big mistake when I try and get help it gives me things I can do but I did it and it still didnt help me, Facebook can you help me yet?",2,"As a Facebook user who has lost access to my email but still has a registered phone number on my account, I want to receive a confirmation code via SMS to regain access to my account, so that I can recover my account and continue using it without disruption.","As a user locked out of my Facebook account, I want to be able to regain access using my phone number, even if I no longer have access to my original email address, so that I can log back in and manage my account.  I also need clearer and more effective support options beyond the standard help articles, as those haven't resolved my issue.","As a Facebook user, I want a reliable account recovery process
so that I can regain access even if my email is unavailable and 
my phone number isn’t receiving codes"
"Keep getting banned on Facebook for random things, like posting a video of my own daughter walking, and things taken out of context. Even when Facebook review and realise they made a mistake and admit to it and apologise they dont remove that data stored on you so your account is constantly harassed and silenced!! Wont be using it anymore. Im British at Facebook doesnt understand our humour, banter, context  its very annoying we used these apps to stay connected to family, for work, etc.",2,"As a Facebook user who values staying connected with family and using the platform for work, I want a content moderation system that understands context, cultural nuances, and intent, so that I can share moments like videos of my daughter or engage in British humour without fear of being unfairly banned or silenced.","As a user, I want Facebook to improve its content moderation system so that I'm not unfairly banned for posting innocuous content, like videos of my daughter.  I also want Facebook to delete data associated with wrongful bans after a review confirms their mistake, so that my account isn't continuously flagged or silenced due to past errors.  Furthermore, I want Facebook's moderation algorithms to better understand cultural nuances and humor, specifically British humor and banter, to avoid misinterpretations and unjust penalties.","As a Facebook user, I want fair content moderation 
with context-aware reviews so that I am not wrongly banned
or repeatedly flagged for past mistakes"
"I have been locked out of my account for 2 weeks now after being hacked.  I have contacted Facebook via email relentlessly as Incan not access the help or report section of the platform.  This has caused me to be locked out of my Instagram account as well.
I use the platforms for my business.  My customers think that we have gone out of business.  I spent hours on the phone with my carrier and Apple thinking that something was wrong either with the phone or my carrier.  Its Facebook.   Short codes are coming in from everyone else except them, and they have yet to reply.",2,"As a business owner who relies on Facebook and Instagram for customer engagement and operations, I want to quickly regain access to my hacked accounts and receive timely support from Facebook, so that I can restore my business operations, reassure my customers, and prevent further financial and reputational damage.","As a business owner whose accounts were hacked, I want Facebook to provide a more responsive and accessible support system, including a reliable way to report hacks and regain account access even when locked out, so I can quickly restore my business presence on Facebook and Instagram and avoid losing customers.  I also want Facebook to investigate why I'm not receiving their short code messages, as this is preventing account recovery.","As a business owner relying on Facebook and Instagram,
I want a faster and more responsive account recovery process,
so that I can regain access quickly, prevent business disruptions, 
and reassure my customers"
"For all the good Meta does in keeping us connected your company, your leadership and enablers have hooked users to over sharing and over exposure.  In so doing this corporation parasitically intentionally feeds on our unconscious insecurities and shadow via algorithms.  This leads to profound suffering and loss of intimate connections.  This has been my experience.  I believe there deserves to be a class action lawsuit to hold FacebookMeta and its leadership accountability for the incredible political,  societal and individual harm their endless selfish greedy quest for power through data manipulation has wrought.",2,"As a concerned user who has experienced the negative effects of social media overuse, I want Meta (Facebook) to prioritize ethical design, transparency, and accountability in its platform, so that users can enjoy meaningful connections without being exploited by algorithms that prey on insecurities and encourage overexposure.","As a user concerned about the negative impacts of social media, I want Facebook/Meta to be held accountable for the harm caused by its algorithms and data manipulation practices, which I believe exploit users' insecurities, promote oversharing and overexposure, and ultimately damage individual well-being and societal connections.  I believe this requires investigation and potentially legal action, such as a class-action lawsuit.","As a social media user, I want more ethical and responsible 
platform practices so that my personal data is not exploited and 
my mental well-being and relationships are protected"
"The site not only has bias on every topic, but they also dont allow the user any privacy.  They will also censor anything that they dont agree with by flashing it as false when in fact it is not false or by taking down your post.  This is very close to communistnazi behavior and is unacceptable in a free country.",2,"As a user who values free expression, privacy, and unbiased information, I want a social media platform that respects my rights, provides transparency in content moderation, and protects my privacy, so that I can engage in open discussions without fear of censorship, bias, or exploitation.","As a user concerned about free speech and privacy, I want Facebook to stop censoring content based on its own biases, and to respect user privacy by not collecting and sharing excessive personal information. I also want Facebook to provide clear and transparent criteria for content moderation, and to avoid labeling factual information as false simply because it disagrees with the platform's viewpoint.","As a user, I want a platform that ensures unbiased content 
moderation, respects my privacy, and allows free expression 
without unjust censorship."
"Facebook is too woke and too much sensoring.   They track you, spy on you, and listen to your convos.  Not to mention the owner contributed millions to stealing election.  It was invented by CIA to watch us",1,"As a concerned digital citizen interested in protecting my privacy, I want Facebook to stop over-sensoring users and stop acting
like a surveillance state owned by the government. This will help me regain control of my personal data and ensure that social media
isn't used for malicious purposes.","As a user concerned about censorship, privacy, and potential political bias, I want Facebook to stop censoring content based on subjective criteria, to stop tracking and spying on users (including listening to conversations), and to address concerns about its owner's political contributions and alleged connections to intelligence agencies.  I want Facebook to respect user privacy and ensure fair and unbiased content moderation.","As a Facebook user,I want stronger privacy protections and less 
censorship,so that I can use the platform without concerns about 
surveillance or biased content moderation."
"I can no longer see who liked my posts. Every time I click on anything it says, no data to show. Im getting unbelievably tired of the updates theyre doing. Im 100 about to go back to MySpace or just delete my Facebook account.",2,"As a Facebook user who values staying connected and engaging with friends, I want to see who liked my posts and have a stable, user-friendly experience without constant disruptive updates, so that I can enjoy using the platform without frustration or the need to consider alternatives like MySpace.","As a user, I want Facebook to restore the functionality that allows me to see who liked my posts.  I'm experiencing a ""no data to show"" error when trying to access this information, and this issue, combined with other frustrating updates, is making me consider leaving the platform.","
As a Facebook user,
I want to see who likes my posts and view interactions 
without issues,so that I can engage with my content and 
connections without frustration from broken updates."
"they monitor EVERYTHING and god forbid they dont agree with you. posts get deleted, they suspend you just about anything. its like a virtual parent that constantly grounds you. i dont even wanna know what they do with my private information.",2,"As a user concerned about privacy and fair treatment, I want transparent content moderation policies, clear communication about account suspensions, and explicit control over my personal data so that I can engage on the platform without fear of arbitrary penalties or misuse of my information. ","As a user concerned about censorship and privacy, I want Facebook to stop overly monitoring my activity and censoring my posts simply because they disagree with my viewpoints. I want to express myself freely without fear of deletion or suspension.  I also want more transparency about what Facebook does with my private information and assurance that it's being handled responsibly.","As a Facebook user,
I want more control over my posts and privacy,
so that I can express myself freely without fear of censorship 
or misuse of my personal information."
Its fine until I go to my profile to see view as and cant look at my pics. I want to be able to look at my pics while in view as because its easier to see what pics and videos of mine that complete strangers can see instead of going through all the pics and videos and changing their individual privacy settings. Can yall fix that please,2,"As a user, I want to be able to view my photos and videos in ""View As"" mode so that I can easily see what complete strangers can see on my profile. This would save me time and effort compared to manually checking each photo and video's privacy settings individually. Please fix this so I can manage my profile more efficiently.","As a user concerned about my privacy settings, I want the ""View As"" feature on my profile to allow me to see all my photos and videos as a stranger would, so I can easily review and adjust the visibility of my content without having to manually check each item's individual privacy settings.","As a Facebook user,
I want to view my pictures and videos while in ""View As"" mode,
so that I can easily see which content is visible to strangers without having to check individual privacy settings."
"13 years I trusted this site with my life.. only to find out its a data collecting agent of China , pushing communism with its sensoring and false narratives. Big money BIG EVIL .. this app needs to be a mistake of the past.",2,"As a long-time user who once trusted this platform, I feel betrayed by its data collection practices, censorship, and promotion of false narratives. I want to see this app held accountable for its actions and ultimately become a thing of the past, so that users are no longer subjected to its unethical practices and manipulation.","As a user who has used Facebook for many years, I'm concerned about the platform's alleged ties to China, its censorship practices, and the spread of what I perceive as false narratives. I want Facebook to address these concerns about data collection, political influence, and content manipulation, as I believe these actions constitute a serious betrayal of trust.","As a Facebook user,
I want greater transparency around data usage and content moderation, so that I can feel confident that the platform aligns with my values and respects my privacy without promoting misleading narratives."
