reveiw_content,user_story
I play videos in FB I have no sound,I have no sound
I get on facebook it sees that the session has expire,it sees that the session has expire
I launch the app the app wo n't open,the app wo n't open
I try to open it problem persists,problem persists
I have the notifications setting I get no notifications from people trying to message me,I get no notifications from people trying to message me
"I recently updated to the latest version on my iPad mini It loads the title screen , switches to the new purple "" Loading "" screen and crashes whenever","It loads the title screen , switches to the new purple "" Loading "" screen and crashes whenever"
"I uninstalled , no difference the games is playable again",the games is playable again
this app I 'm connected to wifi this app will only sign me in,this app will only sign me in
you open a new story You have to close a commercial,You have to close a commercial
I open the app I ca n't see anything,I ca n't see anything
"I try to scroll , search , etc of today - May 28 , 2014 , the app keeps crashing","of today - May 28 , 2014 , the app keeps crashing"
"I login I can not access my reservations , , it force closes","I can not access my reservations , , it force closes"
I enter an amount to transfer The number pad will not hide itself,The number pad will not hide itself
I go to spin the daily spinner it crashes,it crashes
"I put in my username that I set up online last week Says "" Invalid Credentials","Says "" Invalid Credentials"
I click on a story the app constantly closes,the app constantly closes
I use the app I have to login,I have to login
I go I ca n't stand,I ca n't stand
wo n't let me open it says I have one snap to open,says I have one snap to open
I sit through the whole thing It does n't go away,It does n't go away
you try to take a picture of the check the app crashes,the app crashes
the updated the camera on my phone does n't work on other peoples phones,does n't work on other peoples phones
I log on it tells met pass code is incorrect on the first try,it tells met pass code is incorrect on the first try
"I make a mobile deposit , the app closes",", the app closes"
"launch it from the notification The glitch where it says someone it writing or any notification is glitch , i get a snapchat , i have to close the application","The glitch where it says someone it writing or any notification is glitch , i get a snapchat , i have to close the application"
You ca n't listen to a song without it randomly selecting another before the random song is selected it does n't go to the original song you wanted,the random song is selected it does n't go to the original song you wanted
"you open the spreadsheet from the Google Drive it seems that you basically can only look at it once open , double tapping on any cell does nothing , if anything it zooms in and out but absolutely no way of editing cells","it seems that you basically can only look at it once open , double tapping on any cell does nothing , if anything it zooms in and out but absolutely no way of editing cells"
I hold onto it My snapchat wo n't load,My snapchat wo n't load
"I click on them No landscape , crashes , the home page only shows like 5 posts , you ca n't view events , I ca n't view my inbox messages","No landscape , crashes , the home page only shows like 5 posts , you ca n't view events , I ca n't view my inbox messages"
I try to use it my phone freezes for at least 5 min,my phone freezes for at least 5 min
you enter the app again it crashes sending you back to the home screen,it crashes sending you back to the home screen
I open the app it makes the photo dark & almost black,it makes the photo dark & almost black
you use it it yells at you,it yells at you
receive text messages it fails to update on other devices,it fails to update on other devices
"posting comments waiting , waiting for what I typed It takes FOREVER to load , posting comments is an exercise in frustration - having to wait","It takes FOREVER to load , posting comments is an exercise in frustration - having to wait"
I spend more time trying to get on It load,It load
i get on the FB app now it keeps logging me out,now it keeps logging me out
reinstall all my progress will be erase the app is deleted by mistake,the app is deleted by mistake
I try to log in it ca n't find me,it ca n't find me
I request my password it ca n't find me,it ca n't find me
I try to create an account it says there is an error,it says there is an error
u come back the text dissapears,the text dissapears
I click it it says sorry only one spin a day like thanks,it says sorry only one spin a day like thanks
someone takes a screenshot This app no longer alerts you,This app no longer alerts you
I open it it loads for what seems like forever,it loads for what seems like forever
I open it The app keeps crashing,The app keeps crashing
I open it This version keeps on crashing and closing,This version keeps on crashing and closing
I click it Snapchat wo n't let me open the app,Snapchat wo n't let me open the app
"I updated it I used this app everyday , 90 percent of the time it says , "" can not get weather data","I used this app everyday , 90 percent of the time it says , "" can not get weather data"
using this app it slows down everything,it slows down everything
"I open up the app now , the location is random","now , the location is random"
I try to scroll thru cities It hesitates,It hesitates
"I redeem the pick of the week I always get an error saying , "" We 're sorry","I always get an error saying , "" We 're sorry"
whenever I want to log on as well Now it still says that,Now it still says that
"attempting to redeem pick of the week I receive a message "" we 're a system error has occurred "" since the update","I receive a message "" we 're a system error has occurred "" since the update"
i log in it later say session expired,later say session expired
you come back to your message / comment / status it 's ALL GONE,it 's ALL GONE
I open the app it shows that I already opened them,it shows that I already opened them
I 'd like to use this app it my password is n't remembered,it my password is n't remembered
App connecting to network App is freezing,App is freezing
I use it Now the app crashes,Now the app crashes
you click on pic albums 2 Friends ' profile info is not always listed 3,Friends ' profile info is not always listed 3
anyone calls texts it 's stops tracking my mileage,it 's stops tracking my mileage
I receive a new message I am no longer receiving any notifications,I am no longer receiving any notifications
i went to log back onto my account it took forever to load,it took forever to load
they asked me to log in again I do the app crashed,I do the app crashed
hit the button saying unable to connect,saying unable to connect
I take a picture of the check Still crashing,Still crashing
i deleted it it was slow,it was slow
trying to download song or app seems to keep track of earned stars ok,seems to keep track of earned stars ok
you open an ad flashes up,an ad flashes up
"The google drive was center of my editing of documents , it asks me to download other apps",", it asks me to download other apps"
I login through website it works,it works
select yet again The user is now forced back out of,The user is now forced back out of
I should be able to just check my Facebook no I have to consistently log back in,no I have to consistently log back in
I click the game it takes me to the loading screen,it takes me to the loading screen
I scroll my newsfeed The app freezes,The app freezes
I go to put in the confirmation number I got online it will not allow pasting,it will not allow pasting
I try to open it This app keeps closing,This app keeps closing
"somebody sends me a snap in the middle of sending one First of all , it takes forever to send a video snap","First of all , it takes forever to send a video snap"
I press play it always is blotchy,it always is blotchy
I save Google Drive docs to my device they are not visible in the Docs app,they are not visible in the Docs app
I can enter what I ate it does n't enter calories,it does n't enter calories
I click on the app It keeps saying that I have a notification,It keeps saying that I have a notification
"I get a message It always pops up "" Session has expired","It always pops up "" Session has expired"
I open it I still get notifications,I still get notifications
I open it it tells me the info for my area is not available,it tells me the info for my area is not available
I minimize the messages are deleted its terrible,the messages are deleted its terrible
"I try to pull up weather I used to use this app a couple times a day , ever since new update I get "" no data","I used to use this app a couple times a day , ever since new update I get "" no data"
try to deposit check Always gives error,Always gives error
you tap on it in your notifications you have to go back 54 times,you have to go back 54 times
I clicked out of the game the level restarted,the level restarted
i use the app it crashes,it crashes
"i d go to a post For iPad can no longer unfollow the post in the top right like i could , this is a terrible change","For iPad can no longer unfollow the post in the top right like i could , this is a terrible change"
I downloaded the app it crashes,it crashes
like I had already opened it I have n't,I have n't
"I try to click on a status , on my likes that post , in order to read more the app quits",the app quits
upload it goes to my home screen,goes to my home screen
I open Facebook app back up it 's not even where I left off,it 's not even where I left off
I am deleting although I have to select at least one star,although I have to select at least one star
I have the correct information to provide it says that Skype does n't recognize the username or password,it says that Skype does n't recognize the username or password
I open it it would crash,it would crash
"I scroll down Its closes alone , the app closes","Its closes alone , the app closes"
manage my card an app is unable to do its basic function,an app is unable to do its basic function
", I open the alert I can never find the story in the app",I can never find the story in the app
you open a link Facebook insists of opening links in its own platform,Facebook insists of opening links in its own platform
"I view a friends page Also , I get kicked out of the app","Also , I get kicked out of the app"
I put it in my pocket the unlock button shows and it wo n't lock again,the unlock button shows and it wo n't lock again
your trying to watch a video The ad 's are not a 5 - 10 second ad,The ad 's are not a 5 - 10 second ad
I use the front flash sometimes it turns my brightness up all the way,sometimes it turns my brightness up all the way
I take a snapchat It 'll stop my music,It 'll stop my music
I logged out could n't even get back in,could n't even get back in
I got on the app if it was n't already a pain in my rear to have to change to recent,if it was n't already a pain in my rear to have to change to recent
I check The FB app constantly says that I have one notification,The FB app constantly says that I have one notification
I go use the app it returns me to the home page,it returns me to the home page
"you open the "" story there 's no story",there 's no story
I have full bars Always shows up not available,Always shows up not available
I open the app it says the weather for my location is not available,it says the weather for my location is not available
my friends are on The stupid yellow FaceTime button is n't turning blue,The stupid yellow FaceTime button is n't turning blue
I take a photo it either records a video,it either records a video
taking a picture it will just get stuck,it will just get stuck
"Today , I was trying to send my friend ( on messenger of course the app froze",the app froze
"I press the "" new stories "" button Not freeze up on a picture i click on , or crash","Not freeze up on a picture i click on , or crash"
"I open it However , the app crashes","However , the app crashes"
I turn around I ca n't seem to find the pollen warnings,I ca n't seem to find the pollen warnings
It going through photos It freezes,It freezes
It scrolling through the news feed for it to go back to normal,for it to go back to normal
I enter my username it says it ca n't connect,it says it ca n't connect
I open the app it closes right away,it closes right away
I open the app ... with the new update and all It keeps crashing on me,It keeps crashing on me
Already deleted the app from my phone that even works,that even works
see what the chatted it just disappears,it just disappears
signing back in Ca n't get past the tutorial screen other than hard closing app,Ca n't get past the tutorial screen other than hard closing app
I was about to the point of just leaving the US bank all together wo n't work,wo n't work
I try to add photos upload the app crashes,upload the app crashes
"messaging in a chat with more than two people A few weeks ago , it started pending for minutes , ( really annoying","A few weeks ago , it started pending for minutes , ( really annoying"
even i click on that filter My app freezes 24/7,My app freezes 24/7
I have to retype it logs me out again,it logs me out again
i scroll down my timeline This app is not working right,This app is not working right
"I 'm looking at them For whatever reason , updates are being jostled","For whatever reason , updates are being jostled"
someone sends you a message there 's no sound,there 's no sound
my phone is in sleep mode there 's no noise or vibration,there 's no noise or vibration
I open it it crashes,it crashes
I have to start over Crashing apps have no place on my phone,Crashing apps have no place on my phone
it let me download it New update just says it 's not compatible again,New update just says it 's not compatible again
I fly I do n't want to log out and back in again,I do n't want to log out and back in again
I close the app I get a message saying session expired,I get a message saying session expired
I log back in it 's slow as molasses loading,it 's slow as molasses loading
I go to it all it does is say LOADING and nothing happens,all it does is say LOADING and nothing happens
I 've updated it crashes,it crashes
I have to log on to the computer it 's not broke,it 's not broke
i try to log in via email and password it gives an error code,it gives an error code
I would type it all out it takes at least 5 mins it slows it down,it takes at least 5 mins it slows it down
just to view it it takes forever to load pictures,it takes forever to load pictures
I send it to more than one person 3 ) sometimes text disappears,3 ) sometimes text disappears
you try to get in The app does not work it says need connection,The app does not work it says need connection
open Facebook it takes 20 seconds connected to wifi for the notification icon in Facebook to show,it takes 20 seconds connected to wifi for the notification icon in Facebook to show
I snap a photo of check I tried to do a mobile deposit crashes,I tried to do a mobile deposit crashes
I try to add pictures It just crashes,It just crashes
I try to take a picture of the check Ca n't deposit checks now,Ca n't deposit checks now
Click on page post stats I can not even view the danged stats,I can not even view the danged stats
I take a picture with my front facing camera with the flash on the app freezes for a moment,the app freezes for a moment
"you take a picture using the flash one last thing , occasionally it ends up turning up the brightness all the up on my phone","one last thing , occasionally it ends up turning up the brightness all the up on my phone"
I 'm in new menu demo I ca n't escape,I ca n't escape
I open the app the ad comes up,the ad comes up
you do a bunch of verifications you 're gone,you 're gone
I have been trying to upload some videos for English for the past 12 hours I try to open my uploads the app crashes,I try to open my uploads the app crashes
"I 'm scrolling down / reading Recently , within the last week or two , the text within an article will jump back to the top / beginning","Recently , within the last week or two , the text within an article will jump back to the top / beginning"
"you switch to a new article It seems like , it will jump as well","It seems like , it will jump as well"
I convert it to a Docs file the document would n't load,the document would n't load
Scheduled a credit card payment using bill pay received an error message,received an error message
"I see a post Now , it 's never current , it 's always a week ago","Now , it 's never current , it 's always a week ago"
I open the app begin navigating it shuts down,begin navigating it shuts down
I try to take a picture It turns off my music,It turns off my music
I close it it says session expired this is really annoying,it says session expired this is really annoying
"I open a vid So , on the app , , I am forced to cancel the ads at least three times","So , on the app , , I am forced to cancel the ads at least three times"
I open it today it just shuts off,it just shuts off
I try to send pics Recently the app began force closing,Recently the app began force closing
even I check it It shows an alert,It shows an alert
"you tap it Most of the time , nothing happens","Most of the time , nothing happens"
"you tap the link The rest of the time , nothing happens","The rest of the time , nothing happens"
I get to the username screen it says it ca n't connect,it says it ca n't connect
You open it it sometimes freezes,it sometimes freezes
