review_content,final_label,user_story
"In addition to being notorious for it39s privacy preaching tactics, selling users data to advertising agencies, Facebook continues it39s downfall into degeneracy by silencing and censoring voices that oppose what39s currently happening in Palestine. freegaza",1,"As a user concerned about freedom of speech and access to diverse viewpoints, I want the ability to express my opinions on political issues like the situation in Palestine without fear of censorship or account suspension so that I can engage in open and honest discussions about important global events. 
"
"Ive been trying to get a hold of Facebook because I dont have access to my email but I have a phone number on my account but it wont send me confirmation to my number  all my other apps are logged in to my Facebook account big mistake when I try and get help it gives me things I can do but I did it and it still didnt help me, Facebook can you help me yet?",2,"As a Facebook user who has lost access to their email, I want the ability to recover my account using my registered phone number so that I can regain access to my profile and connected applications.

Currently, the platform's recovery process does not successfully send confirmation codes to my phone number, despite it being listed on my account.  I need a solution that allows me to verify my identity through alternative means and restore access to my Facebook account. 
"
"Keep getting banned on Facebook for random things, like posting a video of my own daughter walking, and things taken out of context. Even when Facebook review and realise they made a mistake and admit to it and apologise they dont remove that data stored on you so your account is constantly harassed and silenced!! Wont be using it anymore. Im British at Facebook doesnt understand our humour, banter, context  its very annoying we used these apps to stay connected to family, for work, etc.",2,"As a user who wants to stay connected with family and use the platform for work, I need Facebook to accurately assess content and understand cultural nuances like British humor. Currently, I am frequently unfairly banned for innocent posts, even when Facebook acknowledges its mistakes. This persistent flagging and silencing hinders my ability to use the platform effectively. 
"
"I have been locked out of my account for 2 weeks now after being hacked.  I have contacted Facebook via email relentlessly as Incan not access the help or report section of the platform.  This has caused me to be locked out of my Instagram account as well.
I use the platforms for my business.  My customers think that we have gone out of business.  I spent hours on the phone with my carrier and Apple thinking that something was wrong either with the phone or my carrier.  Its Facebook.   Short codes are coming in from everyone else except them, and they have yet to reply.",2,"As a user who relies on Facebook for business, I need a reliable way to recover my account after being hacked. Currently, I am unable to access the help or report section due to the lockout, preventing me from regaining access and causing significant damage to my business as customers believe we are closed.  I need a timely response to my support requests to resolve this issue. 
"
"For all the good Meta does in keeping us connected your company, your leadership and enablers have hooked users to over sharing and over exposure.  In so doing this corporation parasitically intentionally feeds on our unconscious insecurities and shadow via algorithms.  This leads to profound suffering and loss of intimate connections.  This has been my experience.  I believe there deserves to be a class action lawsuit to hold FacebookMeta and its leadership accountability for the incredible political,  societal and individual harm their endless selfish greedy quest for power through data manipulation has wrought.",2,"As a user concerned about mental well-being, I want Meta to redesign its algorithms so they prioritize healthy online interactions and reduce oversharing.

This is because the current system encourages excessive exposure and exploits users' vulnerabilities, leading to feelings of inadequacy, strained relationships, and emotional distress.  I believe this algorithmic design contributes to widespread harm and should be addressed for the benefit of users. 
"
"The site not only has bias on every topic, but they also dont allow the user any privacy.  They will also censor anything that they dont agree with by flashing it as false when in fact it is not false or by taking down your post.  This is very close to communistnazi behavior and is unacceptable in a free country.",2,"As a user concerned about freedom of expression, I want the ability to post content without censorship or fear of my account being penalized for expressing views that differ from the platform's own. I also need assurance that my data and online activity are treated with respect and privacy, rather than being used to unfairly influence my experience on the site. 
"
"Facebook is too woke and too much sensoring.   They track you, spy on you, and listen to your convos.  Not to mention the owner contributed millions to stealing election.  It was invented by CIA to watch us",1,"As a user concerned about privacy and censorship, I want to use a social media platform that doesn't track my activity, censor my posts, or engage in political manipulation. I need a platform where I can freely express myself without fear of surveillance or unfair content moderation. 
"
"I can no longer see who liked my posts. Every time I click on anything it says, no data to show. Im getting unbelievably tired of the updates theyre doing. Im 100 about to go back to MySpace or just delete my Facebook account.",2,"As a user, I want to see who has liked my posts so I can engage with them. Currently, clicking on like lists shows ""no data to show,"" which is frustrating and makes me feel disconnected from my audience.  Frequent updates that break core functionalities are driving me away from the platform. 


"
"they monitor EVERYTHING and god forbid they dont agree with you. posts get deleted, they suspend you just about anything. its like a virtual parent that constantly grounds you. i dont even wanna know what they do with my private information.",2,"As a user, I want to be able to express myself freely on the platform without fear of censorship or suspension. 

Currently, the platform's strict moderation feels overly controlling and invasive, leading to concerns about the privacy and security of my personal information. I want a more open and trustworthy online environment where my voice is respected. 
"
Its fine until I go to my profile to see view as and cant look at my pics. I want to be able to look at my pics while in view as because its easier to see what pics and videos of mine that complete strangers can see instead of going through all the pics and videos and changing their individual privacy settings. Can yall fix that please,2,"As a user, I want to be able to view my own pictures and videos within the ""view as"" profile feature. This would allow me to easily identify which media items are publicly visible to strangers without having to manually check and adjust individual privacy settings. Being able to see my content from a stranger's perspective would simplify privacy management. 
"
"13 years I trusted this site with my life.. only to find out its a data collecting agent of China , pushing communism with its sensoring and false narratives. Big money BIG EVIL .. this app needs to be a mistake of the past.",2,"As a concerned user who has relied on this site for 13 years, I need the platform to be transparent about its data collection practices and affiliations. The current censorship and promotion of potentially biased narratives erode trust and raise concerns about hidden agendas. I want to feel confident that the information I access is accurate and unbiased, free from political manipulation. 


"
"My 15 year old account got hacked and disabled with 2 factor identification on. Facebook reported to have made 116 billion dollars in 2022, but cant afford customer service. I cant recover my account because it was disabled. Facebook also took the liberty to disable my Instagram account. Both disabled with no review. I have never caused in issue on either apps going against there terms and agreements. But I learned a valuable lesson, you dont have any rights to your profiles, pictures, conversations, or business information etc, they can take it away and not give it back at any given time. I have spent many hours researching, sending emails, trying different things etc. to no avail. Thanks Facebook for the complete disappointment and for completely not caring about your customers.",2,"As a user with a 15-year-old account protected by two-factor authentication, I want to be able to recover my disabled Facebook and Instagram accounts without facing unreasonable barriers. This is crucial because my accounts contain valuable personal information, conversations, and business data that are important to me. The current lack of customer service options makes it impossible to resolve this issue, leaving me feeling powerless and frustrated.  
"
"I like to delete andor hide almost everything I have previously seen from FB on a daily basis. Now FB is sending out more of their own garbage than I get from friends. Even though I have clearly requested NO memories, they keep sending more and more. Their reporting system is a waste of time. The buttons on anything they send you dont work and when used just eats up data for hours at a time. I am flooded with Suggested Pages, Friendverseries, Videos, etc and the buttons dont work. The more you report, the more they send.",2,"As a Facebook user, I want to be able to easily delete and hide past posts and activity so that my feed is primarily populated with content from friends. Currently, Facebook bombards me with unwanted ""memories,"" suggested pages, friend suggestions, and videos, even though I've explicitly requested not to see them. The reporting system for these unwanted items is ineffective, with buttons often failing to work and wasting data. 
"
"It is amazing that Facebook refuses to listen to those who want to use the app but find it a waste of time.  We know you make your money by ads, we could care less.  I have seen thousands of requests to allow users to set how they see their feed, most recent, all comments, etc. but you continue to shovel feed with comments most relevant a unique way to say we will only show you what we want you to see, top posts instead of all posts, again a way of censoring.  This truly is becoming the most inconvenient way of trying to communicate while being the biggest corporation spying on everyones action including what you do on the net that has nothing to do with Facebook.  Their trackers are monetizing every action you do.",2,"As a Facebook user, I want to be able to customize how my news feed is displayed, such as viewing posts in most recent order or seeing all comments, so that I can have more control over the content I see and avoid feeling like my experience is being manipulated by algorithms. 
"
"This app has completely went downhill !!! NOT A LICK OF FREEDOM LEFT , THEY MONITOR ALL OF YOUR PERSONAL INFO EVEN WHEN APP ISNT BEING USED. If you try to change your own personal information, you cant until after 30 security questions then it still wont let you. BEYOND POLITICAL AND RACIST. Quick to flag people of color posts but let them be white they can say all the racists things on social media that they want !",2,"As a user concerned about privacy and freedom of expression, I want to be able to control my personal information and post freely without excessive monitoring or biased content moderation so that I can feel safe and respected on the platform. 

Currently, the app restricts access to personal information, requires a lengthy security process for changes, and seems to disproportionately target users of color for content removal while allowing racist content from white users. 
"
Ive had the same Facebook since 2009 somebody hacked me I can I want to go to my page theres so many photos and memories on that page business accounts and now I have no access to get in there I no longer use that email address and cannot change the password somebody hacked into my stuff tonight somebody please point me in the right direction,2,"As a long-time Facebook user with an account from 2009, I need a way to recover access to my profile despite losing access to the associated email address. My account contains valuable personal photos, memories, and business information.  I have been hacked and cannot change the password. 

I need help regaining access to my account urgently. 
"
"If you want your data stolen, download this app. If you want Facebook to spy on you, download this app. If you want your data sold, download this app. Constantly having to change settings so they do not have access to my camera, mic, contacts etc. after each update is just incredibly messed up. Download at your own risk! I will never get back on this app",2,"As a user concerned about privacy, I want the ability to control data access permissions without constantly having to readjust them after updates.  Currently, the app aggressively requests access to my camera, microphone, and contacts, making me feel like my data is not secure. This lack of control makes me hesitant to use the app. 
"
"Theyve changed the algorithms to make it more difficult for those trying to advertise their business. They censor what information theyd like you to receive. They track every piece of your existence and collect every ounce of information about you, your usage etc. They also access your microphone anytime they see fit.",2,"As a user concerned about privacy and fair advertising practices, I want the platform to be more transparent about its algorithms and data collection practices so that I can trust it with my personal information.

Specifically, I need to understand how the algorithms impact business visibility, have control over the information shared, and be assured that my microphone is not accessed without explicit permission. 
"
"My Facebook page got hacked and its no way for me to retrieve it. The person took over my whole account. Every time I try to recover it, it goes to his information. He has tried to get money from my friends and he tells them that my son is sick. This is terrible and Facebook need to find a better way in recovering people page. Lori Allen was my Facebook page and now its a man up there. Very disappointed.",2,"As a Facebook user, I want a more secure account recovery process so that I can regain access to my hacked account, even when the hacker has changed personal information.

This is crucial because I was unable to recover my account (Lori Allen) after it was taken over by a scammer who used it to solicit money from my friends under false pretenses. 
"
"I can create an avatar on Instagram and on one of my Facebook business pages but I still cant create one on my personal page where I would actually use it! Please for the love of God, fix this. My app is up to date and Im using an iPhone 12 Pro Max so it isnt my device or the app thats the problem. I have even logged into my account on other peoples phones who have the avatar feature and it works for their account but not mine. What the heck, Facebook?!",2,"As a Facebook user, I want to be able to create a custom avatar for my personal profile, so that I can personalize my online presence and express myself creatively.

I am unable to access this feature despite it being available on other accounts and platforms like Instagram, and have confirmed the issue is not related to my device or app version. 
"
