data,app,type,generated_user_story
"Please huawei, fix the issue of steps counting from both the phone and the watch which is giving a composite reading. It is totally an acceptable. Give us the option to the source of steps counting.",Huawei Health,problem_report,"As a user, I want the ability to select a single source (phone or watch) for step counting so that I get an accurate step count and avoid duplicate readings.
"
Love this app and all the features. It works great since my phone comes with it. My only complaint is that I wish there was a widget for the food tracker I need the app. The only widget they have available is for counting steps.,Samsung Health,feature_request,"As a user, I want a widget for the food tracker so that I can easily track my food intake without opening the app.
"
"I upgraded to an Samsung S6. Now my Garmin won't Sync at all. I uninstalled the app and installed it back, still won't sync. It's been 3 weeks. What else can I do? It is very frustrating!",Garmin Connect,problem_report,"As a user with a Samsung S6, I want the Garmin app to sync reliably with my device so that I can track my activity data without frustration or having to troubleshoot.
"
before i paired Honorband 4 to my device i had installed this app & whats strange is started counting my steps ...How its possible ?.. although its not showing correct data,Huawei Health,problem_report,"As a user, I want the app to accurately track my activity data (steps, etc.) only after I have paired my device, so that I can be confident in the information the app provides.
"
"Like the app. Except for everytime I put a workout in the app, my step cals always disappear, and the app doesn't show all my step cal.",Samsung Health,problem_report,"As a user, I want the app to accurately track and consistently display my step calories after I log a workout, so that I can reliably monitor my overall activity and progress.
"
"I like the Garmin ecosystem and while there are a few bugs and glitches, overall I enjoy it. That being said I've never used another fitness tracking app. Still prefer the desktop website though.",Garmin Connect,problem_report,"Here's a possible user story based on the review:

**As a user familiar with the Garmin ecosystem, I want the mobile app to feel as robust and reliable as the desktop website so that I can have a consistently positive experience across all platforms.**

**Explanation of choices:**

*   **Focus on the actionable element:** The core actionable element of the review is the preference for the desktop website. The bugs/glitches are mentioned, but those would likely generate separate, more specific bug-related user stories.
*   **Positive framing:**  The user story tries to frame the need in a positive way, aiming for consistency of experience.
*   **Target user identified:** It specifies the user is familiar with (and presumably likes) the Garmin ecosystem to provide the user story with context."
"I liked it before the latest updates where you could see weight by day, week and month with averages and high and low. Now you can only see it by day so useful functions have been removed!",Samsung Health,feature_request,"As a user, I want to see my weight tracked by day, week, and month, including averages and high/low values, so that I can easily monitor my weight trends over time, as I could before the latest update.
"
"I am not able to connect my band on this app on moto x play mobile, running Android 6. I am able to pair it on my iPad, but it doesn't give me complete benefits of this band.",Garmin Connect,problem_report,"As a user with a Moto X Play mobile running Android 6, I want to be able to connect my band to the app and access all its features so that I can fully utilize my band's functionality.
"
"Used the app on Galaxy S10 for counting steps and for monitoring my heart rate. Since last S10 update, heart rate monitoring no longer functions. Please bring it back. I need it to check my heart rate and not currently in the market to buy a watch.",Samsung Health,problem_report,"As a user with a Galaxy S10, I need the heart rate monitoring function to work again after the recent S10 update so that I can track my heart rate without needing to purchase a separate device.
"
App has been awesome until the update within the last hour or so. Since then the app is completely not usable and continually has a box pop up on Android that connect keeps stopping. Please fix asap!,Garmin Connect,problem_report,"As an Android user, I want the app to be stable and functional after updates so that I can reliably use it without disruptive ""connect keeps stopping"" errors.
"
It did not work on motorola one vision. It was show that need new version of app gallery which i installd but even that it continue to show the same. So i installed HMS core and now works perfect. But yes it drains the battery,Huawei Health,problem_report,"Here are a few user stories we can extract from the review, broken down for clarity:

*   **User Story 1 (Focus on compatibility):** ""As a user with a Motorola One Vision, I want the app to be compatible with my device without requiring workarounds (like installing HMS Core) so I can use the app without unnecessary troubleshooting.""

*   **User Story 2 (Focus on the error message):** ""As a user encountering the 'need new version of app gallery' error, I want the app to function correctly when the required app gallery version is already installed, or provide a clearer, more accurate error message, so I don't have to resort to potentially unnecessary solutions.""

*   **User Story 3 (Focus on Battery Drain):** ""As a user, I want the app to minimize battery consumption so that it doesn't significantly impact my device's battery life.""
"
"Can you add programs where I can select my current level (or you figure it out based on my history) and select my goal, like half marathon, or marathon?",Samsung Health,feature_request,"As a user, I want to be able to select my current fitness level (or have it automatically assessed) and choose a specific goal (e.g., half marathon, marathon) so that I can receive a personalized training program tailored to my needs.
"
I Purchased to FR 220 for the Bluetooth Sync opinion and tried to pair my FR 220 with my Evo 4g LTE and it said it wasn't compatible... So it won't sync. I'm not happy a $270 watch and I can't use it to full capability.,Garmin Connect,problem_report,"As a user with a Forerunner 220 (FR 220), I want to be able to sync my watch data with my Evo 4G LTE phone via Bluetooth so that I can utilize the full functionality of the device after paying a premium price.
"
"If your heart rate is too high, like after a good cardio sesh it wont give a bpm, which is ridiculous, just tell me how fast its going, damn.",Samsung Health,problem_report,"As a user, I want the app to display my heart rate even when it is very high, so that I can track my heart rate accurately during and after intense workouts.
"
Doesn't work with my GT watch anymore. Keeps saying update in appstore but there there is no update available to fix. Updated app doesn't fix.,Huawei Health,problem_report,"As a user with a GT watch, I want the app to be compatible with my device so that I can use it seamlessly without encountering error messages or being prompted for nonexistent updates.
"
"It stops recording run the moment you stand still. If there is a setting to disable this, it is obscurely hidden. Unusable for running, unfortunately.",Huawei Health,problem_report,"As a runner, I want the app to continue recording my run even when I'm stationary, or to have a clearly visible and easily accessible setting to disable automatic pause, so that I can accurately track my entire run without interruptions.
"
App has frozen today and will not count steps or log activity. Have tried all I can think of to make it work again. Up until now it has been a great app.,Samsung Health,problem_report,"As a user, I want the app to reliably track steps and log activity without freezing so that I can consistently monitor my fitness progress.
"
"Who updates an app by removing a host if useful features - weight tracking, water drunk...The app now just seemscto be an add player. Really wished I hadn't upgraded & ignore the reply when they tell you to keep the app up to date.",Samsung Health,feature_request,"Here's the conversion of the review into a user story:

**User Story:** As a user, I want to retain useful features like weight tracking and water intake logging so that I can continue to monitor my health and wellness data effectively and avoid distractions from excessive ads.
"
"It's great now. Love. Just wish you could pause the run instead of stopping it, or is there a way to pause without stopping it?",Garmin Connect,feature_request,"As a user, I want the ability to pause a run instead of stopping it (or clear instructions on how to pause a run if the functionality already exists) so that I have more flexibility and control over my workout tracking.
"
"It is a good app, but even though it knows my birth date, it can't correctly calculate my heart zones, meaning my calories spent is always wrong, without resting it every time.",Huawei Health,problem_report,"As a user, I want the app to accurately calculate my heart rate zones based on my birth date, so that my calorie expenditure is correct without needing to reset it.
"
Why app is not opening on my oneplus 8 pro..its showing download latest version from huawei app gallery...i did that also but still not working..,Huawei Health,problem_report,"As a user with a OnePlus 8 Pro, I want the app to open and function correctly from the Huawei App Gallery so that I can access and use its features.
"
"Outdated app. Does not sync with Huawei Watch GT2 Pro (""not compatible""). Beware! Huawei asks to download an out-of-store .apk to use your smartwatch. Great hardwar but troublesome software. Find version from 2020, it will work.",Huawei Health,problem_report,"Here's a user story based on the provided review:

""As a user with a Huawei Watch GT2 Pro, I want the app to be compatible and sync properly so that I can seamlessly use my smartwatch with the app without needing to install potentially risky out-of-store .apk files.""
"
Cheap play by huawei. It is asking to install its own app store and download its other useless apps for this to function. @GOOGLEPLAY look into this..,Huawei Health,feature_request,"As a user, I want the application to function without requiring installation of additional app stores or unnecessary apps so that I can use the application without unnecessary steps and potential security concerns.
"
It now requires an upgrade to Huawei Mobile which is not available in my country of Japan. So my Huawei Watch cannot be used with my Huawei phone. Joke of a company,Huawei Health,problem_report,"As a Huawei phone and watch user in Japan, I want to be able to use my Huawei Watch with my Huawei phone without requiring Huawei Mobile Services so that I can continue using the devices I have purchased.
"
"I love this app but since my last phone update, the app is saying I'm burning 6000 calories by the end if the day! I wish, lol. Hopefully this gets corrected soon.",Samsung Health,problem_report,"As a user, I want the app to accurately track my calorie burn after phone updates so that I can rely on the data for my fitness goals.
"
Great app. Love you can put in your food intake and stuff. Would give a 5  star if the step counting would work all the time. It doesn't work more  often than it does work so I don't have a good idea of the calories burned  and such.,Samsung Health,feature_request,"As a user, I want the step counting feature to work reliably so that I can accurately track my calories burned and have a better understanding of my overall activity level.
"
"Love the app. It does more than I ever expected and seems to be getting better. The only issue I have ever had with this app is the occasional ""bug"" when they push out a new upgrade.",Garmin Connect,problem_report,"As a user, I want the app to remain stable and bug-free after updates so that my experience remains positive and uninterrupted.
"
would like to see an upgrade on the iQ apps. I use a lot for biking. don't like the fact that it doesn't stop the clock when I stop at a light,Garmin Connect,feature_request,"As a biking user, I want the iQ app to automatically pause the activity timer when I stop moving, so that my biking data accurately reflects my active riding time.
"
