data,app,type,user_story
"Please huawei, fix the issue of steps counting from both the phone and the watch which is giving a composite reading. It is totally an acceptable. Give us the option to the source of steps counting.",Huawei Health,problem_report,"As a user, I want the option to choose whether step counts are sourced from my phone or my watch (but not both simultaneously) so that I receive an accurate step count reading.
"
Love this app and all the features. It works great since my phone comes with it. My only complaint is that I wish there was a widget for the food tracker I need the app. The only widget they have available is for counting steps.,Samsung Health,feature_request,"As a user, I want a widget for the food tracker so that I can quickly access and update my food intake without opening the app.
"
"I upgraded to an Samsung S6. Now my Garmin won't Sync at all. I uninstalled the app and installed it back, still won't sync. It's been 3 weeks. What else can I do? It is very frustrating!",Garmin Connect,problem_report,"As a user with a Samsung S6, I want the Garmin app to sync with my device so that I can continue to track my activity data.
"
before i paired Honorband 4 to my device i had installed this app & whats strange is started counting my steps ...How its possible ?.. although its not showing correct data,Huawei Health,problem_report,"As a user, I want the app to accurately track my steps only after I have paired my device so that the step count data is reliable and reflects my actual activity.
"
"Like the app. Except for everytime I put a workout in the app, my step cals always disappear, and the app doesn't show all my step cal.",Samsung Health,problem_report,"As a user, I want the app to accurately save and display my step calorie data after I log a workout, so that I can reliably track my overall progress.
"
"I like the Garmin ecosystem and while there are a few bugs and glitches, overall I enjoy it. That being said I've never used another fitness tracking app. Still prefer the desktop website though.",Garmin Connect,problem_report,"Here are a few options for converting that review into user stories, focusing on different aspects:

**Option 1 (Focus on comparison point):**

*   ""As a user familiar with the Garmin desktop website, I would like the app to have a similar level of functionality and user experience so that I can seamlessly transition between platforms.""

**Option 2 (Focus on acknowledging value, while requesting improvement):**

*   ""As a user of the Garmin ecosystem, I want the app to be regularly maintained to minimize bugs and glitches so that I continue to enjoy the experience and remain a loyal customer.""

**Option 3 (More general, acknowledging the problem):**

*   ""As a user, I want the application to be as bug-free as possible so that I am not negatively affected while using it.""
"
"I liked it before the latest updates where you could see weight by day, week and month with averages and high and low. Now you can only see it by day so useful functions have been removed!",Samsung Health,feature_request,"As a user, I want to be able to view my weight data by day, week, and month, including averages and high/low data, so that I can track my weight trends and progress over time, as I could before the latest updates.
"
"I am not able to connect my band on this app on moto x play mobile, running Android 6. I am able to pair it on my iPad, but it doesn't give me complete benefits of this band.",Garmin Connect,problem_report,"As a user with a Moto X Play mobile device running Android 6, I want to be able to connect and fully utilize my band on this app, just as I can (partially) on my iPad, so that I can access all the app's features with my band on my preferred mobile device.
"
"Used the app on Galaxy S10 for counting steps and for monitoring my heart rate. Since last S10 update, heart rate monitoring no longer functions. Please bring it back. I need it to check my heart rate and not currently in the market to buy a watch.",Samsung Health,problem_report,"As a user with a Galaxy S10, I want the heart rate monitoring function to work again after the phone's software update, so that I can continue to track my heart rate using the app without needing to purchase a separate device.
"
App has been awesome until the update within the last hour or so. Since then the app is completely not usable and continually has a box pop up on Android that connect keeps stopping. Please fix asap!,Garmin Connect,problem_report,"As an Android user, I want the app to be stable and usable immediately after updates so that I am not blocked from using it due to crashes and error messages.
"
It did not work on motorola one vision. It was show that need new version of app gallery which i installd but even that it continue to show the same. So i installed HMS core and now works perfect. But yes it drains the battery,Huawei Health,problem_report,"Here are a few user stories that capture different aspects of the review, presented in order of priority (most important first):

**User Story 1 (Addressing Battery Drain)**

*   As a user, I want the app to minimize battery consumption so that I can use it without significantly reducing my device's battery life.

**User Story 2 (Addressing Initial Compatibility Issue):**

*   As a Motorola One Vision user, I want the app to function correctly without requiring manual installation of HMS Core, so that I can use the app without workarounds.

**User Story 3 (Addressing Misleading Error Message):**

*  As a Motorola One Vision user, I want the app to provide clear and accurate error messages if it requires an updated App Gallery so that I am not directed to install a new version when the existing version is sufficient.
"
"Can you add programs where I can select my current level (or you figure it out based on my history) and select my goal, like half marathon, or marathon?",Samsung Health,feature_request,"As a user, I want personalized training programs based on my current fitness level and my desired race goal (e.g., half marathon, marathon), so that I can train effectively and achieve my running goals.
"
I Purchased to FR 220 for the Bluetooth Sync opinion and tried to pair my FR 220 with my Evo 4g LTE and it said it wasn't compatible... So it won't sync. I'm not happy a $270 watch and I can't use it to full capability.,Garmin Connect,problem_report,"Here's a possible user story based on the review:

""As a user with a Garmin FR 220 and an Evo 4g LTE phone, I want the Bluetooth sync feature to be compatible with my phone so that I can fully utilize the watch's capabilities, especially after paying a premium price.""
"
"If your heart rate is too high, like after a good cardio sesh it wont give a bpm, which is ridiculous, just tell me how fast its going, damn.",Samsung Health,problem_report,"As a user, I want the app to display my heart rate even when it's elevated after exercise, so that I can accurately track my cardio performance.
"
Doesn't work with my GT watch anymore. Keeps saying update in appstore but there there is no update available to fix. Updated app doesn't fix.,Huawei Health,problem_report,"As a user with a GT watch, I want the app to be compatible with my watch again, without requiring a non-existent update, so that I can continue to use the app's features with my device.
"
"It stops recording run the moment you stand still. If there is a setting to disable this, it is obscurely hidden. Unusable for running, unfortunately.",Huawei Health,problem_report,"Here's the user story derived from the review:

**As a runner, I want the app to continue recording my run even when I stop moving so that I can accurately track my entire workout, including rest periods or brief stops.**
"
App has frozen today and will not count steps or log activity. Have tried all I can think of to make it work again. Up until now it has been a great app.,Samsung Health,problem_report,"Here's the user story conversion:

**User Story:** As a user, I want the app to reliably track steps and log activity without freezing so that I can depend on it for accurate fitness tracking.
"
"Who updates an app by removing a host if useful features - weight tracking, water drunk...The app now just seemscto be an add player. Really wished I hadn't upgraded & ignore the reply when they tell you to keep the app up to date.",Samsung Health,feature_request,"""As a user, I am frustrated that previously available features like weight tracking and water consumption tracking have been removed during an update because these were useful to me, and I now perceive the app as primarily focused on advertisements.""
"
"It's great now. Love. Just wish you could pause the run instead of stopping it, or is there a way to pause without stopping it?",Garmin Connect,feature_request,"As a user, I want the ability to pause a run, rather than only being able to stop it, so that I can interrupt and resume my run without losing my progress.
"
"It is a good app, but even though it knows my birth date, it can't correctly calculate my heart zones, meaning my calories spent is always wrong, without resting it every time.",Huawei Health,problem_report,"As a user, I want the app to accurately calculate my heart rate zones based on my birth date so that my calorie expenditure is correctly estimated without requiring manual resets.
"
Why app is not opening on my oneplus 8 pro..its showing download latest version from huawei app gallery...i did that also but still not working..,Huawei Health,problem_report,"Here's a possible user story conversion of the review:

**As a user with a OnePlus 8 Pro, I want the app to open and function correctly after downloading the latest version, so that I can access and use the app's features.**
"
"Outdated app. Does not sync with Huawei Watch GT2 Pro (""not compatible""). Beware! Huawei asks to download an out-of-store .apk to use your smartwatch. Great hardwar but troublesome software. Find version from 2020, it will work.",Huawei Health,problem_report,"As a user with a Huawei Watch GT2 Pro, I want the app to be compatible and sync seamlessly with my smartwatch so that I can utilize all the features of my devices without having to resort to outdated or unofficial software versions.
"
Cheap play by huawei. It is asking to install its own app store and download its other useless apps for this to function. @GOOGLEPLAY look into this..,Huawei Health,feature_request,"As a user, I want the app to function without requiring me to install Huawei's app store or other unnecessary apps, so that I can use the app without being forced into Huawei's ecosystem.
"
It now requires an upgrade to Huawei Mobile which is not available in my country of Japan. So my Huawei Watch cannot be used with my Huawei phone. Joke of a company,Huawei Health,problem_report,"Here's the user story conversion from the review:

**User Story:** As a Huawei phone and watch user in a country where Huawei Mobile Services upgrades are not available, I want the app to function without requiring the latest Huawei Mobile Services upgrade so that I can continue using my existing Huawei devices together.
"
"I love this app but since my last phone update, the app is saying I'm burning 6000 calories by the end if the day! I wish, lol. Hopefully this gets corrected soon.",Samsung Health,problem_report,"As a user, I want the app to accurately track my calorie burn after phone updates so that I can get realistic fitness data.
"
Great app. Love you can put in your food intake and stuff. Would give a 5  star if the step counting would work all the time. It doesn't work more  often than it does work so I don't have a good idea of the calories burned  and such.,Samsung Health,feature_request,"As a user, I want the step counting feature to work reliably so that I can accurately track my calories burned.
"
"Love the app. It does more than I ever expected and seems to be getting better. The only issue I have ever had with this app is the occasional ""bug"" when they push out a new upgrade.",Garmin Connect,problem_report,"As a user, I want new upgrades to be thoroughly tested and deployed smoothly so that I can avoid occasional bugs and maintain a consistently positive experience with the app.
"
would like to see an upgrade on the iQ apps. I use a lot for biking. don't like the fact that it doesn't stop the clock when I stop at a light,Garmin Connect,feature_request,"As a biking user of the iQ app, I want the app to automatically pause the timer when I stop (e.g., at a traffic light) so that my biking statistics accurately reflect my active riding time.
"
"update: congrats, you did it. it's the first app i actually turned notifications off!!! original: why do you need 'read call logs' permission? and why app is so persistent about that?",Garmin Connect,feature_request,"**Option 1 (Focus on the Permission Request):**

""As a user, I want to understand why the app requires 'read call logs' permission so that I can feel confident about my privacy and the app's security.""

**Option 2 (A broader story including both points):**

""As a user, I want clear and justifiable permission requests and manageable notifications so that I feel in control of my data and app experience.""

**Explanation of Choices:**

*   **Option 1:** Directly addresses the user's primary concern: the need for 'read call logs' permission and why it's needed. This is likely the most important feedback to act upon.
*   **Option 2:** Acknowledges both the user's initial concern about permissions and their eventual satisfaction with the notification control. It keeps both points in mind during development. This is suitable if you're still looking to ensure the permission request is clear and justified to new users even though the notification issue is resolved.

**Why these are good user stories:**

*   **""As a user...""**: Establishes the perspective.
*   **""I want...""**: Specifies the desired functionality or outcome.
*   **""so that...""**: Explains the value or benefit to the user, the reason behind the request.

Choose the option that best aligns with your development priorities and the specific action you want to take based on the review.
"
"How hard can it be to make the calibration in a treadmill activity count? Or the time? Or the steps? Everything seems ok in the device, but then it gets transferred to this app and everything is messed up!",Garmin Connect,feature_request,"As a user, I want treadmill activity data (calibration, time, steps) to be accurately transferred from my device to the app so that my fitness tracking is reliable and consistent.
"
Worse than previous version. Walking distance is not correct. 20 min normally gives me 2 miles in older versions and other app. This gave o.67 mil,Samsung Health,problem_report,"As a user, I want the app to accurately calculate walking distances so that I can rely on it for realistic travel estimations.
"
"Total wastage of money,bought a Huawei watch and my phone is pixel.Always showing not compatible messgaes Then why you are launching new products each year",Huawei Health,problem_report,"Here's a possible user story based on the review:

""As a user with a non-Huawei phone, I want Huawei products to be compatible with my phone so that I can use them without compatibility issues.""
"
Step tracker is no longer accurate. It said I took 600 steps the whole hour I was walking. I'm pretty sure I took more than 600 steps if i was walking for over an hour and I had my phone in my hand the whole time.,Samsung Health,problem_report,"As a user, I want the step tracker to accurately record my steps, even during extended periods of walking with my phone in hand, so that I can reliably track my physical activity.
"
I am trying to download the app but it keep on shows please download 4.0. Even after downloading it still not able to use it. Its a use less app.,Huawei Health,problem_report,"As a user, I want the app to function correctly after downloading the latest version so that I can successfully use the app.
"
Just bought a vivoactive and it won't connect via the app. The smartwatch tells me I'm connected...the app says I'm connected but it won't transfer any data and everytime I log in it says no devices are connected???? Going around in circles..,Garmin Connect,problem_report,"As a new smartwatch user, I want the app to reliably connect to my new device and consistently sync data so that I can use the fitness features without repeated connection issues and login problems.
"
"After update ui last night (released via firmware update), step counting and account synchronizing has not worked till now. Hope to see bug fixed soon.",Samsung Health,problem_report,"As a user, I want the step counting and account synchronization features to work reliably after a firmware update so that I can accurately track my activity and data without interruption.
"
Can't rest my password asking everytime old password trying rest my password is not possible why u guys are so sick. To make app for coustomer convince not for ur own First change these type of idiot things from app,Huawei Health,feature_request,"As a user, I want to be able to successfully reset my password without being required to enter my old password, so that I can regain access to my account if I forget my password.
"
"Was working great before the April 2015 update.   Hate the April 2015 update.  Don't like the colors. Don't like what they did to the serving size (no way to adjust ),  don't like the Nike swoosh tile.  Wife stopped using it, I'm looking for a replacement app.",Samsung Health,feature_request,"Here's a user story based on the provided review, attempting to capture the multiple distinct issues raised:

**As a user, I want the app to revert the UI and functionality changes introduced in the April 2015 update (specifically the color scheme, serving size adjustment limitations, and Nike swoosh tile) so that I can continue to use the app with the features and look I previously enjoyed.**

**Explanation of choices and potential for further breakdown:**

*   **Focus on Reversion:** The core complaint is the change introduced by the update. The user wants the *old* app back.
*   **Specificity:** The user mentions specific problems: Colors, serving size adjustment, and the Nike swoosh tile. These are explicitly listed in the user story to guide development.
*   **Reason:** Including ""so that I can continue to use the app with the features and look I previously enjoyed"" is importaint because the primary goal is to retain users and maintain an established experience.
*   **Potential for Further Breakdown:** This user story, as written, is a bit broad. It *could* be broken down into multiple user stories for each specific complaint if the development team preferred that granular level of tracking:

    *   **Example 1 (Color):** ""As a user, I want the option to revert to or customize the previous color scheme so the app is visually appealing again.""
    *   **Example 2 (Serving Size):** ""As a user, I want the ability to manually adjust serving sizes so I can track my intake accurately.""
    *   **Example 3 (Nike Swoosh Tile):** ""As a user, I want the option to remove or customize the Nike swoosh tile so that I retain control over how the app looks.""

Breaking it down into smaller stories helps with prioritization. Maybe the color scheme is the biggest problem, and fixing that *first* would be a good start.

**If you only want a single user story, the initial answer is better because it is concise.** If you are thinking about prioritizing issues and tracking them individually, breaking it down is useful.
"
It just stopped working one fine day and asking for another Mobile services app to be downloaded and create a cloud account. Why would I do that? The worst ever product planning. The band is just useless now.,Huawei Health,feature_request,"Here's a user story converted from the provided review:

""As a user, I want my fitness band/app to function reliably without requiring the download of additional, unrelated apps or compulsory cloud account creation, so that I can continue using the band as intended without unnecessary complications or perceived data security concerns.""
"
My greatest complaints are the weather does not update unless forced by turning the weather display off then on again and it does not register naps vs sleeping. Otherwise it is a great app for my vivosmart hr+.,Garmin Connect,feature_request,"Here's a possible user story conversion of the given review:

**User Story:** ""As a Vivosmart HR+ user, I want the weather to update automatically and the app to accurately distinguish between naps and sleep so that I can rely on it for up-to-date information and accurate sleep tracking.""
"
"I need the precentage of remaining battery of garmin instinct. If I don't have it in my watch, I hope I have it in this app",Garmin Connect,feature_request,"Here's a user story based on the review:

""As a Garmin Instinct user, I want to see the remaining battery percentage either on my watch or within this app, so I can easily monitor my battery life and avoid unexpected power outages during activities.""
"
"On S7 edge, worked well so far. but recently failed. Cant setup app. Server error occurred. Try later again (0c09) Reinstalling did not solve the problem",Samsung Health,problem_report,"Here's a possible user story conversion for that review:

**As a user with a Samsung S7 Edge, I want the app to install and connect to the server without errors (specifically 0c09) after reinstalling, so that I can successfully set up and use the app.**
"
