data,app,type,generated_user_story
"Please huawei, fix the issue of steps counting from both the phone and the watch which is giving a composite reading. It is totally an acceptable. Give us the option to the source of steps counting.",Huawei Health,problem_report,"""As a user, I want the steps counting issue between my Huawei phone and watch to be fixed so that I receive an accurate reading of my steps. I also want the option to choose the source of steps counting to ensure accuracy."""
Love this app and all the features. It works great since my phone comes with it. My only complaint is that I wish there was a widget for the food tracker I need the app. The only widget they have available is for counting steps.,Samsung Health,feature_request,"""As a user, I want a widget for the food tracker feature so that I can easily access and use it on my phone's home screen."""
"I upgraded to an Samsung S6. Now my Garmin won't Sync at all. I uninstalled the app and installed it back, still won't sync. It's been 3 weeks. What else can I do? It is very frustrating!",Garmin Connect,problem_report,"""As a user with a Samsung S6, I want my Garmin device to sync with the app so that I can track my fitness data accurately and easily, even after trying reinstalling the app."""
before i paired Honorband 4 to my device i had installed this app & whats strange is started counting my steps ...How its possible ?.. although its not showing correct data,Huawei Health,problem_report,"""As a user, I want the app to accurately track my steps only after pairing with my device, so that I can trust the data being provided to me."""
"Like the app. Except for everytime I put a workout in the app, my step cals always disappear, and the app doesn't show all my step cal.",Samsung Health,problem_report,"""As a user, I want my step calories to be accurately tracked and displayed in the app when inputting a workout, so that I can monitor my progress effectively."""
"I like the Garmin ecosystem and while there are a few bugs and glitches, overall I enjoy it. That being said I've never used another fitness tracking app. Still prefer the desktop website though.",Garmin Connect,problem_report,"""As a user, I want the Garmin app to have fewer bugs and glitches, while maintaining the ecosystem I enjoy, so that my fitness tracking experience is smooth and reliable. Additionally, I want the desktop website to remain accessible and preferable for my usage."""
"I liked it before the latest updates where you could see weight by day, week and month with averages and high and low. Now you can only see it by day so useful functions have been removed!",Samsung Health,feature_request,"""As a user, I want the ability to view weight data by day, week, and month with averages, highs, and lows restored in the latest updates so that I can track my progress more effectively."""
"I am not able to connect my band on this app on moto x play mobile, running Android 6. I am able to pair it on my iPad, but it doesn't give me complete benefits of this band.",Garmin Connect,problem_report,"""As a user with a Moto X Play mobile running Android 6, I want to be able to successfully connect my band to the app so that I can fully utilize all the features and benefits of the band on my Android device."""
"Used the app on Galaxy S10 for counting steps and for monitoring my heart rate. Since last S10 update, heart rate monitoring no longer functions. Please bring it back. I need it to check my heart rate and not currently in the market to buy a watch.",Samsung Health,problem_report,"""As a user of the app on Galaxy S10, I want the heart rate monitoring feature to be restored so that I can continue to track my heart rate without having to purchase a separate device."""
App has been awesome until the update within the last hour or so. Since then the app is completely not usable and continually has a box pop up on Android that connect keeps stopping. Please fix asap!,Garmin Connect,problem_report,"""As a user, I want the recent app update issues to be fixed promptly, specifically addressing the ""connect keeps stopping"" error on Android, so that I can continue to use the app without interruptions."""
It did not work on motorola one vision. It was show that need new version of app gallery which i installd but even that it continue to show the same. So i installed HMS core and now works perfect. But yes it drains the battery,Huawei Health,problem_report,"""As a Motorola One Vision user, I want the app to be compatible with my device without requiring additional installations, and I want it to be optimized to reduce battery consumption so that I can use it seamlessly without any technical issues."""
"Can you add programs where I can select my current level (or you figure it out based on my history) and select my goal, like half marathon, or marathon?",Samsung Health,feature_request,"""As a user, I want the app to suggest training programs based on my current fitness level and goal, such as a half marathon or marathon, so that I can have personalized recommendations for my workout plans."""
I Purchased to FR 220 for the Bluetooth Sync opinion and tried to pair my FR 220 with my Evo 4g LTE and it said it wasn't compatible... So it won't sync. I'm not happy a $270 watch and I can't use it to full capability.,Garmin Connect,problem_report,"""As a user, I want my FR 220 to be compatible with my Evo 4g LTE so that I can utilize the Bluetooth sync feature and fully use the capabilities of my expensive watch."""
"If your heart rate is too high, like after a good cardio sesh it wont give a bpm, which is ridiculous, just tell me how fast its going, damn.",Samsung Health,problem_report,"""As a user, I want the app to display my heart rate accurately even after intense exercise, so that I can track my progress effectively."""
Doesn't work with my GT watch anymore. Keeps saying update in appstore but there there is no update available to fix. Updated app doesn't fix.,Huawei Health,problem_report,"""As a user with a GT watch, I want the app to be compatible with my device and provide a working update so that I can use all the features seamlessly."""
"It stops recording run the moment you stand still. If there is a setting to disable this, it is obscurely hidden. Unusable for running, unfortunately.",Huawei Health,problem_report,"""As a user, I want a feature to disable automatic stopping of recording when standing still during a run so that I can accurately track my running activity without interruptions."""
App has frozen today and will not count steps or log activity. Have tried all I can think of to make it work again. Up until now it has been a great app.,Samsung Health,problem_report,"""As a user, I want the app to be reliable and responsive so that it accurately counts steps and logs activity without freezing or crashing."""
"Who updates an app by removing a host if useful features - weight tracking, water drunk...The app now just seemscto be an add player. Really wished I hadn't upgraded & ignore the reply when they tell you to keep the app up to date.",Samsung Health,feature_request,"""As a user, I want the app to include features like weight tracking and water intake monitoring that were removed in the recent update so that I can continue using the app effectively. I also want the option to decline future updates if they remove essential features."""
"It's great now. Love. Just wish you could pause the run instead of stopping it, or is there a way to pause without stopping it?",Garmin Connect,feature_request,"""As a user, I want the ability to pause a run without stopping it so that I can take breaks without losing my progress."""
"It is a good app, but even though it knows my birth date, it can't correctly calculate my heart zones, meaning my calories spent is always wrong, without resting it every time.",Huawei Health,problem_report,"""As a user, I want the app to accurately calculate my heart zones based on my birth date so that the calories spent are calculated correctly without needing to reset it every time."""
Why app is not opening on my oneplus 8 pro..its showing download latest version from huawei app gallery...i did that also but still not working..,Huawei Health,problem_report,"""As a user with a OnePlus 8 Pro device, I want the app to be compatible and functional on my device so that I can use it without any technical issues."""
"Outdated app. Does not sync with Huawei Watch GT2 Pro (""not compatible""). Beware! Huawei asks to download an out-of-store .apk to use your smartwatch. Great hardwar but troublesome software. Find version from 2020, it will work.",Huawei Health,problem_report,"""As a user with a Huawei Watch GT2 Pro, I want the app to be compatible and sync properly with my smartwatch without the need to download an out-of-store .apk file, so that I can easily use my device with the app."""
Cheap play by huawei. It is asking to install its own app store and download its other useless apps for this to function. @GOOGLEPLAY look into this..,Huawei Health,feature_request,"""As a user, I want to be able to use the app without being required to install additional apps or use a specific app store, so that I can have a seamless experience without unnecessary software."""
It now requires an upgrade to Huawei Mobile which is not available in my country of Japan. So my Huawei Watch cannot be used with my Huawei phone. Joke of a company,Huawei Health,problem_report,"As a user in Japan, I want the app to support Huawei Mobile without requiring an upgrade so that I can use my Huawei Watch with my Huawei phone without any compatibility issues."
"I love this app but since my last phone update, the app is saying I'm burning 6000 calories by the end if the day! I wish, lol. Hopefully this gets corrected soon.",Samsung Health,problem_report,"""As a user, I want the app to accurately calculate and display my daily calorie burn so that I can track my fitness goals effectively."""
Great app. Love you can put in your food intake and stuff. Would give a 5  star if the step counting would work all the time. It doesn't work more  often than it does work so I don't have a good idea of the calories burned  and such.,Samsung Health,feature_request,"""As a user, I want the step counting feature to be more reliable and accurate so that I can track my calories burned and fitness progress accurately."""
"Love the app. It does more than I ever expected and seems to be getting better. The only issue I have ever had with this app is the occasional ""bug"" when they push out a new upgrade.",Garmin Connect,problem_report,"""As a user, I want the app to continuously improve with each upgrade, and for any bugs introduced during upgrades to be promptly resolved, so that I can enjoy a seamless experience using the app."""
would like to see an upgrade on the iQ apps. I use a lot for biking. don't like the fact that it doesn't stop the clock when I stop at a light,Garmin Connect,feature_request,"""As a user who frequently uses the iQ apps for biking, I want the app to upgrade its functionality to pause the clock when I stop at a light so that my biking data accurately reflects my activity."""
"update: congrats, you did it. it's the first app i actually turned notifications off!!! original: why do you need 'read call logs' permission? and why app is so persistent about that?",Garmin Connect,feature_request,"""As a user, I want the app to explain why it needs access to 'read call logs' permission and to be less persistent about it, as it makes me uncomfortable and confused."""
"How hard can it be to make the calibration in a treadmill activity count? Or the time? Or the steps? Everything seems ok in the device, but then it gets transferred to this app and everything is messed up!",Garmin Connect,feature_request,"""As a user, I want the calibration for treadmill activity to accurately count time and steps in the app so that I can trust the data being transferred and track my progress effectively."""
Worse than previous version. Walking distance is not correct. 20 min normally gives me 2 miles in older versions and other app. This gave o.67 mil,Samsung Health,problem_report,"""As a user, I want the walking distance accuracy to be improved in the app so that I can rely on the app for accurate distance calculations during my walks."""
"Total wastage of money,bought a Huawei watch and my phone is pixel.Always showing not compatible messgaes Then why you are launching new products each year",Huawei Health,problem_report,"""As a user with a Pixel phone, I want compatibility with Huawei watches so that I can use the product without facing any issues or compatibility errors."""
Step tracker is no longer accurate. It said I took 600 steps the whole hour I was walking. I'm pretty sure I took more than 600 steps if i was walking for over an hour and I had my phone in my hand the whole time.,Samsung Health,problem_report,"""As a user, I want the step tracker to accurately count the number of steps I take so that I can rely on it for accurate tracking of my physical activity."""
I am trying to download the app but it keep on shows please download 4.0. Even after downloading it still not able to use it. Its a use less app.,Huawei Health,problem_report,"""As a user, I want to be able to successfully download the app and access its features without encountering the error message asking for version 4.0 so that I can use the app effectively."""
Just bought a vivoactive and it won't connect via the app. The smartwatch tells me I'm connected...the app says I'm connected but it won't transfer any data and everytime I log in it says no devices are connected???? Going around in circles..,Garmin Connect,problem_report,"""As a user, I want my vivoactive smartwatch to seamlessly connect with the app so that I can transfer data and track my progress without encountering constant connection issues."""
"After update ui last night (released via firmware update), step counting and account synchronizing has not worked till now. Hope to see bug fixed soon.",Samsung Health,problem_report,"""As a user, I want the step counting and account synchronization to work properly after the recent UI update so that I can track my progress accurately and access my account information seamlessly."""
Can't rest my password asking everytime old password trying rest my password is not possible why u guys are so sick. To make app for coustomer convince not for ur own First change these type of idiot things from app,Huawei Health,feature_request,"""As a user, I want to be able to easily reset my password without having to provide my old password, so that I can access my account efficiently and securely."""
