data,app,type,generated_user_story
"Please huawei, fix the issue of steps counting from both the phone and the watch which is giving a composite reading. It is totally an acceptable. Give us the option to the source of steps counting.",Huawei Health,problem_report,"As a user of Huawei devices, I am frustrated with the issue of steps counting from both my phone and watch giving me a composite reading. This is not accurate and needs to be fixed. I would like Huawei to provide an option to choose the source of steps counting so that I can have more accurate data. This feature is important for me to track my daily activity effectively."
Love this app and all the features. It works great since my phone comes with it. My only complaint is that I wish there was a widget for the food tracker I need the app. The only widget they have available is for counting steps.,Samsung Health,feature_request,"As a user, I love using this app because it has all the features I need and it works perfectly on my phone. However, I do have one complaint - I wish there was a widget available for the food tracker. I find the app so helpful for tracking my food intake, but it would be even more convenient if I could access it quickly from my home screen. The only widget option they have is for counting steps, which is helpful, but I really need one for the food tracker. I hope they consider adding this feature in the future."
"I upgraded to an Samsung S6. Now my Garmin won't Sync at all. I uninstalled the app and installed it back, still won't sync. It's been 3 weeks. What else can I do? It is very frustrating!",Garmin Connect,problem_report,"As a user who recently upgraded to a Samsung S6, I am experiencing difficulty syncing my Garmin device with the app on my new phone. I tried uninstalling and reinstalling the app, but it still won't sync after 3 weeks of trying. I am feeling very frustrated and unsure of what else I can do to resolve this issue."
before i paired Honorband 4 to my device i had installed this app & whats strange is started counting my steps ...How its possible ?.. although its not showing correct data,Huawei Health,problem_report,"As a user, I was excited to pair my new Honorband 4 to my device. Before doing so, I had already installed the accompanying app. However, to my surprise, the app began counting my steps even before the band was paired. This seemed strange to me. Unfortunately, the data being displayed was not accurate."
"Like the app. Except for everytime I put a workout in the app, my step cals always disappear, and the app doesn't show all my step cal.",Samsung Health,problem_report,"As a user, I like using this app to track my workouts and step calories. However, I've noticed that every time I input a workout into the app, my step calories disappear. This is frustrating because I rely on this information to monitor my overall activity level. Additionally, the app sometimes doesn't show all of my step calories, leaving me uncertain about my progress throughout the day. I hope the app developers can fix these issues so that I can continue using the app effectively."
"I like the Garmin ecosystem and while there are a few bugs and glitches, overall I enjoy it. That being said I've never used another fitness tracking app. Still prefer the desktop website though.",Garmin Connect,problem_report,"As a user who likes the Garmin ecosystem, I've found that there are a few bugs and glitches here and there, but overall I enjoy using it. Even though I have never tried any other fitness tracking apps, I still find that Garmin meets my needs. However, I do find that I prefer using the desktop website over the app for a better user experience."
"I liked it before the latest updates where you could see weight by day, week and month with averages and high and low. Now you can only see it by day so useful functions have been removed!",Samsung Health,feature_request,"As a user, I used to really like this app. I found it incredibly helpful to track my weight by day, week, and month, especially with the averages and high and low values. It was so useful to see my progress over time. However, with the latest updates, that functionality has been removed. Now I can only see my weight by day, which is disappointing because those additional features were really valuable to me. I hope they consider bringing them back in the future."
"I am not able to connect my band on this app on moto x play mobile, running Android 6. I am able to pair it on my iPad, but it doesn't give me complete benefits of this band.",Garmin Connect,problem_report,"As a Moto X Play mobile user with Android 6, I wanted to connect my band to this app to fully utilize its benefits. However, I encountered a problem where it would not connect on my phone. I was able to successfully pair it on my iPad, but I was not getting the complete benefits of the band. I was disappointed that I couldn't use all the features of the band on my preferred device."
"Used the app on Galaxy S10 for counting steps and for monitoring my heart rate. Since last S10 update, heart rate monitoring no longer functions. Please bring it back. I need it to check my heart rate and not currently in the market to buy a watch.",Samsung Health,problem_report,"As a Galaxy S10 user, I rely on the app to count my steps and monitor my heart rate. However, ever since the last S10 update, the heart rate monitoring function no longer works. I really need this feature as I use it to check my heart rate regularly and I am not currently interested in purchasing a separate watch for this purpose. Please bring back the heart rate monitoring function as soon as possible."
App has been awesome until the update within the last hour or so. Since then the app is completely not usable and continually has a box pop up on Android that connect keeps stopping. Please fix asap!,Garmin Connect,problem_report,"As a regular user of the app, I was enjoying all its features and smooth functionality. However, after the recent update, things took a turn for the worse. Within the last hour or so, the app became completely unusable on my Android device, constantly showing a pop-up box that says ""connect keeps stopping"". This has been extremely frustrating and disruptive to my experience. I hope the app developers fix this issue as soon as possible so I can go back to enjoying the app without any interruptions."
It did not work on motorola one vision. It was show that need new version of app gallery which i installd but even that it continue to show the same. So i installed HMS core and now works perfect. But yes it drains the battery,Huawei Health,problem_report,"As a user with a Motorola One Vision, I was having trouble with an app that I had installed. The app was showing a message that I needed a new version of the AppGallery, so I installed it but the issue persisted. I then decided to install HMS Core and now the app works perfectly on my device. However, I did notice that it drains the battery quickly."
"Can you add programs where I can select my current level (or you figure it out based on my history) and select my goal, like half marathon, or marathon?",Samsung Health,feature_request,"As a runner, I want to be able to easily choose my current fitness level and running goals, such as a half marathon or marathon, so that I can be provided with personalized training programs to help me reach my goals effectively and safely."
I Purchased to FR 220 for the Bluetooth Sync opinion and tried to pair my FR 220 with my Evo 4g LTE and it said it wasn't compatible... So it won't sync. I'm not happy a $270 watch and I can't use it to full capability.,Garmin Connect,problem_report,"As a dedicated runner, I was excited to purchase the Garmin FR 220 for its Bluetooth sync feature. I thought it would be perfect for tracking my progress and improving my training. However, when I tried to pair my FR 220 with my Evo 4g LTE, I was disappointed to see that it was not compatible. This meant that I wouldn't be able to fully utilize the watch's capabilities, despite spending $270 on it. I was frustrated and unhappy with this unexpected limitation."
"If your heart rate is too high, like after a good cardio sesh it wont give a bpm, which is ridiculous, just tell me how fast its going, damn.",Samsung Health,problem_report,"As a user, I want my heart rate monitor to simply tell me how fast my heart is beating after a good cardio session, even if it's too high for an accurate bpm reading."
Doesn't work with my GT watch anymore. Keeps saying update in appstore but there there is no update available to fix. Updated app doesn't fix.,Huawei Health,problem_report,"As a user with a GT watch, I was frustrated to find that the app I rely on to connect with my watch was no longer working properly. Every time I tried to use it, I would receive a message telling me to update in the app store, even though no update was actually available. I promptly downloaded the latest version of the app, hoping it would resolve the issue, but to my disappointment, the problem persisted. The app still wouldn't connect with my watch, leaving me unable to use all of its features."
"It stops recording run the moment you stand still. If there is a setting to disable this, it is obscurely hidden. Unusable for running, unfortunately.",Huawei Health,problem_report,"As a runner, I was excited to try out this new fitness tracker that promised accurate recordings of my runs. However, I soon discovered a major flaw - the tracker would stop recording the moment I stood still. I searched through the settings in hopes of finding a way to disable this feature, but it was hidden in an obscure location. Frustrated and disappointed, I had to admit that this tracker was unusable for my running needs."
App has frozen today and will not count steps or log activity. Have tried all I can think of to make it work again. Up until now it has been a great app.,Samsung Health,problem_report,"As a user, I want to be able to accurately track my steps and activity using the app so that I can monitor my fitness progress. However, the app has frozen today and is not counting my steps or logging my activity. Despite trying everything I can think of to make it work again, I am still unable to use it properly. I have previously had a great experience with this app, but this issue is preventing me from getting the most out of it."
"Who updates an app by removing a host if useful features - weight tracking, water drunk...The app now just seemscto be an add player. Really wished I hadn't upgraded & ignore the reply when they tell you to keep the app up to date.",Samsung Health,feature_request,"As a user who regularly used an app to track my weight and water intake, I was excited to see that there was an update available. However, after updating the app, I was disappointed to find that they had removed some very useful features that I relied on.

Now, the app seemed to be focused more on pushing ads than helping me track my health goals. I regretted upgrading and felt frustrated when the app developers replied to my complaints by telling me to keep the app up to date.

I wished I hadn't upgraded and made a mental note to ignore their advice in the future. It was frustrating to have a tool that I relied on so heavily suddenly become less useful."
"It's great now. Love. Just wish you could pause the run instead of stopping it, or is there a way to pause without stopping it?",Garmin Connect,feature_request,"As a runner, I want to be able to pause my run without having to completely stop it so that I can take breaks or catch my breath without losing my progress."
"It is a good app, but even though it knows my birth date, it can't correctly calculate my heart zones, meaning my calories spent is always wrong, without resting it every time.",Huawei Health,problem_report,"As a user of this app, I signed up and entered my birth date in hopes of accurately tracking my heart zones and calculating calories spent during workouts. However, despite having this information, the app consistently fails to accurately calculate my heart zones. This results in my calories spent always being incorrect unless I manually reset it each time I take a break. I wish the app could use my birth date to correctly calculate my heart zones and track my progress more accurately."
Why app is not opening on my oneplus 8 pro..its showing download latest version from huawei app gallery...i did that also but still not working..,Huawei Health,problem_report,"As a user of the app on my OnePlus 8 Pro, I am unable to open the app and keep receiving a prompt to download the latest version from the Huawei App Gallery. I have followed the instructions and downloaded the latest version from the Huawei App Gallery, but the app is still not working on my device. I need this issue resolved so that I can continue using the app on my OnePlus 8 Pro."
"Outdated app. Does not sync with Huawei Watch GT2 Pro (""not compatible""). Beware! Huawei asks to download an out-of-store .apk to use your smartwatch. Great hardwar but troublesome software. Find version from 2020, it will work.",Huawei Health,problem_report,"As a user, I was excited to use my Huawei Watch GT2 Pro with the accompanying app on my phone. However, upon trying to sync the app with my watch, I discovered that it was outdated and not compatible with my smartwatch. Huawei even suggested downloading an out-of-store .apk in order to use my smartwatch, which made me wary.

Despite the great hardware of the watch, the software was troublesome to use. After some research, I found out that the app would work if I found a version from 2020. This experience taught me the importance of checking compatibility before making a purchase."
Cheap play by huawei. It is asking to install its own app store and download its other useless apps for this to function. @GOOGLEPLAY look into this..,Huawei Health,feature_request,"As a user, I was disappointed with the cheap tactics used by Huawei. I was required to install their own app store and download other useless apps just to use their product. I urge Google Play to investigate and address this issue."
It now requires an upgrade to Huawei Mobile which is not available in my country of Japan. So my Huawei Watch cannot be used with my Huawei phone. Joke of a company,Huawei Health,problem_report,"As a Huawei customer in Japan, I was excited to use my Huawei Watch with my Huawei Mobile. However, I was disappointed to learn that an upgrade was required for my phone, but it wasn't available in Japan. Now, I can't use my Huawei Watch with my phone, and I feel frustrated with the company for this inconvenience. It seems like a joke to me that they can't make their products work together seamlessly."
"I love this app but since my last phone update, the app is saying I'm burning 6000 calories by the end if the day! I wish, lol. Hopefully this gets corrected soon.",Samsung Health,problem_report,"As a user, I love using this app to track my daily fitness goals. However, ever since my last phone update, the app has been giving me inaccurate information by saying I'm burning 6000 calories by the end of the day. As much as I wish that were true, it's definitely not! I hope that the app developers correct this issue soon so I can continue using it effectively."
Great app. Love you can put in your food intake and stuff. Would give a 5  star if the step counting would work all the time. It doesn't work more  often than it does work so I don't have a good idea of the calories burned  and such.,Samsung Health,feature_request,"As a user, I love using the app because I can easily track my food intake and other important information. However, I am a bit frustrated because the step counting feature doesn't work properly most of the time. This makes it difficult for me to accurately track the calories I've burned. If the step counting feature worked consistently, I would definitely give this app a 5-star rating."
"Love the app. It does more than I ever expected and seems to be getting better. The only issue I have ever had with this app is the occasional ""bug"" when they push out a new upgrade.",Garmin Connect,problem_report,"As a user, I was initially skeptical about this app, but I must say I absolutely love it now. It has exceeded all of my expectations and continues to improve with each update. The only downside I've encountered is the occasional bug that pops up when a new upgrade is released. But overall, I am extremely impressed with the app and its capabilities."
would like to see an upgrade on the iQ apps. I use a lot for biking. don't like the fact that it doesn't stop the clock when I stop at a light,Garmin Connect,feature_request,"As a avid biker, I rely heavily on the iQ apps for tracking my rides. However, I have noticed a major flaw that bothers me. When I stop at a light during my ride, the clock continues to run instead of pausing. This is frustrating because it throws off my total time and speed calculations. I would like to see an upgrade to the iQ apps that addresses this issue so that my ride data is more accurate and reliable."
"update: congrats, you did it. it's the first app i actually turned notifications off!!! original: why do you need 'read call logs' permission? and why app is so persistent about that?",Garmin Connect,feature_request,"As a user, I was frustrated when I saw that the app asked for permission to 'read call logs' and was persistent about it. It made me question why the app needed that permission. After updating the app, I was happy to see that they addressed this issue and I was able to turn off notifications, making it the first app where I didn't need to keep notifications on."
"How hard can it be to make the calibration in a treadmill activity count? Or the time? Or the steps? Everything seems ok in the device, but then it gets transferred to this app and everything is messed up!",Garmin Connect,feature_request,"As a user, I was excited to track my treadmill activity using my device and the corresponding app. I had high hopes that the calibration of the activity count, time, and steps would be accurate. However, to my disappointment, everything seemed fine on the device but once transferred to the app, everything was completely messed up. I couldn't understand why such a simple task could be so difficult. I felt frustrated and confused as I tried to make sense of the discrepancies between the device and the app. I hoped that this issue would be resolved soon so that I could accurately track my progress and achieve my fitness goals."
Worse than previous version. Walking distance is not correct. 20 min normally gives me 2 miles in older versions and other app. This gave o.67 mil,Samsung Health,problem_report,"As a user, I was disappointed to find that the latest version of the app was worse than the previous one. I rely on this app to accurately track my walking distance, but this time it was way off. In the past, walking for 20 minutes would typically give me 2 miles, both in older versions of this app and in other apps I've used. However, in this version, it only showed that I had walked 0.67 miles. I was frustrated and felt let down by the inaccurate results."
"Total wastage of money,bought a Huawei watch and my phone is pixel.Always showing not compatible messgaes Then why you are launching new products each year",Huawei Health,problem_report,"As a user, I recently purchased a Huawei watch, but unfortunately, it is not compatible with my Pixel phone. Every time I try to connect them, I receive a message saying they are not compatible. I feel like I have wasted my money on a product that doesn't work with my current devices. I am questioning why companies like Huawei continue to launch new products each year without ensuring they are compatible with a wider range of devices."
Step tracker is no longer accurate. It said I took 600 steps the whole hour I was walking. I'm pretty sure I took more than 600 steps if i was walking for over an hour and I had my phone in my hand the whole time.,Samsung Health,problem_report,"As a user, I wanted to track my steps accurately while walking so I could reach my fitness goals. I noticed that my step tracker was not counting my steps accurately so I decided to test it out. I walked for over an hour with my phone in my hand, but the tracker only recorded 600 steps. I knew I had taken more steps than that, so I was frustrated with the inaccurate reading. I realized that I needed to find a solution to fix this issue and ensure my step tracker was working correctly for future walks."
I am trying to download the app but it keep on shows please download 4.0. Even after downloading it still not able to use it. Its a use less app.,Huawei Health,problem_report,"As a user, I wanted to download the app to try it out. However, every time I tried to download it, I kept getting a message saying I needed to download version 4.0. After finally downloading the correct version, I still couldn't use the app and found it to be completely useless."
Just bought a vivoactive and it won't connect via the app. The smartwatch tells me I'm connected...the app says I'm connected but it won't transfer any data and everytime I log in it says no devices are connected???? Going around in circles..,Garmin Connect,problem_report,"As a new owner of a Vivoactive smartwatch, I was excited to start using it and tracking my activities. However, I quickly ran into an issue when trying to connect it via the app. Even though both the smartwatch and app indicated that I was connected, no data was transferring. Every time I tried to log in, I received a message saying no devices were connected, leaving me feeling frustrated and stuck in a loop of trying to troubleshoot the issue."
"After update ui last night (released via firmware update), step counting and account synchronizing has not worked till now. Hope to see bug fixed soon.",Samsung Health,problem_report,"As a user, I updated the UI on my device last night through a firmware update. Since then, I have been unable to track my steps and synchronize my account. I am hopeful that the bug will be fixed soon so that I can resume using these features."
Can't rest my password asking everytime old password trying rest my password is not possible why u guys are so sick. To make app for coustomer convince not for ur own First change these type of idiot things from app,Huawei Health,feature_request,"As a user, I am frustrated because I am unable to reset my password. Every time I try to reset it, the app keeps asking for my old password which is not allowing me to proceed. I am feeling annoyed and wondering why the app developers have not fixed such a basic issue. I wish they would prioritize customer satisfaction over their own convenience and make necessary changes to improve the user experience."
