data,app,type,generated_user_story
"Please huawei, fix the issue of steps counting from both the phone and the watch which is giving a composite reading. It is totally an acceptable. Give us the option to the source of steps counting.",Huawei Health,problem_report,"""As a user, I want Huawei to address the issue of double-counting steps from both the phone and the watch by providing an option to choose the source of steps counting, so that I can accurately track my physical activity without any inconsistencies."""
Love this app and all the features. It works great since my phone comes with it. My only complaint is that I wish there was a widget for the food tracker I need the app. The only widget they have available is for counting steps.,Samsung Health,feature_request,"""As a user, I want a widget for the food tracker in the app so that I can easily track my meals without having to open the app every time."""
"I upgraded to an Samsung S6. Now my Garmin won't Sync at all. I uninstalled the app and installed it back, still won't sync. It's been 3 weeks. What else can I do? It is very frustrating!",Garmin Connect,problem_report,"""As a user with a Samsung S6, I want my Garmin app to sync properly with my device so that I can track my fitness activities without any issues. It's frustrating that the syncing has not been working for the past 3 weeks even after reinstalling the app."""
before i paired Honorband 4 to my device i had installed this app & whats strange is started counting my steps ...How its possible ?.. although its not showing correct data,Huawei Health,problem_report,"As a user, I want the app to only count my steps accurately after I have paired my Honorband 4 device, so that I can trust the data being displayed."
"Like the app. Except for everytime I put a workout in the app, my step cals always disappear, and the app doesn't show all my step cal.",Samsung Health,problem_report,"""As a user, I want my step calories to be accurately displayed and saved when inputting my workouts in the app so that I can track my progress effectively."""
"I like the Garmin ecosystem and while there are a few bugs and glitches, overall I enjoy it. That being said I've never used another fitness tracking app. Still prefer the desktop website though.",Garmin Connect,problem_report,"""As a user, I want the bugs and glitches in the Garmin ecosystem to be fixed so that I can continue enjoying the features it offers. I also want the desktop website to be improved for a better user experience."""
"I liked it before the latest updates where you could see weight by day, week and month with averages and high and low. Now you can only see it by day so useful functions have been removed!",Samsung Health,feature_request,"""As a user, I want the ability to view weight statistics by day, week, and month with averages and high and low values restored in the app so that I can track my progress and trends more effectively."""
"I am not able to connect my band on this app on moto x play mobile, running Android 6. I am able to pair it on my iPad, but it doesn't give me complete benefits of this band.",Garmin Connect,problem_report,"""As a user with a Moto X Play mobile running Android 6, I want to be able to easily connect my band to the app, in order to fully utilize its benefits."""
"Used the app on Galaxy S10 for counting steps and for monitoring my heart rate. Since last S10 update, heart rate monitoring no longer functions. Please bring it back. I need it to check my heart rate and not currently in the market to buy a watch.",Samsung Health,problem_report,"""As a user with a Galaxy S10, I want the heart rate monitoring function to be restored on the app so that I can continue to track my heart rate without needing to purchase a separate device."""
App has been awesome until the update within the last hour or so. Since then the app is completely not usable and continually has a box pop up on Android that connect keeps stopping. Please fix asap!,Garmin Connect,problem_report,"""As a user, I want the app to be stable and functional on Android devices, without any interruptions or error pop-ups, so that I can continue to enjoy using the app seamlessly."""
It did not work on motorola one vision. It was show that need new version of app gallery which i installd but even that it continue to show the same. So i installed HMS core and now works perfect. But yes it drains the battery,Huawei Health,problem_report,"""As a user with a Motorola One Vision, I want the app to be compatible without requiring additional installations and to optimize battery usage so that I can use it seamlessly on my device."""
"Can you add programs where I can select my current level (or you figure it out based on my history) and select my goal, like half marathon, or marathon?",Samsung Health,feature_request,"""As a user, I want the option to select my current fitness level and goal, such as half marathon or marathon, so that the app can provide personalized program recommendations based on my history and preferences."""
I Purchased to FR 220 for the Bluetooth Sync opinion and tried to pair my FR 220 with my Evo 4g LTE and it said it wasn't compatible... So it won't sync. I'm not happy a $270 watch and I can't use it to full capability.,Garmin Connect,problem_report,"""As a user, I want my FR 220 watch to be compatible with my Evo 4g LTE phone so that I can fully utilize the Bluetooth Sync feature and be satisfied with my $270 purchase."""
"If your heart rate is too high, like after a good cardio sesh it wont give a bpm, which is ridiculous, just tell me how fast its going, damn.",Samsung Health,problem_report,"""As a user, I want the app to provide an accurate BPM reading even after high-intensity workouts, so that I can easily monitor my heart rate during exercise sessions."""
Doesn't work with my GT watch anymore. Keeps saying update in appstore but there there is no update available to fix. Updated app doesn't fix.,Huawei Health,problem_report,"""As a user, I want the app to be compatible with my GT watch again and for any necessary updates to be available in the app store so that I can continue using the app seamlessly with my device."""
"It stops recording run the moment you stand still. If there is a setting to disable this, it is obscurely hidden. Unusable for running, unfortunately.",Huawei Health,problem_report,"""As a runner, I want the app to continue recording my run even when I am standing still and for the option to disable this feature to be easily accessible so that I can track my entire run accurately and effectively."""
App has frozen today and will not count steps or log activity. Have tried all I can think of to make it work again. Up until now it has been a great app.,Samsung Health,problem_report,"""As a user, I want the app to consistently track my steps and activity without freezing so that I can rely on it for accurate and reliable fitness tracking."""
"Who updates an app by removing a host if useful features - weight tracking, water drunk...The app now just seemscto be an add player. Really wished I hadn't upgraded & ignore the reply when they tell you to keep the app up to date.",Samsung Health,feature_request,"""As a user, I want the app to restore useful features like weight tracking and water consumption monitoring that were removed in the recent update, so that I can continue to track my health and fitness goals effectively without unnecessary changes."""
"It's great now. Love. Just wish you could pause the run instead of stopping it, or is there a way to pause without stopping it?",Garmin Connect,feature_request,"""As a user, I want the ability to pause my run in the app without completely stopping it so that I can address unexpected interruptions without losing my progress."""
"It is a good app, but even though it knows my birth date, it can't correctly calculate my heart zones, meaning my calories spent is always wrong, without resting it every time.",Huawei Health,problem_report,"""As a user, I want the app to accurately calculate my heart zones based on my birth date so that my calories spent are calculated correctly without needing to reset it constantly."""
Why app is not opening on my oneplus 8 pro..its showing download latest version from huawei app gallery...i did that also but still not working..,Huawei Health,problem_report,"""As a user with a OnePlus 8 Pro, I want the app to open successfully on my device without prompting me to download the latest version from the Huawei App Gallery so that I can use the app seamlessly."""
"Outdated app. Does not sync with Huawei Watch GT2 Pro (""not compatible""). Beware! Huawei asks to download an out-of-store .apk to use your smartwatch. Great hardwar but troublesome software. Find version from 2020, it will work.",Huawei Health,problem_report,"""As a user with a Huawei Watch GT2 Pro, I want the app to sync with my smartwatch without needing to download an out-of-store .apk file, so that I can enjoy using the app seamlessly with my device."""
Cheap play by huawei. It is asking to install its own app store and download its other useless apps for this to function. @GOOGLEPLAY look into this..,Huawei Health,feature_request,"""As a user, I want the option to use the Google Play store instead of being forced to install Huawei's app store and unnecessary apps in order to use the device effectively."""
It now requires an upgrade to Huawei Mobile which is not available in my country of Japan. So my Huawei Watch cannot be used with my Huawei phone. Joke of a company,Huawei Health,problem_report,"""As a Huawei device user in Japan, I want the Huawei Mobile app to be accessible in my country so that I can connect and use my Huawei Watch with my Huawei phone without any restrictions."""
"I love this app but since my last phone update, the app is saying I'm burning 6000 calories by the end if the day! I wish, lol. Hopefully this gets corrected soon.",Samsung Health,problem_report,"""As a user, I want the app to accurately calculate and display the calories burned each day so that I can track my fitness progress correctly and efficiently."""
Great app. Love you can put in your food intake and stuff. Would give a 5  star if the step counting would work all the time. It doesn't work more  often than it does work so I don't have a good idea of the calories burned  and such.,Samsung Health,feature_request,"""As a user, I want the step counting feature to consistently work so that I can accurately track my calories burned and have a complete understanding of my health and fitness progress."""
"Love the app. It does more than I ever expected and seems to be getting better. The only issue I have ever had with this app is the occasional ""bug"" when they push out a new upgrade.",Garmin Connect,problem_report,"""As a user, I want the app to have fewer bugs when new upgrades are pushed out so that I can continue to enjoy using the app without interruptions."""
would like to see an upgrade on the iQ apps. I use a lot for biking. don't like the fact that it doesn't stop the clock when I stop at a light,Garmin Connect,feature_request,"""As a user who frequently uses the iQ apps for biking, I would like an upgrade that stops the clock when I stop at a light so that my biking time is accurately tracked."""
"update: congrats, you did it. it's the first app i actually turned notifications off!!! original: why do you need 'read call logs' permission? and why app is so persistent about that?",Garmin Connect,feature_request,"""As a user, I want the app to stop requesting permission to read call logs and to reduce the frequency of notifications so that I can feel more comfortable using the app without unnecessary permissions and interruptions."""
"How hard can it be to make the calibration in a treadmill activity count? Or the time? Or the steps? Everything seems ok in the device, but then it gets transferred to this app and everything is messed up!",Garmin Connect,feature_request,"""As a user, I want the treadmill activity calibration in the app to accurately count time and steps to align with the device readings, so that I can track my workout progress seamlessly."""
Worse than previous version. Walking distance is not correct. 20 min normally gives me 2 miles in older versions and other app. This gave o.67 mil,Samsung Health,problem_report,"""As a user, I want to see accurate walking distance calculations in the app so that I can rely on it for accurate information and planning my routes effectively."""
"Total wastage of money,bought a Huawei watch and my phone is pixel.Always showing not compatible messgaes Then why you are launching new products each year",Huawei Health,problem_report,"""As a user with a Pixel phone, I want Huawei products to be compatible with my device so that I can use them without any compatibility issues and feel satisfied with my purchase."""
Step tracker is no longer accurate. It said I took 600 steps the whole hour I was walking. I'm pretty sure I took more than 600 steps if i was walking for over an hour and I had my phone in my hand the whole time.,Samsung Health,problem_report,"""As a user, I want the step tracker to accurately count my steps so that I can track my physical activity more effectively and have confidence in the data provided by the app."""
I am trying to download the app but it keep on shows please download 4.0. Even after downloading it still not able to use it. Its a use less app.,Huawei Health,problem_report,"""As a user, I want the app to properly recognize and accept the downloaded version 4.0 so that I can use it without any technical issues and have a seamless experience."""
Just bought a vivoactive and it won't connect via the app. The smartwatch tells me I'm connected...the app says I'm connected but it won't transfer any data and everytime I log in it says no devices are connected???? Going around in circles..,Garmin Connect,problem_report,"""As a user with a vivoactive smartwatch, I want the app to reliably and seamlessly connect to my smartwatch so that I can track and transfer my data without any frustrations or errors."""
"After update ui last night (released via firmware update), step counting and account synchronizing has not worked till now. Hope to see bug fixed soon.",Samsung Health,problem_report,"""As a user, I need the step counting and account synchronization functionalities to work properly after the UI update to ensure accurate tracking and data syncing. The bug with these features should be fixed promptly."""
