data,app,type,generated_user_story
"Please huawei, fix the issue of steps counting from both the phone and the watch which is giving a composite reading. It is totally an acceptable. Give us the option to the source of steps counting.",Huawei Health,problem_report," ""As a user with a Huawei device, I want the option to choose the source of step counting from either the phone or the watch, so that I can get an accurate and separate reading for both devices, improving the overall functionality and user experience."""
Love this app and all the features. It works great since my phone comes with it. My only complaint is that I wish there was a widget for the food tracker I need the app. The only widget they have available is for counting steps.,Samsung Health,feature_request," ""As a user with a phone that comes pre-installed with the app, I want a widget for the food tracker within the app, so that I can easily monitor my food intake without needing to open the app constantly."""
"I upgraded to an Samsung S6. Now my Garmin won't Sync at all. I uninstalled the app and installed it back, still won't sync. It's been 3 weeks. What else can I do? It is very frustrating!",Garmin Connect,problem_report," ""As a user who has recently upgraded to an Samsung S6, I want a functional app that syncs correctly with my Garmin device, so that I can continue to use its features effectively. I need troubleshooting steps and support, since my current app is not syncing despite multiple uninstallations and reinstallations, and I have not been able to find a solution for three weeks."""
before i paired Honorband 4 to my device i had installed this app & whats strange is started counting my steps ...How its possible ?.. although its not showing correct data,Huawei Health,problem_report," ""As a user, I want to ensure that the Honorband 4 steps data sync correctly with the paired device, and that the app does not start counting steps prior to pairing, to prevent incorrect data and maintain the accuracy of fitness tracking."""
"Like the app. Except for everytime I put a workout in the app, my step cals always disappear, and the app doesn't show all my step cal.",Samsung Health,problem_report," ""As a user, I want the workout calculations in the app to be accurate and the app to display all my step calories, so that I can trust the data and make informed decisions about my fitness."""
"I like the Garmin ecosystem and while there are a few bugs and glitches, overall I enjoy it. That being said I've never used another fitness tracking app. Still prefer the desktop website though.",Garmin Connect,problem_report," ""As a loyal Garmin user, I appreciate the ecosystem but find some bugs and glitches. However, I'm not familiar with other fitness tracking apps. I prefer using the desktop website. As a continued user, I'd like to see improvements in the app to increase its smoothness and reliability while maintaining the desktop interface for my convenience."""
"I liked it before the latest updates where you could see weight by day, week and month with averages and high and low. Now you can only see it by day so useful functions have been removed!",Samsung Health,feature_request," ""As a user, I want the ability to view my weight data by day, week, month, with averages and high and low values, as this was a useful feature that has been removed with the latest updates."""
"I am not able to connect my band on this app on moto x play mobile, running Android 6. I am able to pair it on my iPad, but it doesn't give me complete benefits of this band.",Garmin Connect,problem_report," ""As a user with a Moto X Play mobile running Android 6, I want to be able to successfully connect my band to the app, so that I can enjoy the full benefits of the band on my mobile device."""
"Used the app on Galaxy S10 for counting steps and for monitoring my heart rate. Since last S10 update, heart rate monitoring no longer functions. Please bring it back. I need it to check my heart rate and not currently in the market to buy a watch.",Samsung Health,problem_report," ""As a user with a Samsung Galaxy S10, I want the heart rate monitoring feature in the app to be functional after the latest update, so that I can continue to monitor my heart rate without needing to purchase a watch."""
App has been awesome until the update within the last hour or so. Since then the app is completely not usable and continually has a box pop up on Android that connect keeps stopping. Please fix asap!,Garmin Connect,problem_report," ""As a user, I want the app to be consistent and free from constant crashes on Android devices, specifically resolving the issue where 'Connect keeps stopping' pop-up is continually appearing, in order to ensure a smooth and uninterrupted user experience."""
It did not work on motorola one vision. It was show that need new version of app gallery which i installd but even that it continue to show the same. So i installed HMS core and now works perfect. But yes it drains the battery,Huawei Health,problem_report," ""As a user with a Motorola One Vision device, I want the app to be compatible and function correctly without requiring additional app gallery updates or HMS Core installation, and I also want to minimize battery drain for an optimal user experience."""
"Can you add programs where I can select my current level (or you figure it out based on my history) and select my goal, like half marathon, or marathon?",Samsung Health,feature_request," ""As a user with a running history, I want the ability to select my current running level automatically based on my past activity or manually, and the option to choose a running goal (e.g., half marathon, marathon) within the app, in order to have a personalized training program and track my progress efficiently."""
I Purchased to FR 220 for the Bluetooth Sync opinion and tried to pair my FR 220 with my Evo 4g LTE and it said it wasn't compatible... So it won't sync. I'm not happy a $270 watch and I can't use it to full capability.,Garmin Connect,problem_report," ""As a user, I want the FR 220 watch to be compatible with Evo 4G LTE so that I can fully utilize its Bluetooth sync features, thus providing the expected functionality for the purchased device."""
"If your heart rate is too high, like after a good cardio sesh it wont give a bpm, which is ridiculous, just tell me how fast its going, damn.",Samsung Health,problem_report," ""As a user who has completed a cardio session, I want the fitness app to accurately measure and display my heart rate (beats per minute - BPM) immediately, so that I can monitor my heart rate recovery effectively."""
Doesn't work with my GT watch anymore. Keeps saying update in appstore but there there is no update available to fix. Updated app doesn't fix.,Huawei Health,problem_report," ""As a user with a Galaxy Watch, I want the app to be compatible and function properly, specifically with the latest version, so that I can use it without encountering errors or the need for nonexistent updates."""
"It stops recording run the moment you stand still. If there is a setting to disable this, it is obscurely hidden. Unusable for running, unfortunately.",Huawei Health,problem_report," ""As a runner, I want a setting to allow continuous recording without stopping when I stand still, and an easily findable setting for this feature, so that I can accurately track my running route without interruption."""
App has frozen today and will not count steps or log activity. Have tried all I can think of to make it work again. Up until now it has been a great app.,Samsung Health,problem_report," ""As a user, I need the app to be stable and functionality-consistent so that I can reliably track my steps and activity without it freezing, and maintain trust in its reliability."""
