data,app,type,generated_user_story
"Please huawei, fix the issue of steps counting from both the phone and the watch which is giving a composite reading. It is totally an acceptable. Give us the option to the source of steps counting.",Huawei Health,problem_report," ""As a user, I want the ability to select the source for step counting (phone or watch) in order to prevent a composite reading and have an accurate step count."""
Love this app and all the features. It works great since my phone comes with it. My only complaint is that I wish there was a widget for the food tracker I need the app. The only widget they have available is for counting steps.,Samsung Health,feature_request," ""As a user who appreciates the app and its features, I want a widget specifically for the food tracker functionality so that I can easily access it from my home screen, improving my experience and convenience."""
"I upgraded to an Samsung S6. Now my Garmin won't Sync at all. I uninstalled the app and installed it back, still won't sync. It's been 3 weeks. What else can I do? It is very frustrating!",Garmin Connect,problem_report," ""As a user who has upgraded to a Samsung S6, I want the Garmin app to successfully sync with my device after installation and updates, so that I can continue using it without any interruptions."""
before i paired Honorband 4 to my device i had installed this app & whats strange is started counting my steps ...How its possible ?.. although its not showing correct data,Huawei Health,problem_report," ""As a user, I want the Honorband 4 app to only track my steps after pairing the device, and not before, to ensure that the data shown is accurate."""
"Like the app. Except for everytime I put a workout in the app, my step cals always disappear, and the app doesn't show all my step cal.",Samsung Health,problem_report," ""As a user, I want the app to accurately record and display my step calories from my workouts, so that I can trust and rely on the app's fitness tracking capabilities."""
"I like the Garmin ecosystem and while there are a few bugs and glitches, overall I enjoy it. That being said I've never used another fitness tracking app. Still prefer the desktop website though.",Garmin Connect,problem_report," ""As a user who appreciates the Garmin ecosystem, I would like the app to be more stable and bug-free to enhance my user experience. Additionally, I would like to see a mobile app equivalent to the desktop website, as I prefer to use it more. However, I have not used other fitness tracking apps for comparison.""

This user story captures the enthusiasm for the Garmin ecosystem, the need for bug-free performance, and the preference for a mobile offering. The last part acknowledges that the user hasn't used other fitness tracking apps for comparison, which could influence future development decisions if the team decides to consider competitor features."
"I liked it before the latest updates where you could see weight by day, week and month with averages and high and low. Now you can only see it by day so useful functions have been removed!",Samsung Health,feature_request," ""As a user, I want the ability to view weight data by day, week, month with averages and high & low values, similar to the previous version, so that I can keep track of my weight trends over various time periods and make informed decisions about my health."""
"I am not able to connect my band on this app on moto x play mobile, running Android 6. I am able to pair it on my iPad, but it doesn't give me complete benefits of this band.",Garmin Connect,problem_report," ""As a user with a Moto X Play mobile running Android 6, I want to be able to successfully connect my band to the app, and receive all features provided by the band, so that I can use the band effectively and without compatibility issues."""
"Used the app on Galaxy S10 for counting steps and for monitoring my heart rate. Since last S10 update, heart rate monitoring no longer functions. Please bring it back. I need it to check my heart rate and not currently in the market to buy a watch.",Samsung Health,problem_report," ""As a user, I own a Samsung Galaxy S10 and I am relying on the built-in heart rate monitoring feature of the app. After the latest software update, the heart rate monitoring functionality is no longer working properly. I would like a resolution to bring back the functioning heart rate monitoring, as I am not in the market to buy a watch and it is essential for me to check my heart rate."""
App has been awesome until the update within the last hour or so. Since then the app is completely not usable and continually has a box pop up on Android that connect keeps stopping. Please fix asap!,Garmin Connect,problem_report," ""As a user, I expect the app to function without interruptions such as 'Connect keep stopping' error message on Android devices, and for it to work reliably after updates, so that I can continue to use it effectively."""
It did not work on motorola one vision. It was show that need new version of app gallery which i installd but even that it continue to show the same. So i installed HMS core and now works perfect. But yes it drains the battery,Huawei Health,problem_report," ""As a user with a Motorola One Vision device, I want the app to be compatible with the existing App Gallery and not require additional installations such as HMS core, to prevent compatibility issues. Additionally, I want the app to minimize its impact on battery life to ensure a better user experience."""
"Can you add programs where I can select my current level (or you figure it out based on my history) and select my goal, like half marathon, or marathon?",Samsung Health,feature_request," ""As a user, I want a feature that allows me to select my current fitness level (either by self-selection or auto-detection based on my history) and choose a specific running goal (like half marathon or marathon) so that I can have a personalized training program designed for my needs and goals."""
I Purchased to FR 220 for the Bluetooth Sync opinion and tried to pair my FR 220 with my Evo 4g LTE and it said it wasn't compatible... So it won't sync. I'm not happy a $270 watch and I can't use it to full capability.,Garmin Connect,problem_report," ""As a user, I want the FR 220 watch to be compatible with a wider range of devices, including Evo 4g LTE, so that I can use the Bluetooth Sync feature fully and utilize the watch's full capabilities."""
"If your heart rate is too high, like after a good cardio sesh it wont give a bpm, which is ridiculous, just tell me how fast its going, damn.",Samsung Health,problem_report," ""As a user who has just completed a cardio session, I want the device to accurately measure and display my heart rate in beats per minute (BPM) even when it's high, so I can monitor my heart rate effectively."""
Doesn't work with my GT watch anymore. Keeps saying update in appstore but there there is no update available to fix. Updated app doesn't fix.,Huawei Health,problem_report," ""As a user, I want the app to be compatible with my Garmin smartwatch and prompt me correctly for updates, so that I can use both devices seamlessly.""

This assumes that the user is experiencing an issue with the app not working with their GT watch (Garmin), and the app informing them of an update which they checked and found no improvement. The user story identifies the need for both compatibility and accurate update information."
