review_content,final_label
"In addition to being notorious for it39s privacy preaching tactics, selling users data to advertising agencies, Facebook continues it39s downfall into degeneracy by silencing and censoring voices that oppose what39s currently happening in Palestine. freegaza",1
"Ive been trying to get a hold of Facebook because I dont have access to my email but I have a phone number on my account but it wont send me confirmation to my number  all my other apps are logged in to my Facebook account big mistake when I try and get help it gives me things I can do but I did it and it still didnt help me, Facebook can you help me yet?",2
"Keep getting banned on Facebook for random things, like posting a video of my own daughter walking, and things taken out of context. Even when Facebook review and realise they made a mistake and admit to it and apologise they dont remove that data stored on you so your account is constantly harassed and silenced!! Wont be using it anymore. Im British at Facebook doesnt understand our humour, banter, context  its very annoying we used these apps to stay connected to family, for work, etc.",2
"I have been locked out of my account for 2 weeks now after being hacked.  I have contacted Facebook via email relentlessly as Incan not access the help or report section of the platform.  This has caused me to be locked out of my Instagram account as well.
I use the platforms for my business.  My customers think that we have gone out of business.  I spent hours on the phone with my carrier and Apple thinking that something was wrong either with the phone or my carrier.  Its Facebook.   Short codes are coming in from everyone else except them, and they have yet to reply.",2
"For all the good Meta does in keeping us connected your company, your leadership and enablers have hooked users to over sharing and over exposure.  In so doing this corporation parasitically intentionally feeds on our unconscious insecurities and shadow via algorithms.  This leads to profound suffering and loss of intimate connections.  This has been my experience.  I believe there deserves to be a class action lawsuit to hold FacebookMeta and its leadership accountability for the incredible political,  societal and individual harm their endless selfish greedy quest for power through data manipulation has wrought.",2
"The site not only has bias on every topic, but they also dont allow the user any privacy.  They will also censor anything that they dont agree with by flashing it as false when in fact it is not false or by taking down your post.  This is very close to communistnazi behavior and is unacceptable in a free country.",2
"Facebook is too woke and too much sensoring.   They track you, spy on you, and listen to your convos.  Not to mention the owner contributed millions to stealing election.  It was invented by CIA to watch us",1
"I can no longer see who liked my posts. Every time I click on anything it says, no data to show. Im getting unbelievably tired of the updates theyre doing. Im 100 about to go back to MySpace or just delete my Facebook account.",2
"they monitor EVERYTHING and god forbid they dont agree with you. posts get deleted, they suspend you just about anything. its like a virtual parent that constantly grounds you. i dont even wanna know what they do with my private information.",2
Its fine until I go to my profile to see view as and cant look at my pics. I want to be able to look at my pics while in view as because its easier to see what pics and videos of mine that complete strangers can see instead of going through all the pics and videos and changing their individual privacy settings. Can yall fix that please,2
"13 years I trusted this site with my life.. only to find out its a data collecting agent of China , pushing communism with its sensoring and false narratives. Big money BIG EVIL .. this app needs to be a mistake of the past.",2
"My 15 year old account got hacked and disabled with 2 factor identification on. Facebook reported to have made 116 billion dollars in 2022, but cant afford customer service. I cant recover my account because it was disabled. Facebook also took the liberty to disable my Instagram account. Both disabled with no review. I have never caused in issue on either apps going against there terms and agreements. But I learned a valuable lesson, you dont have any rights to your profiles, pictures, conversations, or business information etc, they can take it away and not give it back at any given time. I have spent many hours researching, sending emails, trying different things etc. to no avail. Thanks Facebook for the complete disappointment and for completely not caring about your customers.",2
