app_review,app,type
"Does not want to work, I'm getting a strange message about changes to my phone and to contact customer service. Please advice on this matter.",Samsung Health,problem_report
I am happy with the app but Don't buy huawei band 4 because it is not beetter then mi band 4 huawei band should get more improve in updated not even amoled or not our own wallpaper,Huawei Health,problem_report
"After the last two updates, the app stopp taking record of my sleep time automatically.... I kindly advice the developers to see to that...",Samsung Health,problem_report
"I bought this thinking i could use this for open water swimming. Far from efficient, as i couldnt close the app after i finished. Would have been great to have been able to tell the actual water temp too. Also the sleep function is ineffective.",Huawei Health,problem_report
"I like this app. It does everything I need it to do with the exception of a barcode scanner for the ""eat healthier"" program or at least let me import scan data from another app to this one",Samsung Health,feature_request
"Not always do I take my phone, I wish the app still allowed us to put ours steps in from our other devices not supported.",Samsung Health,feature_request
Add Tecno mobile features in this app. I've band 6 and I'm having identification error,Huawei Health,problem_report
Overall quite a good app but needs to be a little easier to access the settings section...,Garmin Connect,feature_request
"Settings is enabled but kept asking sms permission on my s7, hence couldn't connect with my friends who has S health.",Samsung Health,problem_report
Disappointed with this app. No way to install additional watch faces unless you download the moded chinese version. Why is this app not regularly updated?,Huawei Health,feature_request
"I used to love this app.. now it dosent even work properly. It dosent even count my steps sometime.. really frustrating, also weight management feature is no longer there with the new update.. pointless having this app anymore..",Samsung Health,problem_report
Does the job. But my floor count is so inaccurate the last 4 weeks. Vivosmart keeps saying I've climed 35+ floors everyday when its more like 10-15 floor.,Garmin Connect,feature_request
My activities from My Fitness Pal don't sync into the Connect app. I'm having to enter my workouts manually.  My information such as my picture or personal stats/settings are saving some and not others. My screens look nothing like any of the screenshots or videos.,Garmin Connect,problem_report
Aftsr latest update gt2 doesnt connect to internet. Cannot show weather data and cant check for update... Also cant change watch faces. Also probkems in help page... Simply notngood,Huawei Health,problem_report
I have installed and uninstalled this app 12 times and it still doesnt work. When I click on 'Sign in' it just goes blank. I have watched the Youtube trouble shooting tutorials also. Does not work.,Garmin Connect,problem_report
"The app says one of the accessories is a samsung heart rate monitor so I ordered it,  doesn't use the heart rate monitor for anything,  big bummer and misleading",Samsung Health,problem_report
Im often using this apps for physical activity daily drive.... But the result was not significant ... Long run about 45 minutes.... And the result. 51% walk.. 49% running...for 8 kilometres... Even im not using this phone for a day.... Yhe result always look like the same....,Huawei Health,problem_report
It keeps getting stuck at the steps screen for me. Keeps loading forever and hangs :( the rest of the app works fine though..,Samsung Health,problem_report
it can't  be used in other devices.. samsung should open this types  of software to alll,Samsung Health,feature_request
I wish there was an option to select your preferred 1st day of the week. Other than that I love using the app with my FitBit.,Samsung Health,feature_request
"What is missing is the possibility to create your own training plan,",Huawei Health,feature_request
The Bluetooth connection keeps connecting and disconnecting all the time even when I have my phone close to me.,Garmin Connect,problem_report
Previous version was better! Cant even get on this updated one. Plus I've lost all data by looks of it,Huawei Health,problem_report
Getting better and faster ... Keep it up.   Adding 7 minutes workout kind of activities with sample will be great feature.,Garmin Connect,feature_request
"Love the watch GT2 but really unfortunate that the app keeps crashing, then have to uninstall and reinstall every few days. Can you please fix the app to be stable on Google 6 pro.",Huawei Health,problem_report
I do not work out and it keep tell nice work or I'm on a bicycle and it been 4 years for that. Something need fix ASAP,Samsung Health,problem_report
Can't connect or pairing to huawei smart body fat scale,Huawei Health,problem_report
"Like many complaints on this product page, it appears the bluetooth connectivity is a real problem for many people.",Garmin Connect,problem_report
This app is getting slower and slower. It just hangs when I come back from my walk. I do not have the problem if I use any of the other running apps.,Samsung Health,problem_report
"When the new day starts at midnight I already see 200kcal burned, even if the day just started and I didn't burn anything with training or just thanks to my basal metabolism, please fix this...",Samsung Health,problem_report
I used this app for cycling. But the GPS is way off. The map shows me i crossed sea & jungle to reach my destination. Please fix the GPS accuracy & mapping issue .. i test this many times but the inaccuracies is just too much. Pls fix.,Huawei Health,problem_report
There is no option or updates given for honor band 4 regarding screen lock and also battery % of band in band itself,Huawei Health,feature_request
"After the last update I can't connect my watch to the phone, and I can't set my gender as well",Huawei Health,problem_report
"Sleep stats are way to conservative since some time (nearly always they require an edit to add sleep time). Also, the app does not want to sync watch data without internet connection - why? What about trying to sync in a remote location out of range?",Garmin Connect,problem_report
great app but there needs to be a push bike riding activity like the walking and running step count,Samsung Health,feature_request
"My only complaint is if the watch gets powered off (often due to freezing while charging), the app won't sync correctly when the watch is turned back on. It just keeps the info from before the watch was powered off.",Garmin Connect,problem_report
"Not working at all it does not set up setting, profile, heart from 5 days",Huawei Health,problem_report
"Great app and fun challenges. The only thing I would like to see, is a more  detailed way to track weightlifting workouts by different types of machines.",Samsung Health,feature_request
Huawei Band 3 Pro won't connect to google fit or my fitness pal :(,Huawei Health,problem_report
"hi, i like the app but i feel it's missing a bar scanner for the food part, like My Fitness does.",Samsung Health,feature_request
"I love this app but since my last phone update, the app is saying I'm burning 6000 calories by the end if the day! I wish, lol. Hopefully this gets corrected soon.",Samsung Health,problem_report
"My data is not syncing with MyFitnessPal app, it is there is a setting other than linking to the app?",Huawei Health,feature_request
"I reinstall this app and all of my records , sleep data gone🤦🏻‍♂️ this app is not sync with huawei claud which my health data stored. I logged out and re loggged in but does not affect huawei health app. shittt",Huawei Health,problem_report
"Good UI, after making sure the app auto-starts the phone always connects to the watch. great app, the only problem is that the find my phone app on my watch only makes sound if tge app is open.",Garmin Connect,problem_report
Love the app and the challenges it is incredibly difficult to connect with people you know it would be great if it connected to Facebook or phone book,Samsung Health,feature_request
"The whole app. stopped working. It needed to be updated, I  tried but the app. still won't work. I would like it if someone would tell me.how to fix this.",Samsung Health,problem_report
Great App. It would be such better if it communicated with other fitness/wellness systems and apps.,Samsung Health,feature_request
Updated today and now shows my weight as 10.5:7.0 st?! What the hell is that all about!,Garmin Connect,problem_report
"The step counter stopped working for the second time. Each time i had to reinstall the app. I have a Samsung Galaxy S5, all software updated. Losing the progress details for what I had accomplished was annoying.",Samsung Health,problem_report
Won't sync activity or heart rate with Google Fit. Only sleeping data for some reason.,Huawei Health,problem_report
love the app always used it for years but why is there no auto fill for foods anymore ??,Samsung Health,feature_request
I can not give -1 star. App is total usless without weight management. I will remov it and instal another app.,Samsung Health,feature_request
"After last update how i can see my scheduled trainings? It shows only ""today"" . Please update. Thank you",Garmin Connect,problem_report
My rate checker stopped working sence I did the update,Samsung Health,problem_report
Not able to pair up it with my honor band 5 as it is not updating the device list,Huawei Health,problem_report
"My honor band 5i touch is not responding, i dont know where to get help, please direct me after seeing this, thank you P.s. Used for less than a month",Huawei Health,problem_report
Sleep track doesn't work. The app doesn't have the same features as the watch. Ridiculous.,Huawei Health,problem_report
The steps didn't sum up at the dashboard for few times already. And makes me can't collect points from there. Upset,Samsung Health,problem_report
It's great when it's working. It keeps losing sync and I have to uninstall and reinstall to get it working again. It's happening more and more 😒,Garmin Connect,problem_report
App and watch are mediocre at best. The app is buggy and does not sync with other apps.,Huawei Health,problem_report
A very handy app but occasionally it's slow to connect to my device.  I recently changed from a Nokia mobile phone which is not fully supported to an android device which is. I recommend this app.,Garmin Connect,feature_request
Worst app ..I am not able to download even a single theme ....no clear user guide ... Update your app guys do some work..hate it 👎🏼,Huawei Health,feature_request
"Connects well on xperia 10 phone and gt2 pro watch, good charts and map to reference workout. The hight and weight setting don't set properly, only fault.",Huawei Health,problem_report
"How does it calculate calories? Walked 40 min with 4km/h speed. It is about 2.7km. And the app says me I burnt about 350 calories. How this even possible? In reality it would be 110-130 calories. Please, fix. Otherwise it is useless.",Samsung Health,problem_report
removed the caloric intake feature and now it's wack edit: just found out you can undo the update by looking up the older version of the app on the Samsung mobile website 😫 still upset the current version doesn't have the calorie intake and outake meter though,Samsung Health,feature_request
Good app. But it would be nice if I can choose my own totals in Actvities > Cycling > Totals... etc. Total climb instead of calories or distance. Thank you.,Garmin Connect,feature_request
"If it has an option to flip the data for night shift schedule workers, that would be GREAT!",Samsung Health,feature_request
Rubbish. Doesn't allow to export data. And why do you need access to my call logs?,Huawei Health,feature_request
It's good I liked the heart rate and stress measuring but there r problems with step counter,Samsung Health,problem_report
Would give 4 but they took down a very vital feature like calorie management.,Samsung Health,feature_request
When i open app they said download huawai app gallery then i download that app but it doesn't work please solve this problem i have to use my honor band 4.,Huawei Health,problem_report
I am using huawei gt 2 This app has sooo disappointing watch faces.without any custom for faces.And it looks so poor and not in 3d model at all.samsung has more features and more customs for their watches and i have a bit of shame on you huawei,Huawei Health,feature_request
3 messages in 4 hours now getting very annoying.stop it,Samsung Health,feature_request
Why does it not work on the Xiaomi MI4 phone? Seems strange that on a new phone it would not work. Does the phone software just need to be updated??,Garmin Connect,problem_report
"It's good but the Bluetooth connection with the band keeps falling and you have to go to the app to reconnect , and the band itself counts steps if you just move it in your hand !!",Huawei Health,problem_report
If u can fix the issues with huawei phones then i would give u 5 star but im really frustrated and annoyed by this problem which leads to my vivoactive hr being practically useless,Garmin Connect,problem_report
There is no option for check hear rate i can i manage this can you guide us ???,Samsung Health,feature_request
Asks me everytime i turn my bluetooth on if im having trouble connecting. Needs to be fixed i use many other bluetooth device's,Garmin Connect,problem_report
I am not able to open this app on one plus7 .pls help,Huawei Health,problem_report
Without pairing step count continuously. Ultimately very high count different in watch and applications.,Huawei Health,problem_report
