SL,Data,App,Type,USER_STORIES
1,"One issue that i have is with connectivity between my phone and device. Sometimes the floors climbed are not accurate, it would be nice if the phone counted as well as the device. other than that issue i think the app is great",Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to count accurate floor climbed data so that I can see actual exercise information and track my fitness."
2,"The sleep app shows the most recent nights sleep on the dashboard display, but when you click on the details in will only show you the night prior and not the most recent night. Should be a simple update.",Garmin Connect,feature_request,"As a Garmin Connect User, I want to see recent nights sleeping data in ""details screen"" so that I can observe and analyze my sleep pattern (just like it is shown on dashboard)."
3,"Doesn't allow integration to other services like Strava. I will have to return my Watch GT if I can't at the very least manually export my activities. Otherwise good app. Syncs some activities to Google Fit, but misses most of the data.",Huawei Health,feature_request,"As a Huawei Health End User, I want to have the integration option with Strava app so that I can see data of my activites which was recorded in strava."
4,What's the point of tracking every thing about your health if you CAN'T SET A CALORIE GOAL TO GO WITH YOUR FOOD INTAKE. HOW STUPID IS THIS?????,Samsung Health,feature_request,"As a Samsung Health End User, I want to have the option to setup Calorie Goal for individual Food Consumption so that I can see which food I should consume to meet my calorie goal."
5,"A very good app to use it with my SmartWatch but I would recommend to have more options and do further improvements for better use. And a variety of watch faces would be far greater because that is what consumers care about the most, how it looks.",Huawei Health,feature_request,"As a Huawei Health End User, I want to have more watch faces so that I can try out other watch faces and their looks."
6,Getting better and faster ... Keep it up.   Adding 7 minutes workout kind of activities with sample will be great feature.,Garmin Connect,feature_request,"As a Garmin Connect User, I want to have 7 minutes workout activity in the app so that I can quickly finish activity and see the workout result."
7,"The app doesn't allow for  Bluetooth connection between my FR 235 and Huawei P10, no amount of resetting and restarting of devices help.",Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to connect with Bluetooth devices properly so that I can connect with my other devices."
8,"Garmin completely broke sync as of the latest update, this is garbage. Don't buy their devices, giant waste of your time.",Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to work properly after the latest update so that I can use the app without any hassle."
9,"Used to have no problems syncing with my Samsung Note5, as it worked fine for 2 months, and then stopped syncing.  There were connection problems prior to the absolute complete failure to sync. Now very sad.",Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to sync with my Samsung Note 5 so that I can use the app without any hassle."
10,İ have trouble to connect my mi band 5 to samsung health and it make unsatisfied to use this app,Samsung Health,problem_report,"As a Samsung Health User, I want the app to sync with my MI band 5 so that I can use the app without any hassle."
11,I'm withholding one star until you make a widget for Android. Consider it a hostage situation and chop chop!  :-),Garmin Connect,feature_request,"As a Garmin Connect User, I want to see app as a widget in the android platform so that I can easily drag in the home screen and use it."
12,"I have the body fat scale but I only get the weigth and body fat, where are the other 9 measures",Huawei Health,feature_request,
13,"Quite good but lacking in some areas. Sleep tracking is particularly bad, as a poor sleeper I was hoping this function would be useful but it tells me I've had 8 hours solid sleep when I definitely haven't. Could learn a lot from FitBit's algorithm.",Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to record and track my sleeping so that I can see my sleeping data and try to improve my sleeping pattern."
14,"Generally good but Body Battery and Stress tabs don't work during some activities, for example Hiking, which renders the features practically useless for anyone who does it often :/",Garmin Connect,problem_report,"As a Garmin Connect User, I want the Body Battery and Stress Tabs to work perfectly during all activities so that I can see insights on them."
15,I work a 12 hr shift and i walk 10 of those hours.  This doesn't count all of my steps. Not happy about the way it shows your rewards. Won't let you see each reward. Before update was better. Not excited about using this anymore.,Samsung Health,problem_report,"As a Samsung Health User, I want the app to count my steps during my working shift so that I can keep track of my steps."
16,I have nexus 6p it always disconnect from my phone Bluetooth. After 15 min my watch tells me to reconnect such a bad software .,Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to connect with my Nexus 6p without error so that I can continue to use it on my watch."
17,Please make the app working in other devices too. It asks for latest version of Huawei mobile services. We can't buy a separate mobile to make the app work. So please make it working,Huawei Health,feature_request,"As a Garmin Connect User, I want to use it on different version of different android mobile."
18,"After updating to the app, I can't disable the Continuous Heart Rate Monitor feature of my Honor Watch. It enable itself every time I tried to disable it. ** With the latest update, the problem now is solved. Thanks Huawei",Huawei Health,problem_report,
19,Not able to open the app. Use to work but not anymore. I reinstalled the app but still not opening,Huawei Health,problem_report,"As a Huawei Health User, I want the app to work on my device without any error so that I can use it on my device."
20,"It is a really good app, but when I changed my phone device, I lost everything (my progress, my food, my steps...) even when I have an account linked to this app.  I would have given 5 stars if this didn't happen. What a pity.",Samsung Health,problem_report,"As a Samsung Health User, I want the app to sync my data to any device where I will login using same account so that I can my progress, my food, my steps on the logged in devices. "
21,"overall, the app gives me all the data I need. but lately, I have been experiencing hanging and crashing upon opening. please resolve this issue. thanks now, it can not record my activity if I am not connected to the internet..",Huawei Health,problem_report,"As a Huawei Health User, I want the app to work on my device without hanging device or crashing the app so that I can use the app smoothly."
22,It now requires an upgrade to Huawei Mobile which is not available in my country of Japan. So my Huawei Watch cannot be used with my Huawei phone. Joke of a company,Huawei Health,problem_report,
23,I am unable to use notifications features from last update although I have followed all instructions and troubleshooting suggested by app. Bad experience,Huawei Health,problem_report,"As a Huawei Health User, I want to update the app smoothly so that I can get the notification."
24,You cannot enter your weight manually....only thru a high tech Huawei weigth monitor...$$$ plus where do you buy that??? Not in Mexico....so very useless app,Huawei Health,feature_request,"As a Huawei Health End User, I want to have the option to enter weight manually so that I do not need additional devices to connect."
25,"I enjoy the app, especially logging food. Would be nice if app would allow more than 100 My Food entries to be added/created.",Samsung Health,feature_request,"As a Samsung Health End User, I want to have the option to include more than 100 food consumption data so that I can see more food consumtion data."
26,"Would be 5 stars, but you can't see the training programmes that you're currently doing, it only offers you to start new ones. I have to log in on a browser to see my training session each day.",Garmin Connect,feature_request,"As a Garmin Connect User, I want to see my ongoing training in the dashboard so that I can quickly see my progress."
27,It was great for tracking steps but now the step counter isn't resetting each day. It doesn't work. Update: Samsung responded very quickly for a fix to the problem and it was able to resolve the issue and now it works better.,Samsung Health,problem_report,
28,"Wish my health data could be accessed from a computer, not just on my mobile phone. Laptop screen would be larger, showing more data at the same time, easier to print reports, maybe also compare data over different time frames etc.",Samsung Health,feature_request,"As a Samsung Health End User, I want to have the option to see my health data on desktop web browser so that I can see more data in a big screen and print reports and compare data over different time frames."
29,Was working fine until I got a new phone but now my band 4 pro won't pair with the app. Sort it out,Huawei Health,problem_report,"As a Huawei Health User, I want the app to connect with my band 4 pro without error so that I can continue to use it on that device."
30,Loved this app for a long time. But the recent updatehas killed it for me.beacause this app all of sudden need permission for access my contacts and all. A big No from my side.i already had uninstall this app.Now searching for better pedometer..,Samsung Health,feature_request,"As a Samsung Health End User, I want the app not to access my contacts so that my contacts data keep secured and private."
31,Where did it go? The app is nowhere to be found on my phone! I have to go to the play store and search it JUST to access it outside of my watch. Its really hard tk travk and compare when you cant find the dang thing!,Samsung Health,feature_request,"As a Samsung Health End User, I want to have the option to keep the app on homescreen of my phone after installation so that I can easily find the app and use it."
32,"If your heart rate is too high, like after a good cardio sesh it wont give a bpm, which is ridiculous, just tell me how fast its going, damn.",Samsung Health,problem_report,"As a Samsung Health User, I want the app to show me the BPM after each cardio so that I can keep track of how fast my heart is beating."
33,App is great. But please address the average pace. The average pace is still calculated in imperial even though we have set it to metric.,Huawei Health,feature_request,"As a Huawei Health End User, I want to have the option to see measurements unit of average pace in metric measurements system so that I can easily recognise and measure them. "
34,"Its great to use! The only thing i could say is, you need to update the list of food on it! Like new flavours of chips or drinks! :)",Samsung Health,feature_request,"As a Samsung Health End User, I want to see more food category added in the  food list so that I can see new flavours of chips or drinks."
35,Needs a notification to tell you when it has picked up a gps signal. I run the same route but I can can have a difference of 0.1 to 0.4 due to not knowing when It the app has a gps lock like.,Samsung Health,feature_request,"As a Samsung Health End User, I want to see to have the option to pickup my gps signal so that I can see the difference between previous and present location."
36,"Heart rate and sleep data does not upload to Google Fit for Honor Band 5, even though both apps show each other and data sharing is turned on. Within the Huwawei Health app, sleep data always has to be manually synchronised. Heart rate is recorded fine though.",Huawei Health,problem_report,"As a Huawei Health User, I want to have the option to upload heart and sleeping data to Google Fit for Honor Band 5 so that I can see data from Google Fit."
37,For the love of God why won't they fix the height and weight glitch in the profile settings?!! No matter what I do is defaults to 14 feet tall and 65 pounds!! This cannot be hard for them to fix!!! Obviously they don't care.,Huawei Health,problem_report,"As a Huawei Health User, I want to see responsive profile setting page so that I can see ratio based profile on different devices."
38,Same story... does not work completely. Does it only work on overpriced Samsung Phones. I regret that I still have a Samsung smartwatch. Just loading circle all the time.,Samsung Health,problem_report,"As a Samsung Health User, I want the app to work on all devices so that I can use it on my samsung smartwatch and other phones."
