app_review,app,type,user_story
"Does not want to work, I'm getting a strange message about changes to my phone and to contact customer service. Please advice on this matter.",Samsung Health,problem_report,"As a user, I want the app to function correctly without error messages and clear guidance on how to resolve any issues so that I can use the app without needing to contact customer service.
"
I am happy with the app but Don't buy huawei band 4 because it is not beetter then mi band 4 huawei band should get more improve in updated not even amoled or not our own wallpaper,Huawei Health,problem_report,"As a user comparing fitness trackers, I want the app to provide accurate and reliable data and features comparable to alternative devices like the Mi Band 4 so that I can make informed purchasing decisions and have a satisfactory user experience with my chosen device.
"
"After the last two updates, the app stopp taking record of my sleep time automatically.... I kindly advice the developers to see to that...",Samsung Health,problem_report,"As a user, I want the app to automatically record my sleep time as it did before the last two updates, so that I don't have to manually track my sleep data.
"
"I bought this thinking i could use this for open water swimming. Far from efficient, as i couldnt close the app after i finished. Would have been great to have been able to tell the actual water temp too. Also the sleep function is ineffective.",Huawei Health,problem_report,"Here's a user story derived from the review:

**As a user:**

*   I want the app to function correctly in open water (specifically be able to be closed after use) so that I can reliably use it for open water swimming.
*   I want to be able to view the actual water temperature so that I can make informed decisions about my open water swim.
*   I want the sleep function to accurately track my sleep patterns so that I can gain insights into my sleep quality.
"
"I like this app. It does everything I need it to do with the exception of a barcode scanner for the ""eat healthier"" program or at least let me import scan data from another app to this one",Samsung Health,feature_request,"As a user participating in the ""eat healthier"" program, I want a barcode scanner within the app, or the ability to import scan data from another app, so that I can easily track the nutritional information of the food I consume.
"
"Not always do I take my phone, I wish the app still allowed us to put ours steps in from our other devices not supported.",Samsung Health,feature_request,"As a user, I want the ability to manually input steps from unsupported devices so that my step count is accurate even when I don't have my phone with me.
"
Add Tecno mobile features in this app. I've band 6 and I'm having identification error,Huawei Health,problem_report,"As a user with a Tecno Band 6, I want the app to fully support Tecno mobile features and properly identify my device so that I can seamlessly integrate my wearable with the app.
"
Overall quite a good app but needs to be a little easier to access the settings section...,Garmin Connect,feature_request,"As a user, I want the settings section to be more easily accessible so that I can quickly adjust my preferences.
"
"Settings is enabled but kept asking sms permission on my s7, hence couldn't connect with my friends who has S health.",Samsung Health,problem_report,"As a user with an S7, I want the app to properly handle SMS permissions after I've already enabled them (according to settings) so that I can connect with my friends who use S Health.
"
Disappointed with this app. No way to install additional watch faces unless you download the moded chinese version. Why is this app not regularly updated?,Huawei Health,feature_request,"Here's a user story based on the provided review:

**User Story:** As a user, I want the ability to install additional watch faces directly through the app without needing to resort to unofficial or modified versions, and for the app to be regularly updated, so that I have access to a variety of customization options and a reliable, well-maintained experience.
"
"I used to love this app.. now it dosent even work properly. It dosent even count my steps sometime.. really frustrating, also weight management feature is no longer there with the new update.. pointless having this app anymore..",Samsung Health,problem_report,"Here's a user story based on that review:

*   **As a user, I want the app to reliably track my steps so that I can accurately monitor my activity levels.**
*   **As a user, I want the weight management feature to be restored so that I can continue to use the app for my comprehensive health tracking.**
    *(Optional: As a previous user I want the app to maintain or improve existing functionality in updates so that my experience does not degrade.)*
"
Does the job. But my floor count is so inaccurate the last 4 weeks. Vivosmart keeps saying I've climed 35+ floors everyday when its more like 10-15 floor.,Garmin Connect,feature_request,"As a user of Vivosmart, I want the floor count tracking to be more accurate so that I can rely on the data for a more realistic representation of my activity levels.
"
