app_review,app,type,user_story
"Does not want to work, I'm getting a strange message about changes to my phone and to contact customer service. Please advice on this matter.",Samsung Health,problem_report,"User Story: ""As a user, I want the app to function properly and not display any strange messages about changes to my phone. If I do encounter any issues, I want clear instructions on how to resolve them, possibly through customer service."""
I am happy with the app but Don't buy huawei band 4 because it is not beetter then mi band 4 huawei band should get more improve in updated not even amoled or not our own wallpaper,Huawei Health,problem_report,"Story: As a user, I want the Huawei Band 4 to have better features and improvements in the updates, such as an OLED display and customizable wallpapers, so that I have a better experience compared to the Mi Band 4."
"After the last two updates, the app stopp taking record of my sleep time automatically.... I kindly advice the developers to see to that...",Samsung Health,problem_report,"As a user, I want the app to automatically take record of my sleep time after updates so that I can track my sleep accurately."
"I bought this thinking i could use this for open water swimming. Far from efficient, as i couldnt close the app after i finished. Would have been great to have been able to tell the actual water temp too. Also the sleep function is ineffective.",Huawei Health,problem_report,"User Story: ""As a user, I want to be able to use the app for open water swimming efficiently, without needing to close the app after finishing. I also want to be able to see the actual water temperature and have an effective sleep function."""
"I like this app. It does everything I need it to do with the exception of a barcode scanner for the ""eat healthier"" program or at least let me import scan data from another app to this one",Samsung Health,feature_request,"As a user, I want the app to have a barcode scanner or the ability to import scan data from another app so that I can easily track my meals and progress on the ""eat healthier"" program."
"Not always do I take my phone, I wish the app still allowed us to put ours steps in from our other devices not supported.",Samsung Health,feature_request,"""As a user, I wish the app would allow me to manually input my steps from devices not supported so that I can accurately track my activity even when I don't have my phone with me."""
Add Tecno mobile features in this app. I've band 6 and I'm having identification error,Huawei Health,problem_report,"User Story: ""As a user with a Tecno mobile, I want the app to have supported features for my device so that I can access all functionality without encountering identification errors."""
Overall quite a good app but needs to be a little easier to access the settings section...,Garmin Connect,feature_request,"As a user, I want the settings section to be easily accessible so that I can customize the app to my preferences."
"Settings is enabled but kept asking sms permission on my s7, hence couldn't connect with my friends who has S health.",Samsung Health,problem_report,"As a user, I want to be able to connect with my friends who use S Health on their S7 devices without having to constantly give the app SMS permission."
Disappointed with this app. No way to install additional watch faces unless you download the moded chinese version. Why is this app not regularly updated?,Huawei Health,feature_request,"""As a user, I want the ability to install additional watch faces without having to download a modified version so that I can have a variety of options. Additionally, I would like the app to be regularly updated to ensure it stays up-to-date."""
