app_review,app,type,user_story
"Does not want to work, I'm getting a strange message about changes to my phone and to contact customer service. Please advice on this matter.",Samsung Health,problem_report,"User Story: ""As a user, I want the app to function properly and not give me error messages about changes to my phone. I also want clear instructions for how to resolve any issues with customer service."""
I am happy with the app but Don't buy huawei band 4 because it is not beetter then mi band 4 huawei band should get more improve in updated not even amoled or not our own wallpaper,Huawei Health,problem_report,"User Story: ""As a user, I want the Huawei Band 4 to have better features and updates, such as an AMOLED display and the ability to set our own wallpapers, so that I can have a better overall experience with the app."""
"After the last two updates, the app stopp taking record of my sleep time automatically.... I kindly advice the developers to see to that...",Samsung Health,problem_report,"""As a user, I want the app to accurately track my sleep time after updates, so that I have a reliable record of my sleep patterns."" "
"I bought this thinking i could use this for open water swimming. Far from efficient, as i couldnt close the app after i finished. Would have been great to have been able to tell the actual water temp too. Also the sleep function is ineffective.",Huawei Health,problem_report,"As a user, I want the app to accurately track and record water temperature when I go open water swimming. Additionally, I want the sleep tracking feature to work effectively so that I can monitor my sleep patterns."
"I like this app. It does everything I need it to do with the exception of a barcode scanner for the ""eat healthier"" program or at least let me import scan data from another app to this one",Samsung Health,feature_request,"User Story: ""As a user, I want the app to have a barcode scanner or the ability to import scan data from another app for the ""eat healthier"" program so that I can easily track my progress and make healthier choices."""
"Not always do I take my phone, I wish the app still allowed us to put ours steps in from our other devices not supported.",Samsung Health,feature_request," User Story: ""As a user, I want the app to support logging steps from my other devices so that I can accurately track my activity without always having my phone with me."""
Add Tecno mobile features in this app. I've band 6 and I'm having identification error,Huawei Health,problem_report,"
""As a Tecno mobile user with a Band 6 device, I want the app to include Tecno-specific features and fix the identification error so that I can fully utilize the app's capabilities."""
Overall quite a good app but needs to be a little easier to access the settings section...,Garmin Connect,feature_request,"As a user, I want an easier way to access the settings section so that I can customize the app according to my preferences."
"Settings is enabled but kept asking sms permission on my s7, hence couldn't connect with my friends who has S health.",Samsung Health,problem_report,"As a user, I want to be able to connect with my friends through S Health, but the constant prompts for SMS permission on my S7 are preventing me from doing so. I would like the option to manage or change this setting in order to connect with my friends seamlessly."
Disappointed with this app. No way to install additional watch faces unless you download the moded chinese version. Why is this app not regularly updated?,Huawei Health,feature_request,"
User Story: ""As a user, I want the ability to install additional watch faces without having to rely on a moded Chinese version of the app. I also want the app to be regularly updated so that I can have access to new features and bug fixes."""
"I used to love this app.. now it dosent even work properly. It dosent even count my steps sometime.. really frustrating, also weight management feature is no longer there with the new update.. pointless having this app anymore..",Samsung Health,problem_report,"
As an assistant, I want the app to function properly and accurately track steps so that my user can effectively monitor their physical activity. I also want the weight management feature to be restored in the app's latest update so that my user can continue to manage their weight through the app."
Does the job. But my floor count is so inaccurate the last 4 weeks. Vivosmart keeps saying I've climed 35+ floors everyday when its more like 10-15 floor.,Garmin Connect,feature_request,"User Story: ""As a user, I want the floor count in my Vivosmart to accurately reflect the number of floors I've climbed so that I can track my activity levels accurately."""
My activities from My Fitness Pal don't sync into the Connect app. I'm having to enter my workouts manually.  My information such as my picture or personal stats/settings are saving some and not others. My screens look nothing like any of the screenshots or videos.,Garmin Connect,problem_report,"As a user, I want My Fitness Pal activities to automatically sync with the Connect app so that I don't have to manually enter my workouts. I also want all my personal information, such as pictures and settings, to be correctly saved and displayed in the app."
Aftsr latest update gt2 doesnt connect to internet. Cannot show weather data and cant check for update... Also cant change watch faces. Also probkems in help page... Simply notngood,Huawei Health,problem_report,"As a user, I want the GT2 app to be able to connect to the internet and display weather data, enable me to check for updates and change watch faces, and have a functional help page so that I can use the app with ease and without any issues."
I have installed and uninstalled this app 12 times and it still doesnt work. When I click on 'Sign in' it just goes blank. I have watched the Youtube trouble shooting tutorials also. Does not work.,Garmin Connect,problem_report,"As a user, I want the app to properly function and access my account so that I can use it without any technical issues. I have attempted to sign in multiple times but the app continues to go blank, despite following troubleshooting tutorials."
"The app says one of the accessories is a samsung heart rate monitor so I ordered it,  doesn't use the heart rate monitor for anything,  big bummer and misleading",Samsung Health,problem_report,"As a user, I want the accessory descriptions to accurately reflect the functionality of the product so that I can make informed purchases."
Im often using this apps for physical activity daily drive.... But the result was not significant ... Long run about 45 minutes.... And the result. 51% walk.. 49% running...for 8 kilometres... Even im not using this phone for a day.... Yhe result always look like the same....,Huawei Health,problem_report,"As a user, I want the physical activity tracking feature to accurately record my daily activities, including the ability to differentiate between walking and running, so that I can track my progress and see changes in my routine over time."
It keeps getting stuck at the steps screen for me. Keeps loading forever and hangs :( the rest of the app works fine though..,Samsung Health,problem_report,"As a user, I want the steps screen to load properly and not freeze so that I can proceed with the use of the app without any interruptions."
it can't  be used in other devices.. samsung should open this types  of software to alll,Samsung Health,feature_request,""" As a user, I want the app to be compatible with all devices, including Samsung, so that I can use it on any device I own."""
I wish there was an option to select your preferred 1st day of the week. Other than that I love using the app with my FitBit.,Samsung Health,feature_request,"User Story: ""As a FitBit user, I want the option to choose my preferred first day of the week so that the app can sync accurately with my fitness tracker."""
"What is missing is the possibility to create your own training plan,",Huawei Health,feature_request,"User Story: ""As an assistant, I want the ability to create custom training plans so that I can tailor them to my client's specific needs."""
The Bluetooth connection keeps connecting and disconnecting all the time even when I have my phone close to me.,Garmin Connect,problem_report,"As an assistant, I want the Bluetooth connection to remain stable so that I can reliably transfer data and connect to devices."
Previous version was better! Cant even get on this updated one. Plus I've lost all data by looks of it,Huawei Health,problem_report,"
As a user, I want the new version of the app to function properly and save my data efficiently so that I can seamlessly continue using the app without any disruptions."
Getting better and faster ... Keep it up.   Adding 7 minutes workout kind of activities with sample will be great feature.,Garmin Connect,feature_request,"User Story: ""As a user, I want to see 7 minute workout activities with sample exercises added to the app, so that I can have more diverse workout options and improve my fitness routine."""
