app_review,app,type,user_story
"Does not want to work, I'm getting a strange message about changes to my phone and to contact customer service. Please advice on this matter.",Samsung Health,problem_report,"As a user, I want to does not want to work, i'm getting a strange message about changes to my phone and to contact customer service. please advice on this matter., so that I can have a better experience."
I am happy with the app but Don't buy huawei band 4 because it is not beetter then mi band 4 huawei band should get more improve in updated not even amoled or not our own wallpaper,Huawei Health,problem_report,"As a user, I want to i am happy with the app but don't buy huawei band 4 because it is not beetter then mi band 4 huawei band should get more improve in updated not even amoled or not our own wallpaper, so that I can have a better experience."
"After the last two updates, the app stopp taking record of my sleep time automatically.... I kindly advice the developers to see to that...",Samsung Health,problem_report,"As a user, I want to after the last two updates, the app stopp taking record of my sleep time automatically.... i kindly advice the developers to see to that..., so that I can have a better experience."
"I bought this thinking i could use this for open water swimming. Far from efficient, as i couldnt close the app after i finished. Would have been great to have been able to tell the actual water temp too. Also the sleep function is ineffective.",Huawei Health,problem_report,"As a user, I want to i bought this thinking i could use this for open water swimming. far from efficient, as i couldnt close the app after i finished. would have been great to have been able to tell the actual water temp too. also the sleep function is ineffective., so that I can have a better experience."
"I like this app. It does everything I need it to do with the exception of a barcode scanner for the ""eat healthier"" program or at least let me import scan data from another app to this one",Samsung Health,feature_request,"As a user, I want to i like this app. it does everything i need it to do with the exception of a barcode scanner for the ""eat healthier"" program or at least let me import scan data from another app to this one, so that I can have a better experience."
"Not always do I take my phone, I wish the app still allowed us to put ours steps in from our other devices not supported.",Samsung Health,feature_request,"As a user, I want to not always do i take my phone, i wish the app still allowed us to put ours steps in from our other devices not supported., so that I can have a better experience."
Add Tecno mobile features in this app. I've band 6 and I'm having identification error,Huawei Health,problem_report,"As a user, I want to add tecno mobile features in this app. i've band 6 and i'm having identification error, so that I can have a better experience."
Overall quite a good app but needs to be a little easier to access the settings section...,Garmin Connect,feature_request,"As a user, I want to overall quite a good app but needs to be a little easier to access the settings section..., so that I can have a better experience."
"Settings is enabled but kept asking sms permission on my s7, hence couldn't connect with my friends who has S health.",Samsung Health,problem_report,"As a user, I want to settings is enabled but kept asking sms permission on my s7, hence couldn't connect with my friends who has s health., so that I can have a better experience."
Disappointed with this app. No way to install additional watch faces unless you download the moded chinese version. Why is this app not regularly updated?,Huawei Health,feature_request,"As a user, I want to disappointed with this app. no way to install additional watch faces unless you download the moded chinese version. why is this app not regularly updated?, so that I can have a better experience."
"I used to love this app.. now it dosent even work properly. It dosent even count my steps sometime.. really frustrating, also weight management feature is no longer there with the new update.. pointless having this app anymore..",Samsung Health,problem_report,"As a user, I want to i used to love this app.. now it dosent even work properly. it dosent even count my steps sometime.. really frustrating, also weight management feature is no longer there with the new update.. pointless having this app anymore.., so that I can have a better experience."
Does the job. But my floor count is so inaccurate the last 4 weeks. Vivosmart keeps saying I've climed 35+ floors everyday when its more like 10-15 floor.,Garmin Connect,feature_request,"As a user, I want to does the job. but my floor count is so inaccurate the last 4 weeks. vivosmart keeps saying i've climed 35+ floors everyday when its more like 10-15 floor., so that I can have a better experience."
My activities from My Fitness Pal don't sync into the Connect app. I'm having to enter my workouts manually.  My information such as my picture or personal stats/settings are saving some and not others. My screens look nothing like any of the screenshots or videos.,Garmin Connect,problem_report,"As a user, I want to my activities from my fitness pal don't sync into the connect app. i'm having to enter my workouts manually.  my information such as my picture or personal stats/settings are saving some and not others. my screens look nothing like any of the screenshots or videos., so that I can have a better experience."
Aftsr latest update gt2 doesnt connect to internet. Cannot show weather data and cant check for update... Also cant change watch faces. Also probkems in help page... Simply notngood,Huawei Health,problem_report,"As a user, I want to aftsr latest update gt2 doesnt connect to internet. cannot show weather data and cant check for update... also cant change watch faces. also probkems in help page... simply notngood, so that I can have a better experience."
I have installed and uninstalled this app 12 times and it still doesnt work. When I click on 'Sign in' it just goes blank. I have watched the Youtube trouble shooting tutorials also. Does not work.,Garmin Connect,problem_report,"As a user, I want to i have installed and uninstalled this app 12 times and it still doesnt work. when i click on 'sign in' it just goes blank. i have watched the youtube trouble shooting tutorials also. does not work., so that I can have a better experience."
"The app says one of the accessories is a samsung heart rate monitor so I ordered it,  doesn't use the heart rate monitor for anything,  big bummer and misleading",Samsung Health,problem_report,"As a user, I want to the app says one of the accessories is a samsung heart rate monitor so i ordered it,  doesn't use the heart rate monitor for anything,  big bummer and misleading, so that I can have a better experience."
Im often using this apps for physical activity daily drive.... But the result was not significant ... Long run about 45 minutes.... And the result. 51% walk.. 49% running...for 8 kilometres... Even im not using this phone for a day.... Yhe result always look like the same....,Huawei Health,problem_report,"As a user, I want to im often using this apps for physical activity daily drive.... but the result was not significant ... long run about 45 minutes.... and the result. 51% walk.. 49% running...for 8 kilometres... even im not using this phone for a day.... yhe result always look like the same...., so that I can have a better experience."
It keeps getting stuck at the steps screen for me. Keeps loading forever and hangs :( the rest of the app works fine though..,Samsung Health,problem_report,"As a user, I want to it keeps getting stuck at the steps screen for me. keeps loading forever and hangs :( the rest of the app works fine though.., so that I can have a better experience."
it can't  be used in other devices.. samsung should open this types  of software to alll,Samsung Health,feature_request,"As a user, I want to it can't  be used in other devices.. samsung should open this types  of software to alll, so that I can have a better experience."
I wish there was an option to select your preferred 1st day of the week. Other than that I love using the app with my FitBit.,Samsung Health,feature_request,"As a user, I want to i wish there was an option to select your preferred 1st day of the week. other than that i love using the app with my fitbit., so that I can have a better experience."
"What is missing is the possibility to create your own training plan,",Huawei Health,feature_request,"As a user, I want to what is missing is the possibility to create your own training plan,, so that I can have a better experience."
The Bluetooth connection keeps connecting and disconnecting all the time even when I have my phone close to me.,Garmin Connect,problem_report,"As a user, I want to the bluetooth connection keeps connecting and disconnecting all the time even when i have my phone close to me., so that I can have a better experience."
Previous version was better! Cant even get on this updated one. Plus I've lost all data by looks of it,Huawei Health,problem_report,"As a user, I want to previous version was better! cant even get on this updated one. plus i've lost all data by looks of it, so that I can have a better experience."
Getting better and faster ... Keep it up.   Adding 7 minutes workout kind of activities with sample will be great feature.,Garmin Connect,feature_request,"As a user, I want to getting better and faster ... keep it up.   adding 7 minutes workout kind of activities with sample will be great feature., so that I can have a better experience."
"Love the watch GT2 but really unfortunate that the app keeps crashing, then have to uninstall and reinstall every few days. Can you please fix the app to be stable on Google 6 pro.",Huawei Health,problem_report,"As a user, I want to love the watch gt2 but really unfortunate that the app keeps crashing, then have to uninstall and reinstall every few days. can you please fix the app to be stable on google 6 pro., so that I can have a better experience."
I do not work out and it keep tell nice work or I'm on a bicycle and it been 4 years for that. Something need fix ASAP,Samsung Health,problem_report,"As a user, I want to i do not work out and it keep tell nice work or i'm on a bicycle and it been 4 years for that. something need fix asap, so that I can have a better experience."
Can't connect or pairing to huawei smart body fat scale,Huawei Health,problem_report,"As a user, I want to can't connect or pairing to huawei smart body fat scale, so that I can have a better experience."
"Like many complaints on this product page, it appears the bluetooth connectivity is a real problem for many people.",Garmin Connect,problem_report,"As a user, I want to like many complaints on this product page, it appears the bluetooth connectivity is a real problem for many people., so that I can have a better experience."
This app is getting slower and slower. It just hangs when I come back from my walk. I do not have the problem if I use any of the other running apps.,Samsung Health,problem_report,"As a user, I want to this app is getting slower and slower. it just hangs when i come back from my walk. i do not have the problem if i use any of the other running apps., so that I can have a better experience."
"When the new day starts at midnight I already see 200kcal burned, even if the day just started and I didn't burn anything with training or just thanks to my basal metabolism, please fix this...",Samsung Health,problem_report,"As a user, I want to when the new day starts at midnight i already see 200kcal burned, even if the day just started and i didn't burn anything with training or just thanks to my basal metabolism, please fix this..., so that I can have a better experience."
I used this app for cycling. But the GPS is way off. The map shows me i crossed sea & jungle to reach my destination. Please fix the GPS accuracy & mapping issue .. i test this many times but the inaccuracies is just too much. Pls fix.,Huawei Health,problem_report,"As a user, I want to i used this app for cycling. but the gps is way off. the map shows me i crossed sea & jungle to reach my destination. please fix the gps accuracy & mapping issue .. i test this many times but the inaccuracies is just too much. pls fix., so that I can have a better experience."
There is no option or updates given for honor band 4 regarding screen lock and also battery % of band in band itself,Huawei Health,feature_request,"As a user, I want to there is no option or updates given for honor band 4 regarding screen lock and also battery % of band in band itself, so that I can have a better experience."
"After the last update I can't connect my watch to the phone, and I can't set my gender as well",Huawei Health,problem_report,"As a user, I want to after the last update i can't connect my watch to the phone, and i can't set my gender as well, so that I can have a better experience."
"Sleep stats are way to conservative since some time (nearly always they require an edit to add sleep time). Also, the app does not want to sync watch data without internet connection - why? What about trying to sync in a remote location out of range?",Garmin Connect,problem_report,"As a user, I want to sleep stats are way to conservative since some time (nearly always they require an edit to add sleep time). also, the app does not want to sync watch data without internet connection - why? what about trying to sync in a remote location out of range?, so that I can have a better experience."
great app but there needs to be a push bike riding activity like the walking and running step count,Samsung Health,feature_request,"As a user, I want to great app but there needs to be a push bike riding activity like the walking and running step count, so that I can have a better experience."
"My only complaint is if the watch gets powered off (often due to freezing while charging), the app won't sync correctly when the watch is turned back on. It just keeps the info from before the watch was powered off.",Garmin Connect,problem_report,"As a user, I want to my only complaint is if the watch gets powered off (often due to freezing while charging), the app won't sync correctly when the watch is turned back on. it just keeps the info from before the watch was powered off., so that I can have a better experience."
"Not working at all it does not set up setting, profile, heart from 5 days",Huawei Health,problem_report,"As a user, I want to not working at all it does not set up setting, profile, heart from 5 days, so that I can have a better experience."
"Great app and fun challenges. The only thing I would like to see, is a more  detailed way to track weightlifting workouts by different types of machines.",Samsung Health,feature_request,"As a user, I want to great app and fun challenges. the only thing i would like to see, is a more  detailed way to track weightlifting workouts by different types of machines., so that I can have a better experience."
Huawei Band 3 Pro won't connect to google fit or my fitness pal :(,Huawei Health,problem_report,"As a user, I want to huawei band 3 pro won't connect to google fit or my fitness pal :(, so that I can have a better experience."
"hi, i like the app but i feel it's missing a bar scanner for the food part, like My Fitness does.",Samsung Health,feature_request,"As a user, I want to hi, i like the app but i feel it's missing a bar scanner for the food part, like my fitness does., so that I can have a better experience."
"I love this app but since my last phone update, the app is saying I'm burning 6000 calories by the end if the day! I wish, lol. Hopefully this gets corrected soon.",Samsung Health,problem_report,"As a user, I want to i love this app but since my last phone update, the app is saying i'm burning 6000 calories by the end if the day! i wish, lol. hopefully this gets corrected soon., so that I can have a better experience."
"My data is not syncing with MyFitnessPal app, it is there is a setting other than linking to the app?",Huawei Health,feature_request,"As a user, I want to my data is not syncing with myfitnesspal app, it is there is a setting other than linking to the app?, so that I can have a better experience."
"I reinstall this app and all of my records , sleep data gone🤦🏻‍♂️ this app is not sync with huawei claud which my health data stored. I logged out and re loggged in but does not affect huawei health app. shittt",Huawei Health,problem_report,"As a user, I want to i reinstall this app and all of my records , sleep data gone🤦🏻‍♂️ this app is not sync with huawei claud which my health data stored. i logged out and re loggged in but does not affect huawei health app. shittt, so that I can have a better experience."
