review_content,final_label,user_story
"In addition to being notorious for it39s privacy preaching tactics, selling users data to advertising agencies, Facebook continues it39s downfall into degeneracy by silencing and censoring voices that oppose what39s currently happening in Palestine. freegaza",1,"As a user concerned about privacy, I want the platform/website to stop selling my data to advertising agencies and ensure unbiased representation of perspectives on sensitive topics like Palestine. This is essential for maintaining trust and integrity within the community."
"Ive been trying to get a hold of Facebook because I dont have access to my email but I have a phone number on my account but it wont send me confirmation to my number  all my other apps are logged in to my Facebook account big mistake when I try and get help it gives me things I can do but I did it and it still didnt help me, Facebook can you help me yet?",2,"As a user unable to access their email, I want the ability to receive confirmation messages via phone number for secure login into my account on Facebook. The current self-help options have not resolved this issue for me; further assistance is required."
"Keep getting banned on Facebook for random things, like posting a video of my own daughter walking, and things taken out of context. Even when Facebook review and realise they made a mistake and admit to it and apologise they dont remove that data stored on you so your account is constantly harassed and silenced!! Wont be using it anymore. Im British at Facebook doesnt understand our humour, banter, context  its very annoying we used these apps to stay connected to family, for work, etc.",2,"As a user, I need the ability to appeal my bans on Facebook more effectively and ensure that cleared data is removed from my profile, enabling me to utilize the platform's features without constant harassment or misunderstandings related to humor and contextual content."
"I have been locked out of my account for 2 weeks now after being hacked.  I have contacted Facebook via email relentlessly as Incan not access the help or report section of the platform.  This has caused me to be locked out of my Instagram account as well.
I use the platforms for my business.  My customers think that we have gone out of business.  I spent hours on the phone with my carrier and Apple thinking that something was wrong either with the phone or my carrier.  Its Facebook.   Short codes are coming in from everyone else except them, and they have yet to reply.",2,"As a user whose account has been locked for two weeks due to hacking, I need an efficient solution provided by Facebook to regain access to both my main account and Instagram, as this situation is affecting my business reputation and causing unnecessary communication with my carrier and Apple."
"For all the good Meta does in keeping us connected your company, your leadership and enablers have hooked users to over sharing and over exposure.  In so doing this corporation parasitically intentionally feeds on our unconscious insecurities and shadow via algorithms.  This leads to profound suffering and loss of intimate connections.  This has been my experience.  I believe there deserves to be a class action lawsuit to hold FacebookMeta and its leadership accountability for the incredible political,  societal and individual harm their endless selfish greedy quest for power through data manipulation has wrought.",2,"As a user desiring privacy and intimacy, I want Meta to implement features that protect against oversharing and excessive exposure, while ensuring users are safeguarded from algorithm-driven insecurities leading to distress. This is essential for preserving individual wellbeing and fostering genuine connections."
"The site not only has bias on every topic, but they also dont allow the user any privacy.  They will also censor anything that they dont agree with by flashing it as false when in fact it is not false or by taking down your post.  This is very close to communistnazi behavior and is unacceptable in a free country.",2,"As a user, I want the website to provide objective information on all topics without bias, respect my privacy, and allow open discussions without censorship, ensuring freedom of expression within the platform."
"Facebook is too woke and too much sensoring.   They track you, spy on you, and listen to your convos.  Not to mention the owner contributed millions to stealing election.  It was invented by CIA to watch us",1,"As a user of Facebook, I want improved privacy features that limit tracking and monitoring, ensuring my conversations remain private, while also addressing concerns about political neutrality and ownership transparency."
"I can no longer see who liked my posts. Every time I click on anything it says, no data to show. Im getting unbelievably tired of the updates theyre doing. Im 100 about to go back to MySpace or just delete my Facebook account.",2,"As a user, I want to be able to view who liked my posts so that I can engage with them; currently, it displays 'no data' when I try to click on any post.
The constant updates are frustrating and may cause me to leave the platform or delete my account."
"they monitor EVERYTHING and god forbid they dont agree with you. posts get deleted, they suspend you just about anything. its like a virtual parent that constantly grounds you. i dont even wanna know what they do with my private information.",2,"As a user, I want the platform to monitor activity while ensuring transparency and respecting privacy, so users can understand actions taken on their accounts without feeling overly controlled or having concerns about personal data usage."
Its fine until I go to my profile to see view as and cant look at my pics. I want to be able to look at my pics while in view as because its easier to see what pics and videos of mine that complete strangers can see instead of going through all the pics and videos and changing their individual privacy settings. Can yall fix that please,2,"As a user, I need the ability to view my pictures within the 'view as' feature on my profile so I can easily understand which images are visible to strangers without checking each one's privacy setting individually. This will enhance the overall usability and transparency of my online presence."
"13 years I trusted this site with my life.. only to find out its a data collecting agent of China , pushing communism with its sensoring and false narratives. Big money BIG EVIL .. this app needs to be a mistake of the past.",2,"As a long-term user, I want improved transparency and assurance that my data is safe and not used for unwanted purposes such as pushing specific ideologies or narratives. This will restore trust in the platform's integrity and commitment to users’ privacy."
"My 15 year old account got hacked and disabled with 2 factor identification on. Facebook reported to have made 116 billion dollars in 2022, but cant afford customer service. I cant recover my account because it was disabled. Facebook also took the liberty to disable my Instagram account. Both disabled with no review. I have never caused in issue on either apps going against there terms and agreements. But I learned a valuable lesson, you dont have any rights to your profiles, pictures, conversations, or business information etc, they can take it away and not give it back at any given time. I have spent many hours researching, sending emails, trying different things etc. to no avail. Thanks Facebook for the complete disappointment and for completely not caring about your customers.",2,"As a long-time user of Facebook and Instagram, allow me to recover my hacked account with two-factor identification enabled while ensuring future protection against unauthorized access. Despite being a valued customer contributing to Facebook's success, I need efficient customer service for recovery assistance and profile data restoration to ensure security and trust in the platform."
"I like to delete andor hide almost everything I have previously seen from FB on a daily basis. Now FB is sending out more of their own garbage than I get from friends. Even though I have clearly requested NO memories, they keep sending more and more. Their reporting system is a waste of time. The buttons on anything they send you dont work and when used just eats up data for hours at a time. I am flooded with Suggested Pages, Friendverseries, Videos, etc and the buttons dont work. The more you report, the more they send.",2,"As a Facebook user, I want an efficient way to declutter my newsfeed by hiding or deleting content from past activities, without being flooded with unnecessary suggested pages and videos. Additionally, I require an effective reporting system that works reliably on sent items. Lastly, I need the ability to control how much 'own' content Facebook sends me daily as per my request."
"It is amazing that Facebook refuses to listen to those who want to use the app but find it a waste of time.  We know you make your money by ads, we could care less.  I have seen thousands of requests to allow users to set how they see their feed, most recent, all comments, etc. but you continue to shovel feed with comments most relevant a unique way to say we will only show you what we want you to see, top posts instead of all posts, again a way of censoring.  This truly is becoming the most inconvenient way of trying to communicate while being the biggest corporation spying on everyones action including what you do on the net that has nothing to do with Facebook.  Their trackers are monetizing every action you do.",2,"As a Facebook user, I want more control over how my feed is displayed, such as viewing by most recent posts or showing all comments, rather than only seeing top posts and relevancy-based content, to personalize my experience without feeling censored."
"This app has completely went downhill !!! NOT A LICK OF FREEDOM LEFT , THEY MONITOR ALL OF YOUR PERSONAL INFO EVEN WHEN APP ISNT BEING USED. If you try to change your own personal information, you cant until after 30 security questions then it still wont let you. BEYOND POLITICAL AND RACIST. Quick to flag people of color posts but let them be white they can say all the racists things on social media that they want !",2,"As a user, I need an app with greater privacy controls and unbiased content moderation so that my personal information remains secure and diverse perspectives are respected."
Ive had the same Facebook since 2009 somebody hacked me I can I want to go to my page theres so many photos and memories on that page business accounts and now I have no access to get in there I no longer use that email address and cannot change the password somebody hacked into my stuff tonight somebody please point me in the right direction,2,"As a Facebook user, I want to regain access to my hacked account with outdated email credentials so that I can view and preserve my valuable photos, memories, and business accounts. Please guide me on how to securely recover or reset my password."
