review_content,final_label,user_story
"In addition to being notorious for it39s privacy preaching tactics, selling users data to advertising agencies, Facebook continues it39s downfall into degeneracy by silencing and censoring voices that oppose what39s currently happening in Palestine. freegaza",1,"As a user of the website, I want to be able to easily share information about Palestinian activism and social media to raise awareness about the issue of Israeli oppression and human rights abuses in Palestine. The ability to add a voice to the conversation by sharing personal experiences and stories will help to amplify the message and bring more attention to the important work being done."
"Ive been trying to get a hold of Facebook because I dont have access to my email but I have a phone number on my account but it wont send me confirmation to my number  all my other apps are logged in to my Facebook account big mistake when I try and get help it gives me things I can do but I did it and it still didnt help me, Facebook can you help me yet?",2,"As a user of the Facebook platform, I am unable to access my email to confirm changes made to my account. Despite having a phone number associated with my account, I have not received any confirmation emails or texts. When I try to get help from Facebook, they provide me with options for what I can do, but these solutions do not resolve the issue of not receiving confirmation emails or texts. I am frustrated because I need to be able to access my email to make changes to my account, and I am unable to do so due to this issue."
"Keep getting banned on Facebook for random things, like posting a video of my own daughter walking, and things taken out of context. Even when Facebook review and realise they made a mistake and admit to it and apologise they dont remove that data stored on you so your account is constantly harassed and silenced!! Wont be using it anymore. Im British at Facebook doesnt understand our humour, banter, context  its very annoying we used these apps to stay connected to family, for work, etc.",2,"As a user of Facebook, I am frustrated with the constant banning of my account due to minor infractions such as posting videos of my own daughter walking or things taken out of context. Even when Facebook admits their mistake and apologizes, they do not remove the data stored on me, which silences my account and prevents me from being able to connect with my family and friends through the platform. I rely heavily on Facebook for staying connected to my loved ones, and its ability to handle these situations poorly is a major hindrance to my use of the site. As a British user, I do not understand the humor or banter that American users take for granted, and find it annoying when these features are not understood by Facebook. As a result, I will no longer be using Facebook as a platform for staying connected with my family and friends."
"I have been locked out of my account for 2 weeks now after being hacked.  I have contacted Facebook via email relentlessly as Incan not access the help or report section of the platform.  This has caused me to be locked out of my Instagram account as well.
I use the platforms for my business.  My customers think that we have gone out of business.  I spent hours on the phone with my carrier and Apple thinking that something was wrong either with the phone or my carrier.  Its Facebook.   Short codes are coming in from everyone else except them, and they have yet to reply.",2,"
As a business owner using social media platforms for my business, I am frustrated when I am locked out of my account due to hacking.  When I try to report the issue via email, I can't access Facebook's help or reporting section.  This causes me to also be locked out of Instagram.  My customers think that we have gone out of business because they are unable to communicate with us on social media.  It has caused me to spend hours on the phone with my carrier and Apple, thinking there is a problem with their systems rather than Facebook's security measures."
"For all the good Meta does in keeping us connected your company, your leadership and enablers have hooked users to over sharing and over exposure.  In so doing this corporation parasitically intentionally feeds on our unconscious insecurities and shadow via algorithms.  This leads to profound suffering and loss of intimate connections.  This has been my experience.  I believe there deserves to be a class action lawsuit to hold FacebookMeta and its leadership accountability for the incredible political,  societal and individual harm their endless selfish greedy quest for power through data manipulation has wrought.",2,"
As a Meta user, I am deeply concerned about the impact of Facebook's algorithms on my personal relationships and connections. Despite the good that Meta has done in keeping us connected, the company's leadership and enablers have intentionally hooked users to over-sharing and over-exposure, leading to parasitic feeding off our unconscious insecurities and shadow via algorithms. This has resulted in profound suffering and loss of intimate connections, which I believe warrant a class action lawsuit against FacebookMeta and its leadership for the harm their endless selfish greed for power through data manipulation has caused."
"The site not only has bias on every topic, but they also dont allow the user any privacy.  They will also censor anything that they dont agree with by flashing it as false when in fact it is not false or by taking down your post.  This is very close to communistnazi behavior and is unacceptable in a free country.",2,"As a user, I am frustrated when I want to express my opinion on certain topics but the platform/website does not allow me to do so due to censorship or bias. I believe that a website should be able to accept all perspectives and opinions without fear of retribution or censorship.

User Story:
As a user, I want the website to allow me to express my opinion on any topic without facing censorship or bias. I want the platform to be able to accept all perspectives and opinions without fear of retribution or censorship. This is important for fostering free and open discourse."
"Facebook is too woke and too much sensoring.   They track you, spy on you, and listen to your convos.  Not to mention the owner contributed millions to stealing election.  It was invented by CIA to watch us",1,"
As a user of Facebook, I am concerned about my privacy and security on the platform. The fact that the company tracks my activities, spies on my conversations, and has been linked to the owner's controversial political actions is unacceptable. I believe that this information should be kept private and not used for any other purpose than to provide a social media service. It is also concerning to learn that the platform was invented by the CIA to watch us, which raises further questions about its intentions and trustworthiness."
"I can no longer see who liked my posts. Every time I click on anything it says, no data to show. Im getting unbelievably tired of the updates theyre doing. Im 100 about to go back to MySpace or just delete my Facebook account.",2,"
As a user of Facebook, I am frustrated by the inability to see who has liked my posts and the lack of data displayed on my feed. The updates provided by Facebook are not helpful and I am considering leaving the platform due to their constant changes and lack of functionality."
"they monitor EVERYTHING and god forbid they dont agree with you. posts get deleted, they suspend you just about anything. its like a virtual parent that constantly grounds you. i dont even wanna know what they do with my private information.",2,"As a user of the platform/website, I want to ensure that my privacy is protected and that I am able to use the site without fear of retribution or monitoring. This includes being able to post content without it being deleted or suspended, and having access to my personal information in case something happens to me."
Its fine until I go to my profile to see view as and cant look at my pics. I want to be able to look at my pics while in view as because its easier to see what pics and videos of mine that complete strangers can see instead of going through all the pics and videos and changing their individual privacy settings. Can yall fix that please,2,"As a user, I want to be able to easily view my photos while in View As mode because it makes it easier for complete strangers to see my photos without having to individually change each photo's privacy settings."
