review_content,final_label,user_story
"In addition to being notorious for it39s privacy preaching tactics, selling users data to advertising agencies, Facebook continues it39s downfall into degeneracy by silencing and censoring voices that oppose what39s currently happening in Palestine. freegaza",1," User Story: The customer expresses dissatisfaction with Facebook's privacy practices, claiming the platform sells user data to advertisers without consent. They also mention Facebook's alleged censorship of opposing views on the Palestinian issue, which has further deteriorated their trust in the platform's values and integrity. Enhanced transparency regarding data usage and impartial handling of diverse perspectives are needed to improve user experience and build a more trustworthy community environment."
"Ive been trying to get a hold of Facebook because I dont have access to my email but I have a phone number on my account but it wont send me confirmation to my number  all my other apps are logged in to my Facebook account big mistake when I try and get help it gives me things I can do but I did it and it still didnt help me, Facebook can you help me yet?",2," User Story: An individual is struggling to regain access to their Facebook account as they no longer have access to the linked email. They provided a phone number associated with the account for verification purposes, but this process failed to work. The user attempted various troubleshooting steps without success and now requests direct assistance from Facebook to resolve their account access issue."
"Keep getting banned on Facebook for random things, like posting a video of my own daughter walking, and things taken out of context. Even when Facebook review and realise they made a mistake and admit to it and apologise they dont remove that data stored on you so your account is constantly harassed and silenced!! Wont be using it anymore. Im British at Facebook doesnt understand our humour, banter, context  its very annoying we used these apps to stay connected to family, for work, etc.",2," User Story: An individual faces continuous issues with Facebook, getting banned due to misunderstandings like sharing a video of their child or interpretations taken out of context. Despite admitting errors and apologizing, Facebook maintains the recorded data leading to ongoing account harassment. The user, being British, struggles with the platform's inability to comprehend their cultural humor, banter, and context which causes frustration as they use it for family connections, work, etc. As a result, they have decided to stop using Facebook."
"I have been locked out of my account for 2 weeks now after being hacked.  I have contacted Facebook via email relentlessly as Incan not access the help or report section of the platform.  This has caused me to be locked out of my Instagram account as well.
I use the platforms for my business.  My customers think that we have gone out of business.  I spent hours on the phone with my carrier and Apple thinking that something was wrong either with the phone or my carrier.  Its Facebook.   Short codes are coming in from everyone else except them, and they have yet to reply.",2," User Story: A business owner had their Facebook account hacked and locked out for 2 weeks. They've been unsuccessful in contacting Facebook via email or accessing the platform's help/report feature. This issue caused their linked Instagram account to also become inaccessible. Being unable to manage their social media presence led customers to mistakenly believe they went out of business. The user spent time troubleshooting with their phone carrier and manufacturer before identifying Facebook as the main source of the problem. They are frustrated by unresponsive communication from Facebook, even though short codes from other sources work fine on their device."
"For all the good Meta does in keeping us connected your company, your leadership and enablers have hooked users to over sharing and over exposure.  In so doing this corporation parasitically intentionally feeds on our unconscious insecurities and shadow via algorithms.  This leads to profound suffering and loss of intimate connections.  This has been my experience.  I believe there deserves to be a class action lawsuit to hold FacebookMeta and its leadership accountability for the incredible political,  societal and individual harm their endless selfish greedy quest for power through data manipulation has wrought.",2," User Story: An individual expresses concerns about Meta's platform (specifically Facebook/Meta) exacerbating over-sharing and insecurity issues among users through algorithms. This leads to negative impacts on personal relationships, society, and politics. The user advocates for a class action lawsuit against the corporation and its leadership to address the harmful consequences of data manipulation and power pursuit."
"The site not only has bias on every topic, but they also dont allow the user any privacy.  They will also censor anything that they dont agree with by flashing it as false when in fact it is not false or by taking down your post.  This is very close to communistnazi behavior and is unacceptable in a free country.",2," User Story: The website is perceived as biased by the user, who values privacy and openness. They feel frustrated by censorship of content deemed as false or removed, comparing the platform's actions to authoritarian regimes. This contradicts their expectation of freedom of speech and unbiased information in a democratic country."
"Facebook is too woke and too much sensoring.   They track you, spy on you, and listen to your convos.  Not to mention the owner contributed millions to stealing election.  It was invented by CIA to watch us",1," User Story: A dissatisfied individual perceives Facebook as overly politically engaged, with excessive censorship and privacy concerns. They believe the platform engages in tracking users, spying, and eavesdropping on conversations. The user also questions the founder's intention, claiming they funded an attempt to manipulate elections, and alleges that Facebook was originally developed by CIA for surveillance purposes."
"I can no longer see who liked my posts. Every time I click on anything it says, no data to show. Im getting unbelievably tired of the updates theyre doing. Im 100 about to go back to MySpace or just delete my Facebook account.",2," User Story: An exasperated user expresses dissatisfaction with recent platform changes, as they can no longer view post likes and encounter errors like ""no data to show"" upon clicking links. Frustrated by ongoing updates, the user is contemplating a return to Myspace or complete Facebook account deletion."
"they monitor EVERYTHING and god forbid they dont agree with you. posts get deleted, they suspend you just about anything. its like a virtual parent that constantly grounds you. i dont even wanna know what they do with my private information.",2," User Story: An individual expresses frustration with an overbearing platform moderation, feeling as if their actions and posts are under constant surveillance. The user perceives the moderators as strict authorities who swiftly suspend accounts or delete content that does not align with their standards. Concerns also arise about potential misuse of private information shared on the platform."
Its fine until I go to my profile to see view as and cant look at my pics. I want to be able to look at my pics while in view as because its easier to see what pics and videos of mine that complete strangers can see instead of going through all the pics and videos and changing their individual privacy settings. Can yall fix that please,2," User Story: The platform should enable a seamless profile navigation experience. When viewing one's own profile in ""View As"" mode, users want to be able to see their pictures and videos as if they were publicly visible. This feature would save time by allowing users to assess the accessibility of their content at a glance without manually adjusting privacy settings for each post. The development team should prioritize fixing this issue for user convenience."
"13 years I trusted this site with my life.. only to find out its a data collecting agent of China , pushing communism with its sensoring and false narratives. Big money BIG EVIL .. this app needs to be a mistake of the past.",2," user story: A long-time user, with 13 years of trust, recently discovered that the platform is linked to data collection in China and potentially promotes communist views through biased narratives. Due to its deceptive practices and ties to foreign influence, this individual strongly advocates for the platform's transformation or replacement, as it poses a significant threat to users' values and privacy."
"My 15 year old account got hacked and disabled with 2 factor identification on. Facebook reported to have made 116 billion dollars in 2022, but cant afford customer service. I cant recover my account because it was disabled. Facebook also took the liberty to disable my Instagram account. Both disabled with no review. I have never caused in issue on either apps going against there terms and agreements. But I learned a valuable lesson, you dont have any rights to your profiles, pictures, conversations, or business information etc, they can take it away and not give it back at any given time. I have spent many hours researching, sending emails, trying different things etc. to no avail. Thanks Facebook for the complete disappointment and for completely not caring about your customers.",2," User Story: A frustrated user with a 15-year-old hacked and disabled account across both Facebook and Instagram platforms despite having enabled two-factor identification. The user is unable to recover their accounts due to disabling without proper review. They express concerns over the lack of ownership on personal profiles, content, and business data, as well as dissatisfaction with the non-existent customer support. Despite investing time researching solutions and reaching out through emails, the user's issues remain unresolved, leading to disappointment with Facebook as a whole."
"I like to delete andor hide almost everything I have previously seen from FB on a daily basis. Now FB is sending out more of their own garbage than I get from friends. Even though I have clearly requested NO memories, they keep sending more and more. Their reporting system is a waste of time. The buttons on anything they send you dont work and when used just eats up data for hours at a time. I am flooded with Suggested Pages, Friendverseries, Videos, etc and the buttons dont work. The more you report, the more they send.",2," User Story: An individual is frustrated with Facebook as they continuously receive unwanted content (memories, suggested pages, friend suggestions, videos) despite requesting no memories and using reporting features. The user aims for improved control over their feed, efficient removal options, and an end to receiving excess non-requested content from the platform."
